MTF BACKTEST: Portfolio by Ticker

TICKER SUMMARY (sorted by total P&L)
Ticker,Trades,Total P&L $,Avg Return %,First Buy,Last Sell,Days Held (approx)
WDC,5,"+1,200,428.53",+0.0%,2023-08-01,2026-07-21,1085
FBRX,2,"+603,562.05",+0.0%,2026-07-07,2026-08-11,35
AGL,1,"+379,040.96",+0.0%,2026-05-05,2026-08-04,91
DELL,9,"+122,808.69",+0.0%,2023-07-11,2026-08-04,1120
XMTR,2,"+94,364.62",+0.0%,2026-05-05,2026-06-16,42
DDOG,11,"+79,829.85",+0.0%,2023-07-11,2026-07-07,1092
PENG,1,"+75,581.45",+0.0%,2026-05-05,2026-07-28,84
CRDO,2,"+73,842.72",+0.0%,2026-05-19,2026-07-14,56
ARM,1,"+72,240.80",+0.0%,2026-05-05,2026-07-14,70
ALAB,1,"+70,955.70",+0.0%,2026-05-12,2026-07-21,70
FROG,3,"+44,024.23",+0.0%,2026-05-12,2026-07-07,56
MBX,1,"+43,909.13",+0.0%,2026-07-14,2026-08-11,28
TWST,1,"+38,611.54",+0.0%,2026-07-21,2026-08-05,15
BAND,3,"+33,620.59",+0.0%,2026-05-05,2026-08-04,91
AMD,9,"+23,892.14",+0.0%,2023-10-17,2026-08-04,1022
PANW,11,"+22,663.05",+0.0%,2023-07-11,2026-08-05,1121
MU,7,"+22,495.30",+0.0%,2023-08-01,2026-05-05,1008
SYRE,1,"+16,156.97",+0.0%,2026-07-28,2026-08-05,8
SNOW,1,"+12,389.97",+0.0%,2026-08-04,2026-08-05,1
ORKA,2,"+7,971.35",+0.0%,2026-07-21,2026-08-05,15
LITE,6,"+7,551.95",+0.0%,2024-01-09,2026-05-05,847
AEHR,2,"+6,951.34",+0.0%,2026-05-05,2026-06-16,42
STX,9,"+5,471.84",+0.0%,2023-07-11,2026-05-05,1029
CRNX,2,"+1,677.33",+0.0%,2026-07-07,2026-08-11,35
AAOI,1,+955.24,+0.0%,2026-05-05,2026-05-12,7
CORT,0,+0.00,+0.0%,2026-07-21,,
HNGE,0,+0.00,+0.0%,2026-08-05,,
DNTH,1,-168.96,+0.0%,2026-08-05,2026-08-07,2
INTC,8,-179.27,+0.0%,2023-07-11,2026-05-05,1029
DD,12,-877.13,+0.0%,2023-07-11,2026-08-11,1127
PBF,1,"-1,570.90",+0.0%,2026-08-04,2026-08-05,1
ICHR,2,"-9,082.50",+0.0%,2026-05-05,2026-08-04,91
ELVN,1,"-12,260.56",+0.0%,2026-08-05,2026-08-11,6
COOK,2,"-18,568.06",+0.0%,2026-06-02,2026-07-14,42
ATEX,3,"-20,264.10",+0.0%,2026-05-19,2026-08-11,84
MXL,1,"-26,444.83",+0.0%,2026-07-14,2026-07-21,7
SNDK,2,"-34,778.66",+0.0%,2026-04-07,2026-07-21,105
HPE,14,"-79,333.87",+0.0%,2023-07-11,2026-08-06,1122
TOTAL,141,"+2,857,468.50",,,,

"=== WDC (P&L: $+1,200,428.53) ==="
date,side,qty,price,return%,pnl$
2023-08-01,BUY,250.99,28.44,+1.13%,+80.32
2023-10-24,SELL,250.99,28.76,,
2023-11-21,BUY,0.00,31.67,+55.42%,+0.01
2024-07-23,SELL,0.00,49.22,,
2024-09-17,BUY,0.18,43.79,+2.97%,+0.24
2024-10-08,SELL,0.18,45.09,,
2025-05-20,BUY,3004.23,50.38,+806.99%,"+1,221,400.03"
2026-05-05,SELL,3004.23,456.94,,
2026-07-14,BUY,362.84,588.01,-9.87%,"-21,052.07"
2026-07-21,SELL,362.84,529.99,,

"=== FBRX (P&L: $+603,562.05) ==="
date,side,qty,price,return%,pnl$
2026-07-07,BUY,10735.62,20.58,+272.74%,"+602,590.25"
2026-08-04,SELL,10735.62,76.71,,
2026-08-05,BUY,4049.17,76.59,+0.31%,+971.80
2026-08-11,SELL,4049.17,76.83,,

"=== AGL (P&L: $+379,040.96) ==="
date,side,qty,price,return%,pnl$
2026-05-05,BUY,5759.63,26.46,+248.72%,"+379,040.96"
2026-08-04,SELL,5759.63,92.27,,

"=== DELL (P&L: $+122,808.69) ==="
date,side,qty,price,return%,pnl$
2023-07-11,BUY,273.75,52.16,+22.51%,"+3,213.77"
2023-10-24,SELL,273.75,63.90,,
2023-11-07,BUY,193.73,69.01,+96.94%,"+12,960.30"
2024-07-02,SELL,193.73,135.91,,
2024-09-17,BUY,0.07,114.50,+4.56%,+0.36
2024-12-10,SELL,0.07,119.72,,
2025-07-01,BUY,0.00,120.27,-0.50%,-0.00
2025-09-09,SELL,0.00,119.67,,
2025-09-30,BUY,0.00,132.66,-9.60%,-0.00
2025-11-18,SELL,0.00,119.93,,
2026-03-03,BUY,0.29,149.92,+43.42%,+18.79
2026-05-05,SELL,0.29,215.02,,
2026-05-12,BUY,472.91,241.94,+70.54%,"+80,714.32"
2026-06-16,SELL,472.91,412.62,,
2026-06-23,BUY,580.92,393.83,+1.79%,"+4,101.29"
2026-07-07,SELL,580.92,400.89,,
2026-07-28,BUY,480.17,402.00,+11.29%,"+21,799.86"
2026-08-04,SELL,480.17,447.40,,
2026-08-11,BUY,666.24,449.13,,

"=== XMTR (P&L: $+94,364.62) ==="
date,side,qty,price,return%,pnl$
2026-05-05,BUY,2821.96,54.01,+57.37%,"+87,438.28"
2026-06-02,SELL,2821.96,84.99,,
2026-06-09,BUY,2118.15,83.12,+3.93%,"+6,926.34"
2026-06-16,SELL,2118.15,86.39,,

"=== DDOG (P&L: $+79,829.85) ==="
date,side,qty,price,return%,pnl$
2023-07-11,BUY,139.87,102.08,-12.38%,"-1,767.25"
2023-08-15,SELL,139.87,89.45,,
2023-11-14,BUY,0.25,106.54,+14.30%,+3.82
2024-03-12,SELL,0.25,121.77,,
2024-04-16,BUY,156.76,126.50,+0.04%,+8.62
2024-04-23,SELL,156.76,126.55,,
2024-04-30,BUY,210.00,128.32,-8.73%,"-2,351.96"
2024-05-14,SELL,210.00,117.12,,
