MTF BACKTEST: Top 50 YTD Performers

=== SUMMARY ===
Metric,Value
Return,+3074.29%
Max DD,33.2%
Trades,"141 sells (0 stop-loss, 0 hourly-ema, 0 ratchet-atr, 0 daily-ema) / 151 buys"
Win,85 (60%)  avg ++45.15%
Loss,56 (40%)  avg -7.66%
Hold,8 days
Exposure,779/1231 days invested (63%) | 452 days 100% cash | avg 3.9 positions | 1082 days with <10 positions

=== TOP 50 YTD PERFORMERS ===
Rank,Ticker,Open Jan 2,Close Now,YTD %
1,AGL,7.92,96.74,1121.5%
2,SNDK,245.82,1641.28,567.7%
3,AEHR,21.36,134.07,527.8%
4,MXL,15.35,84.91,453.2%
5,FBRX,16.07,76.84,378.3%
6,AAOI,32.50,150.43,362.9%
7,SHAZ,16.97,76.50,350.8%
8,DELL,111.93,490.97,338.6%
9,ORKA,26.34,111.09,321.8%
10,BAND,12.82,53.97,321.0%
11,ATEX,21.79,91.40,319.5%
12,ELVN,15.00,58.83,292.2%
13,PENG,16.76,63.84,280.9%
14,TWST,31.56,118.49,275.4%
15,ICHR,19.49,71.06,264.6%
16,DD,40.12,146.24,264.5%
17,NBIS,78.61,277.67,253.2%
18,CORT,32.67,114.42,250.3%
19,SYRE,29.88,103.56,246.6%
20,STX,281.41,973.36,245.9%
21,MANE,32.63,112.65,245.2%
22,MU,295.08,971.98,229.4%
23,ALAB,100.81,321.64,219.1%
24,DNTH,36.51,115.64,216.7%
25,UCTT,26.95,84.96,215.3%
26,MRVL,72.91,222.13,204.7%
27,HPE,19.91,58.70,194.8%
28,CRDO,89.17,260.04,191.6%
29,WDC,177.26,510.03,187.7%
30,HNGE,30.90,88.57,186.6%
31,SIMO,93.92,269.05,186.5%
32,LITE,323.83,925.91,185.9%
33,TEAM,57.55,162.29,182.0%
34,AMBQ,23.24,64.64,178.1%
35,FROG,34.99,96.15,174.8%
36,AMD,189.23,514.40,171.8%
37,INTC,37.79,102.53,171.4%
38,PANW,142.73,384.24,169.2%
39,ARM,103.89,279.37,168.9%
40,TVTX,23.10,62.07,168.7%
41,SNOW,122.68,328.92,168.1%
42,PBF,26.87,71.84,167.4%
43,DOCN,48.70,129.93,166.8%
44,XMTR,36.95,96.36,160.8%
45,RVMD,78.42,203.70,159.8%
46,CRNX,32.65,84.70,159.4%
47,BE,90.35,229.85,154.4%
48,DDOG,101.12,255.37,152.5%
49,MBX,27.22,68.60,152.1%
50,COOK,23.89,59.74,150.1%

"=== ALL TRADES (292 total, 141 with return data) ==="
date,side,ticker,qty,price,return%,pnl$
2023-07-11,BUY,PANW,114.68,124.51,-15.41%,"-2,200.67"
2023-07-11,BUY,STX,251.83,56.70,-0.26%,-37.77
2023-07-11,BUY,DD,511.96,27.89,+6.53%,+931.77
2023-07-11,BUY,DDOG,139.87,102.08,-12.38%,"-1,767.25"
2023-07-11,BUY,HPE,904.85,15.78,-1.14%,-162.87
2023-07-11,BUY,DELL,273.75,52.16,+22.51%,"+3,213.77"
2023-07-11,BUY,INTC,443.99,32.16,+1.62%,+230.87
2023-07-18,SELL,STX,251.83,56.55,,
2023-08-01,BUY,WDC,250.99,28.44,+1.13%,+80.32
2023-08-01,BUY,MU,101.74,70.16,-9.45%,-674.55
2023-08-08,SELL,PANW,114.68,105.32,,
2023-08-08,BUY,STX,189.62,63.67,-5.64%,-680.73
2023-08-15,SELL,DDOG,139.87,89.45,,
2023-08-22,SELL,INTC,443.99,32.68,,
2023-08-22,SELL,MU,101.74,63.53,,
2023-08-29,SELL,HPE,904.85,15.60,,
2023-09-12,SELL,DD,511.96,29.71,,
2023-09-12,BUY,PANW,124.84,125.67,+26.32%,"+4,129.65"
2023-09-12,BUY,MU,226.74,69.19,-3.50%,-548.72
2023-09-12,BUY,HPE,991.06,15.83,+0.82%,+128.84
2023-09-12,BUY,INTC,411.88,38.09,-12.89%,"-2,022.32"
2023-09-19,SELL,STX,189.62,60.08,,
2023-09-19,SELL,HPE,991.06,15.96,,
2023-10-03,BUY,HPE,1678.82,16.21,-1.85%,-503.65
2023-10-10,SELL,HPE,1678.82,15.91,,
2023-10-10,BUY,STX,425.72,62.71,+28.23%,"+7,535.26"
2023-10-17,BUY,DD,0.22,29.67,-2.66%,-0.18
2023-10-17,BUY,AMD,0.06,103.39,-2.35%,-0.16
2023-10-24,SELL,DELL,273.75,63.90,,
2023-10-24,SELL,WDC,250.99,28.76,,
2023-10-24,SELL,MU,226.74,66.77,,
2023-10-24,SELL,INTC,411.88,33.18,,
2023-10-24,SELL,DD,0.22,28.88,,
2023-10-24,SELL,AMD,0.06,100.96,,
2023-11-07,BUY,MU,186.46,71.70,+27.14%,"+3,628.48"
2023-11-07,BUY,DELL,193.73,69.01,+96.94%,"+12,960.30"
2023-11-07,BUY,INTC,354.62,37.70,+12.07%,"+1,613.51"
2023-11-07,BUY,AMD,119.47,111.90,+60.23%,"+8,052.50"
2023-11-14,BUY,DDOG,0.25,106.54,+14.30%,+3.82
2023-11-21,BUY,WDC,0.00,31.67,+55.42%,+0.01
2023-12-05,BUY,HPE,0.00,15.34,-4.04%,-0.00
2023-12-12,BUY,DD,0.00,28.35,+7.05%,+0.00
2024-01-09,SELL,DD,0.00,30.35,,
2024-01-09,BUY,LITE,0.00,50.45,-1.75%,-0.00
2024-01-23,SELL,HPE,0.00,14.72,,
2024-01-23,BUY,DD,0.00,29.65,-14.94%,-0.00
2024-01-30,SELL,DD,0.00,25.22,,
2024-02-06,SELL,INTC,354.62,42.25,,
2024-02-27,SELL,PANW,124.84,158.75,,
2024-02-27,SELL,MU,186.46,91.16,,
2024-02-27,SELL,LITE,0.00,49.56,,
