symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
AAOI,10,60.0,1125937023.53,112593702.35,62.61,252.23,-18.73,27.1
ABVX,2,100.0,426051979.71,213025989.86,364.37,679.19,49.54,58.0
ACLS,3,100.0,19641.57,6547.19,9.53,19.25,4.21,15.0
ACMR,2,100.0,355487.11,177743.55,20.71,40.03,1.39,7.5
AEHR,15,80.0,558084929.77,37205661.98,11.72,64.46,-16.7,16.1
AEM,1,100.0,881886.74,881886.74,4.18,4.18,4.18,4.0
AFRM,3,100.0,476201.14,158733.71,34.86,72.99,7.19,20.3
AGL,4,75.0,2572769538.07,643192384.52,61.33,245.1,-6.81,20.8
AGX,4,100.0,66117868.95,16529467.24,9.62,16.24,2.05,6.2
AGYS,1,100.0,15898.29,15898.29,20.58,20.58,20.58,18.0
ALAB,1,100.0,1269988.9,1269988.9,1.34,1.34,1.34,5.0
ALNY,1,100.0,296762.26,296762.26,10.86,10.86,10.86,5.0
AMBA,2,100.0,1637.21,818.61,5.6,6.78,4.41,7.5
AMR,7,85.7,76422.52,10917.5,28.87,164.69,-2.72,29.0
ANAB,1,100.0,22410434.21,22410434.21,4.61,4.61,4.61,5.0
ANF,2,50.0,657527.72,328763.86,77.37,154.96,-0.23,67.0
APA,2,100.0,2270.61,1135.31,6.54,7.85,5.22,14.5
APP,5,100.0,13708185.83,2741637.17,67.5,267.92,1.78,38.6
ARM,1,0.0,-140395022.38,-140395022.38,-7.68,-7.68,-7.68,4.0
ARWR,2,100.0,114183251.17,57091625.59,37.46,62.92,12.0,16.0
ASTS,7,85.7,66948497.76,9564071.11,38.58,217.57,-7.42,21.3
ATEX,4,75.0,885767045.48,221441761.37,12.66,22.2,-4.6,10.0
ATLC,1,100.0,897.81,897.81,8.29,8.29,8.29,20.0
ATRO,1,100.0,4904516.68,4904516.68,17.88,17.88,17.88,24.0
AU,4,100.0,7382517.95,1845629.49,12.11,28.82,4.72,7.0
AXSM,3,33.3,-696.94,-232.31,1.99,26.59,-15.44,19.0
BABA,1,100.0,1167690.79,1167690.79,6.24,6.24,6.24,5.0
BAND,3,66.7,748397050.1,249465683.37,36.25,116.32,-20.78,21.0
BANF,1,0.0,-1507.27,-1507.27,-5.04,-5.04,-5.04,9.0
BBIO,5,40.0,85040.16,17008.03,3.33,19.38,-7.54,11.8
BE,5,100.0,576317971.94,115263594.39,44.87,88.4,8.78,19.6
BELFA,2,50.0,7536.46,3768.23,1.18,4.52,-2.16,7.0
BELFB,3,100.0,28669.73,9556.58,25.05,34.63,9.8,26.0
BLBD,4,75.0,844016.76,211004.19,25.27,46.2,-1.76,21.5
BLDR,3,33.3,29350.79,9783.6,7.05,21.58,-0.4,6.7
BLTE,1,100.0,6897.87,6897.87,2.02,2.02,2.02,5.0
BMA,4,100.0,931742.58,232935.64,15.93,24.44,11.3,10.0
BNTX,1,0.0,-1503.1,-1503.1,-15.04,-15.04,-15.04,5.0
BROS,1,0.0,-23351.49,-23351.49,-0.12,-0.12,-0.12,5.0
BXC,2,100.0,5971.74,2985.87,18.41,30.27,6.56,16.5
CAMT,3,66.7,135175.5,45058.5,11.23,26.01,-1.06,17.7
CAR,7,71.4,602217553.97,86031079.14,39.33,138.91,-10.99,16.7
CAVA,1,100.0,895650.67,895650.67,27.02,27.02,27.02,24.0
CCB,2,50.0,3372.73,1686.37,11.16,25.73,-3.42,11.5
CCL,1,100.0,61476.35,61476.35,30.8,30.8,30.8,9.0
CECO,5,80.0,32269.98,6454.0,12.55,25.09,-1.23,9.8
CELC,4,50.0,180025820.48,45006455.12,41.14,122.74,-12.36,29.0
CF,2,100.0,4347.15,2173.57,10.91,16.16,5.65,12.5
CHRD,1,100.0,752.29,752.29,4.52,4.52,4.52,5.0
CIB,1,0.0,-794484.33,-794484.33,-3.86,-3.86,-3.86,5.0
CIEN,3,33.3,253742326.29,84580775.43,16.73,55.06,-3.72,12.7
CLS,5,80.0,11843055.89,2368611.18,11.78,38.46,-2.41,11.0
CMPR,1,100.0,15794.13,15794.13,12.86,12.86,12.86,5.0
CNR,7,71.4,-27108.66,-3872.67,9.86,35.69,-15.67,22.1
COCO,4,100.0,37029.78,9257.44,6.5,8.49,3.21,6.0
COIN,4,75.0,664361.22,166090.3,31.52,52.96,-4.47,18.8
COKE,1,0.0,-19.62,-19.62,-0.14,-0.14,-0.14,9.0
COP,1,100.0,1680.31,1680.31,10.68,10.68,10.68,10.0
CORT,5,20.0,-184664900.16,-36932980.03,-7.43,4.52,-32.61,4.6
CRDO,4,75.0,10675896.26,2668974.06,4.58,14.74,-7.95,13.8
CROX,1,100.0,8229.6,8229.6,11.37,11.37,11.37,9.0
CRS,1,100.0,410470.96,410470.96,14.11,14.11,14.11,34.0
CUBI,3,66.7,137819.91,45939.97,8.39,34.95,-13.99,9.7
CVLT,1,100.0,272985.35,272985.35,9.37,9.37,9.37,5.0
CVNA,9,77.8,2400462.22,266718.02,17.98,80.01,-14.13,26.1
CVSA,2,100.0,5614600.5,2807300.25,11.01,17.8,4.21,5.0
CYTK,2,0.0,-211057.55,-105528.77,-14.54,-7.72,-21.37,12.0
DAVE,8,75.0,40381551.76,5047693.97,32.93,129.15,-10.92,23.9
DBD,3,66.7,300661.87,100220.62,27.59,88.86,-8.49,44.7
DD,4,50.0,-41603908.83,-10400977.21,-0.19,4.97,-4.02,10.5
DDOG,1,0.0,-1668.92,-1668.92,-12.18,-12.18,-12.18,10.0
DDS,2,50.0,4956.92,2478.46,19.51,40.33,-1.31,12.0
DELL,3,66.7,202802001.08,67600667.03,3.42,15.36,-12.95,14.3
DGII,2,100.0,8818.05,4409.02,11.68,14.12,9.23,7.5
DK,3,0.0,-117810061.33,-39270020.44,-12.64,-6.15,-19.54,8.3
DNTH,3,100.0,311069180.77,103689726.92,36.29,69.11,12.9,19.0
DOCN,3,100.0,477794917.15,159264972.38,19.04,31.08,8.38,11.0
DRUG,6,66.7,64032266.07,10672044.35,217.75,1306.76,-18.27,19.0
DUOL,2,100.0,11961650.59,5980825.29,38.23,38.27,38.18,14.5
DVN,3,100.0,10875.66,3625.22,20.06,30.83,10.55,21.0
EA,1,0.0,-11027990.83,-11027990.83,-0.05,-0.05,-0.05,4.0
EAT,1,100.0,4552252.94,4552252.94,27.46,27.46,27.46,5.0
ECHO,4,50.0,87232304.1,21808076.02,16.91,42.75,-7.48,17.8
