date,equity,positions
2021-09-21,99229.93,10
2021-09-22,103445.73,10
2021-09-23,106732.1,10
2021-09-24,105969.24,10
2021-09-27,105383.04,10
2021-09-28,102596.67,10
2021-09-29,101517.79,10
2021-09-30,102499.76,10
2021-10-01,107318.74,10
2021-10-04,110440.63,10
2021-10-05,113292.59,10
2021-10-06,114268.53,10
2021-10-07,117948.81,10
2021-10-08,122485.72,10
2021-10-11,122720.42,10
2021-10-12,125694.7,10
2021-10-13,128255.91,10
2021-10-14,128426.28,10
2021-10-15,130600.95,10
2021-10-18,134362.34,10
2021-10-19,129976.13,10
2021-10-20,132445.4,10
2021-10-21,134807.59,10
2021-10-22,133581.56,10
2021-10-25,135473.0,10
2021-10-26,136020.45,10
2021-10-27,132756.54,10
2021-10-28,137655.67,10
2021-10-29,140582.71,10
2021-11-01,143629.83,10
2021-11-02,165129.39,10
2021-11-03,164816.84,10
2021-11-04,162834.4,10
2021-11-05,165639.95,10
2021-11-08,166348.24,10
2021-11-09,160993.29,10
2021-11-10,155882.19,10
2021-11-11,167321.56,10
2021-11-12,170200.39,10
2021-11-15,167318.91,10
2021-11-16,169936.23,10
2021-11-17,165897.84,10
2021-11-18,167077.58,10
2021-11-19,166642.75,10
2021-11-22,162242.54,10
2021-11-23,166028.79,10
2021-11-24,167451.67,10
2021-11-26,162019.23,10
2021-11-29,165544.98,10
2021-11-30,158218.47,10
2021-12-01,156276.7,10
2021-12-02,158633.77,10
2021-12-03,154332.73,10
2021-12-06,155199.43,10
2021-12-07,161471.07,10
2021-12-08,163287.28,10
2021-12-09,159431.77,10
2021-12-10,158928.19,10
2021-12-13,151103.02,10
2021-12-14,149146.79,10
2021-12-15,155161.13,10
2021-12-16,148319.21,10
2021-12-17,151989.48,10
2021-12-20,150436.75,10
2021-12-21,161231.87,10
2021-12-22,164015.55,10
2021-12-23,166981.02,10
2021-12-27,172967.62,10
2021-12-28,169006.28,10
2021-12-29,172740.39,10
2021-12-30,172760.56,10
2021-12-31,175862.93,10
2022-01-03,175334.9,10
2022-01-04,178804.51,10
2022-01-05,175394.15,10
2022-01-06,179685.43,10
2022-01-07,176532.57,10
2022-01-10,175367.68,10
2022-01-11,180356.54,10
2022-01-12,180880.82,10
2022-01-13,180060.94,10
2022-01-14,183578.21,10
2022-01-18,179262.4,10
2022-01-19,173218.08,10
2022-01-20,168755.2,10
2022-01-21,161827.99,10
2022-01-24,159292.58,10
2022-01-25,167400.12,10
2022-01-26,167169.85,10
2022-01-27,167702.9,10
2022-01-28,169799.81,10
2022-01-31,170227.16,10
2022-02-01,177950.31,10
2022-02-02,177054.16,10
2022-02-03,178790.16,10
2022-02-04,180363.45,10
2022-02-07,181431.2,10
2022-02-08,180132.14,10
2022-02-09,183384.01,10
2022-02-10,182590.33,10
2022-02-11,187523.19,10
2022-02-14,184463.4,10
2022-02-15,186137.99,10
2022-02-16,187530.7,10
2022-02-17,186348.4,10
2022-02-18,185145.53,10
2022-02-22,181990.92,10
2022-02-23,179678.75,10
2022-02-24,183589.53,10
2022-02-25,189143.49,10
2022-02-28,194844.12,10
2022-03-01,199714.24,10
2022-03-02,209177.22,10
2022-03-03,212703.08,10
2022-03-04,220442.36,10
2022-03-07,219948.59,10
2022-03-08,220629.12,10
2022-03-09,227179.87,10
2022-03-10,241592.68,10
2022-03-11,241334.53,10
2022-03-14,224011.72,10
2022-03-15,224026.23,10
2022-03-16,228985.09,10
2022-03-17,240990.3,10
2022-03-18,242546.19,10
2022-03-21,249258.34,10
2022-03-22,248190.49,10
2022-03-23,256524.93,10
2022-03-24,255072.85,10
2022-03-25,258098.01,10
2022-03-28,253298.37,10
2022-03-29,255855.09,10
2022-03-30,257320.78,10
2022-03-31,260018.48,10
2022-04-01,265866.3,10
2022-04-04,262723.24,10
2022-04-05,261195.55,10
2022-04-06,262617.17,10
2022-04-07,266332.79,10
2022-04-08,273266.02,10
2022-04-11,266531.2,10
2022-04-12,276432.5,10
2022-04-13,290517.27,10
2022-04-14,297402.25,10
2022-04-18,306231.23,10
2022-04-19,301816.5,10
2022-04-20,305742.63,10
2022-04-21,284489.44,10
2022-04-22,272405.27,10
2022-04-25,266379.78,10
2022-04-26,273546.39,10
2022-04-27,282752.67,10
2022-04-28,291736.94,10
2022-04-29,290769.62,10
2022-05-02,288670.43,10
2022-05-03,299252.88,10
2022-05-04,308023.9,10
2022-05-05,308696.62,10
2022-05-06,312975.27,10
2022-05-09,279630.6,10
2022-05-10,287028.24,10
2022-05-11,292490.62,10
2022-05-12,289355.45,10
2022-05-13,304189.24,10
2022-05-16,311126.77,10
2022-05-17,318121.54,10
2022-05-18,310697.96,10
2022-05-19,315653.53,10
2022-05-20,313735.14,10
2022-05-23,328760.57,10
2022-05-24,327904.95,10
2022-05-25,334655.3,10
2022-05-26,343896.34,10
2022-05-27,354433.63,10
2022-05-31,340658.11,10
2022-06-01,350902.95,10
2022-06-02,356506.39,10
2022-06-03,358699.41,10
2022-06-06,361299.53,10
2022-06-07,374433.87,10
2022-06-08,368998.82,10
2022-06-09,360821.94,10
2022-06-10,355510.31,10
2022-06-13,330364.09,10
2022-06-14,332795.76,10
2022-06-15,335919.24,10
2022-06-16,321682.37,10
2022-06-17,310526.38,10
2022-06-21,324479.55,10
2022-06-22,312382.36,10
2022-06-23,296501.15,10
2022-06-24,303305.44,10
2022-06-27,320603.78,10
2022-06-28,322411.92,10
2022-06-29,311316.78,10
2022-06-30,310498.12,10
2022-07-01,312825.68,10
