metric,value
window_start,2021-09-20
window_end,2026-09-11
trading_days,1250
calendar_days,1817
top_n,10
score,emasma
exit,ratchet-atr
universe_is_etf,False
tickers,
initial_capital_usd,100000.0
final_equity_usd,58083946961.03
total_return_pct,58083846.96
cagr_pct,1338.42
annualized_vol_pct,87.04
sharpe_ratio,3.41
sortino_ratio,6.55
max_drawdown_pct,-22.31
calmar_ratio,59.98
closed_trades,1612
open_at_sample_end,1
total_trades,1613
total_cost_usd,618563180.86
win_rate_pct,85.79
profit_factor,5.48
avg_win_usd,51364755.22
avg_loss_usd,-56584748.16
expectancy_usd_per_trade,36029496.99
best_trade_usd,2572031800.19
worst_trade_usd,-1154193649.95
best_trade_pct,1485.77
worst_trade_pct,-32.61
avg_hold_trading_days,15.83
max_losing_streak,5
days_invested_pct,100.0
avg_positions,9.92
cost_per_side_bps,5.0
ledger_sum_usd,58083946960.91
ledger_delta_usd,0.12
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,88.16
benchmark_spy_cagr_pct,13.54
benchmark_vti_return_pct,79.74
benchmark_vti_cagr_pct,12.5
benchmark_eqw_universe_return_pct,138.93
benchmark_eqw_universe_cagr_pct,19.12
