kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,1,BNTX,2021-09-28,290.45,29.25,2021-09-21,341.69,5.0,4.25,-1498.86,-1503.1,-15.04,5,rotation (out of top-N),2021-09-20,330.38,,5,-1,,66.0,,999,2021-09-27,251.96,,4.83,0.8,,24.16,,999
SELL,2,PVLA,2021-10-05,410.4,22.67,2021-09-21,440.8,5.0,4.65,-689.31,-693.96,-6.94,10,rotation (out of top-N),2021-09-20,450.8,,5,-0.8,,73.95,,105,2021-10-04,379.2,,5,-0.0,,41.18,,119
SELL,3,CNR,2021-10-26,27.88,449.42,2021-09-21,22.24,5.0,6.26,2534.7,2528.44,25.3,25,rotation (out of top-N),2021-09-20,22.68,,5,-1,,67.92,,999,2021-10-25,25.34,,5,-0.9,,57.41,,999
SELL,4,HRI,2021-10-05,158.7,84.52,2021-09-21,118.26,5.0,6.71,3417.87,3411.17,34.13,10,rotation (out of top-N),2021-09-20,146.68,,5,-0.8,,55.79,,999,2021-10-04,153.2,,5,-0.7,,54.97,,999
SELL,5,CAR,2021-12-14,219.57,108.81,2021-09-21,91.86,5.0,11.95,13895.73,13883.78,138.91,59,ratchet-ATR exit,2021-09-20,106.1,,5,-0.7,,53.66,,999,2021-12-13,205.36,,5,-1,,74.23,,999
SELL,6,DDS,2021-09-28,155.64,63.41,2021-09-21,157.63,5.0,4.93,-126.18,-131.12,-1.31,5,rotation (out of top-N),2021-09-20,161.67,,5,-1.0,,59.21,,999,2021-09-27,136.55,,5,0.4,,31.47,,999
SELL,7,SITM,2021-10-05,204.24,45.43,2021-09-21,220.0,5.0,4.64,-716.01,-720.64,-7.21,10,ratchet-ATR exit,2021-09-20,235.62,,5,-0.6,,78.83,,98,2021-10-04,215.03,,5,-0.7,,57.06,,112
SELL,8,AMR,2021-11-16,47.19,234.9,2021-09-21,42.55,5.0,5.54,1089.94,1084.39,10.85,40,rotation (out of top-N),2021-09-20,45.38,,5,-1,,119.49,,999,2021-11-15,43.77,,5,-0.5,,49.54,,999
SELL,9,TEAM,2021-09-28,381.41,24.45,2021-09-21,408.86,5.0,4.66,-670.93,-675.59,-6.76,5,rotation (out of top-N),2021-09-20,414.1,,5,-0.8,,55.14,,999,2021-09-27,392.44,,5,-0.2,,44.98,,999
SELL,10,MRNA,2021-09-28,398.74,23.63,2021-09-21,423.01,5.0,4.71,-573.46,-578.17,-5.78,5,rotation (out of top-N),2021-09-20,430.01,,5,-1,,89.62,,999,2021-09-27,340.3,,5,-0.3,,46.56,,999
SELL,11,LEU,2021-10-05,38.82,235.08,2021-09-28,39.48,4.64,4.56,-155.15,-159.71,-1.72,5,rotation (out of top-N),2021-09-27,41.29,,5,-1,,63.2,,999,2021-10-04,38.5,,5,-0.5,,49.91,,999
SELL,12,VIST,2021-11-02,6.14,1995.88,2021-09-28,4.65,4.64,6.13,2973.87,2967.74,31.98,25,rotation (out of top-N),2021-09-27,5.45,,5,-0.9,,58.37,,999,2021-11-01,5.86,,5,-0.5,,50.12,,999
SELL,13,AEHR,2021-11-23,17.43,647.2,2021-09-28,14.34,4.64,5.64,2003.09,1997.45,21.52,40,ratchet-ATR exit,2021-09-27,12.65,,5,-1,,202.88,,999,2021-11-22,17.11,,5,-1,,115.53,,999
SELL,14,DVN,2021-10-12,31.71,323.71,2021-09-28,28.67,4.64,5.13,984.09,978.96,10.55,10,rotation (out of top-N),2021-09-27,29.61,,5,-0.5,,50.59,,999,2021-10-11,32.27,,5,-0.8,,56.52,,999
SELL,15,XENE,2021-10-19,30.38,319.4,2021-10-05,32.17,5.14,4.85,-573.33,-578.18,-5.63,10,rotation (out of top-N),2021-10-04,32.85,,5,2.0,,82.84,,0,2021-10-18,30.87,,5,1.8,,64.25,,14
SELL,16,HCI,2021-10-12,125.45,96.63,2021-10-05,106.34,5.14,6.06,1846.52,1840.46,17.91,5,rotation (out of top-N),2021-10-04,120.54,,5,-0.8,,55.79,,999,2021-10-11,112.73,,5,-0.1,,42.71,,999
SELL,17,SITM,2021-10-12,210.29,50.31,2021-10-05,204.24,5.14,5.29,304.37,299.08,2.91,5,rotation (out of top-N),2021-10-04,215.03,,5,-0.7,,57.06,,112,2021-10-11,222.94,,5,-1.0,,59.85,,119
SELL,18,IDT,2021-10-12,51.18,241.03,2021-10-05,42.63,5.14,6.17,2060.82,2054.65,20.0,5,rotation (out of top-N),2021-10-04,49.92,,5,-0.8,,56.57,,999,2021-10-11,49.55,,5,-0.5,,51.0,,999
SELL,19,LEU,2021-11-23,63.66,266.46,2021-10-12,42.48,5.66,8.48,5643.69,5635.21,49.78,30,ratchet-ATR exit,2021-10-11,49.96,,5,-1,,89.38,,999,2021-11-22,58.85,,5,-1,,82.38,,999
SELL,20,HRI,2021-10-26,164.25,70.6,2021-10-12,160.33,5.66,5.8,276.75,270.96,2.39,10,rotation (out of top-N),2021-10-11,163.71,,5,-1,,61.47,,999,2021-10-25,167.58,,5,-0.9,,57.08,,999
SELL,21,PDS,2021-10-19,47.49,252.05,2021-10-12,44.91,5.66,5.98,650.28,644.29,5.69,5,rotation (out of top-N),2021-10-11,49.37,,5,-1,,60.13,,999,2021-10-18,45.1,,5,-0.2,,43.71,,999
SELL,22,NET,2021-11-23,183.89,77.92,2021-10-12,145.28,5.66,7.16,3008.76,3001.59,26.52,30,ratchet-ATR exit,2021-10-11,168.01,,5,-1,,72.48,,999,2021-11-22,200.61,,5,-1,,74.63,,999
SELL,23,NRP,2021-10-26,26.14,504.72,2021-10-19,21.47,5.42,6.6,2357.02,2350.42,21.69,5,rotation (out of top-N),2021-10-18,24.76,,5,-1,,71.25,,999,2021-10-25,23.39,,5,-0.9,,58.25,,999
SELL,24,ATLC,2021-11-16,74.05,158.54,2021-10-19,68.35,5.42,5.87,903.68,897.81,8.29,20,rotation (out of top-N),2021-10-18,70.48,,5,-1,,74.47,,999,2021-11-15,67.53,,5,-0.4,,48.81,,999
SELL,25,AMBA,2021-11-02,190.74,68.08,2021-10-26,182.6,6.22,6.49,554.15,547.65,4.41,5,rotation (out of top-N),2021-10-25,185.94,,5,1.1,,61.14,,56,2021-11-01,194.21,,5,-0.0,,64.75,,63
SELL,26,XENE,2021-11-09,34.38,405.84,2021-10-26,30.63,6.22,6.98,1523.93,1516.95,12.2,10,rotation (out of top-N),2021-10-25,31.14,,5,1.7,,62.41,,21,2021-11-08,31.45,,5,1.6,,56.61,,35
