kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,8,AMR,2021-09-21,42.55,234.9,,,5.0,,,,,,,2021-09-20,45.38,38.45,20.68,43.61,46.71,36.19,,,119.49,,999,5,,-1,
BUY,1,BNTX,2021-09-21,341.69,29.25,,,5.0,,,,,,,2021-09-20,330.38,326.02,199.02,336.0,345.29,350.28,,,66.0,,999,5,,-1,
BUY,5,CAR,2021-09-21,91.86,108.81,,,5.0,,,,,,,2021-09-20,106.1,87.74,69.05,90.18,88.33,84.4,,,53.66,,999,5,,-0.7,
BUY,3,CNR,2021-09-21,22.24,449.42,,,5.0,,,,,,,2021-09-20,22.68,21.08,13.51,21.85,23.08,21.02,,,67.92,,999,5,,-1,
BUY,6,DDS,2021-09-21,157.63,63.41,,,5.0,,,,,,,2021-09-20,161.67,149.96,101.55,155.16,155.25,149.36,,,59.21,,999,5,,-1.0,
BUY,4,HRI,2021-09-21,118.26,84.52,,,5.0,,,,,,,2021-09-20,146.68,120.02,94.15,114.45,117.04,115.79,,,55.79,,999,5,,-0.8,
BUY,10,MRNA,2021-09-21,423.01,23.63,,,5.0,,,,,,,2021-09-20,430.01,387.45,226.77,423.49,426.91,400.35,,,89.62,,999,5,,-1,
BUY,2,PVLA,2021-09-21,440.8,22.67,,,5.0,,,,,,,2021-09-20,450.8,384.73,259.16,439.2,440.28,355.68,,,73.95,,105,5,,-0.8,
BUY,7,SITM,2021-09-21,220.0,45.43,,,5.0,,,,,,,2021-09-20,235.62,199.21,131.76,217.43,220.07,193.5,,,78.83,,98,5,,-0.6,
BUY,9,TEAM,2021-09-21,408.86,24.45,,,5.0,,,,,,,2021-09-20,414.1,359.48,266.92,401.18,390.45,348.75,,,55.14,,999,5,,-0.8,
BUY,13,AEHR,2021-09-28,14.34,647.2,,,4.64,,,,,,,2021-09-27,12.65,9.58,4.18,15.07,12.4,8.16,,,202.88,,999,5,,-1,
BUY,14,DVN,2021-09-28,28.67,323.71,,,4.64,,,,,,,2021-09-27,29.61,24.33,19.66,28.16,25.13,22.67,,,50.59,,999,5,,-0.5,
BUY,11,LEU,2021-09-28,39.48,235.08,,,4.64,,,,,,,2021-09-27,41.29,32.02,25.3,39.21,35.79,28.88,,,63.2,,999,5,,-1,
BUY,12,VIST,2021-09-28,4.65,1995.88,,,4.64,,,,,,,2021-09-27,5.45,4.51,3.44,4.59,4.4,4.53,,,58.37,,999,5,,-0.9,
SELL,1,BNTX,2021-09-28,290.45,29.25,2021-09-21,341.69,5.0,4.25,-1498.86,-1503.1,-15.04,5,rotation (out of top-N),2021-09-27,251.96,312.56,202.93,304.21,334.64,354.0,,,24.16,,999,4.83,,0.8,
SELL,6,DDS,2021-09-28,155.64,63.41,2021-09-21,157.63,5.0,4.93,-126.18,-131.12,-1.31,5,rotation (out of top-N),2021-09-27,136.55,147.52,103.86,158.45,158.55,151.61,,,31.47,,999,5,,0.4,
SELL,10,MRNA,2021-09-28,398.74,23.63,2021-09-21,423.01,5.0,4.71,-573.46,-578.17,-5.78,5,rotation (out of top-N),2021-09-27,340.3,378.88,232.19,408.71,429.36,411.72,,,46.56,,999,5,,-0.3,
SELL,9,TEAM,2021-09-28,381.41,24.45,2021-09-21,408.86,5.0,4.66,-670.93,-675.59,-6.76,5,rotation (out of top-N),2021-09-27,392.44,365.47,270.69,391.78,399.4,364.6,,,44.98,,999,5,,-0.2,
BUY,16,HCI,2021-10-05,106.34,96.63,,,5.14,,,,,,,2021-10-04,120.54,102.29,77.37,105.2,102.11,100.16,,,55.79,,999,5,,-0.8,
BUY,18,IDT,2021-10-05,42.63,241.03,,,5.14,,,,,,,2021-10-04,49.92,45.39,31.88,42.92,42.56,45.13,,,56.57,,999,5,,-0.8,
BUY,17,SITM,2021-10-05,204.24,50.31,,,5.14,,,,,,,2021-10-04,215.03,203.61,136.91,200.7,210.61,211.59,,,57.06,,112,5,,-0.7,
BUY,15,XENE,2021-10-05,32.17,319.4,,,5.14,,,,,,,2021-10-04,32.85,19.79,17.97,31.57,18.61,17.33,,,82.84,,0,5,,2.0,
SELL,4,HRI,2021-10-05,158.7,84.52,2021-09-21,118.26,5.0,6.71,3417.87,3411.17,34.13,10,rotation (out of top-N),2021-10-04,153.2,131.53,98.86,157.8,146.25,124.27,,,54.97,,999,5,,-0.7,
SELL,11,LEU,2021-10-05,38.82,235.08,2021-09-28,39.48,4.64,4.56,-155.15,-159.71,-1.72,5,rotation (out of top-N),2021-10-04,38.5,33.2,25.68,40.1,37.96,30.83,,,49.91,,999,5,,-0.5,
SELL,2,PVLA,2021-10-05,410.4,22.67,2021-09-21,440.8,5.0,4.65,-689.31,-693.96,-6.94,10,rotation (out of top-N),2021-10-04,379.2,388.67,268.59,412.8,427.61,392.85,,,41.18,,119,5,,-0.0,
SELL,7,SITM,2021-10-05,204.24,45.43,2021-09-21,220.0,5.0,4.64,-716.01,-720.64,-7.21,10,ratchet-ATR exit,2021-10-04,215.03,203.61,136.91,200.7,210.61,211.59,,,57.06,,112,5,,-0.7,
BUY,20,HRI,2021-10-12,160.33,70.6,,,5.66,,,,,,,2021-10-11,163.71,137.38,101.39,156.63,151.96,128.87,,,61.47,,999,5,,-1,
BUY,19,LEU,2021-10-12,42.48,266.46,,,5.66,,,,,,,2021-10-11,49.96,36.25,26.38,42.23,39.11,32.71,,,89.38,,999,5,,-1,
BUY,22,NET,2021-10-12,145.28,77.92,,,5.66,,,,,,,2021-10-11,168.01,132.4,97.41,144.48,131.14,125.82,,,72.48,,999,5,,-1,
BUY,21,PDS,2021-10-12,44.91,252.05,,,5.66,,,,,,,2021-10-11,49.37,39.11,30.83,45.93,41.98,35.07,,,60.13,,999,5,,-1,
SELL,14,DVN,2021-10-12,31.71,323.71,2021-09-28,28.67,4.64,5.13,984.09,978.96,10.55,10,rotation (out of top-N),2021-10-11,32.27,26.93,20.62,31.74,30.27,24.96,,,56.52,,999,5,,-0.8,
SELL,16,HCI,2021-10-12,125.45,96.63,2021-10-05,106.34,5.14,6.06,1846.52,1840.46,17.91,5,rotation (out of top-N),2021-10-11,112.73,104.19,78.99,125.3,113.24,102.0,,,42.71,,999,5,,-0.1,
SELL,18,IDT,2021-10-12,51.18,241.03,2021-10-05,42.63,5.14,6.17,2060.82,2054.65,20.0,5,rotation (out of top-N),2021-10-11,49.55,46.14,32.82,51.08,46.31,44.39,,,51.0,,999,5,,-0.5,
SELL,17,SITM,2021-10-12,210.29,50.31,2021-10-05,204.24,5.14,5.29,304.37,299.08,2.91,5,rotation (out of top-N),2021-10-11,222.94,207.12,139.47,210.71,211.74,212.88,,,59.85,,119,5,,-1.0,
BUY,24,ATLC,2021-10-19,68.35,158.54,,,5.42,,,,,,,2021-10-18,70.48,56.6,40.4,67.06,59.46,55.18,,,74.47,,999,5,,-1,
BUY,23,NRP,2021-10-19,21.47,504.72,,,5.42,,,,,,,2021-10-18,24.76,18.61,14.46,20.44,19.63,16.83,,,71.25,,999,5,,-1,
SELL,21,PDS,2021-10-19,47.49,252.05,2021-10-12,44.91,5.66,5.98,650.28,644.29,5.69,5,rotation (out of top-N),2021-10-18,45.1,40.2,31.38,49.01,45.89,37.02,,,43.71,,999,5,,-0.2,
SELL,15,XENE,2021-10-19,30.38,319.4,2021-10-05,32.17,5.14,4.85,-573.33,-578.18,-5.63,10,rotation (out of top-N),2021-10-18,30.87,23.86,18.79,30.68,30.28,21.0,,,64.25,,14,5,,1.8,
BUY,25,AMBA,2021-10-26,182.6,68.08,,,6.22,,,,,,,2021-10-25,185.94,154.78,115.39,180.14,169.72,152.33,,,61.14,,56,5,,1.1,
BUY,27,SITM,2021-10-26,240.6,51.67,,,6.22,,,,,,,2021-10-25,264.63,220.8,144.96,239.83,225.3,218.42,,,82.56,,133,5,,-1,
BUY,26,XENE,2021-10-26,30.63,405.84,,,6.22,,,,,,,2021-10-25,31.14,25.19,19.17,30.69,30.45,22.69,,,62.41,,21,5,,1.7,
SELL,3,CNR,2021-10-26,27.88,449.42,2021-09-21,22.24,5.0,6.26,2534.7,2528.44,25.3,25,rotation (out of top-N),2021-10-25,25.34,25.34,16.1,27.58,28.94,25.68,,,57.41,,999,5,,-0.9,
