symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
AAMI,2,50.0,-289844.71,-144922.35,-0.27,4.39,-4.93,9.5
AAOI,34,91.2,44616169.97,1312240.29,84.3,242.66,-21.79,25.1
AAON,1,100.0,776.52,776.52,3.57,3.57,3.57,5.0
AAP,1,100.0,567990.2,567990.2,15.14,15.14,15.14,5.0
ABVX,12,91.7,26441076.78,2203423.06,180.21,575.89,-3.57,29.9
ACIW,1,100.0,21019.2,21019.2,5.12,5.12,5.12,5.0
ACLS,16,87.5,21581.68,1348.86,21.97,44.02,-4.71,19.8
ACMR,16,87.5,831951.71,51996.98,13.45,40.03,-24.06,9.0
ACU,2,0.0,-7565.77,-3782.89,-3.56,-2.3,-4.82,5.0
AEHR,38,84.2,26547772.08,698625.58,36.74,166.88,-20.95,24.3
AEIS,1,100.0,4411805.15,4411805.15,14.87,14.87,14.87,5.0
AEM,4,100.0,329298.82,82324.71,12.96,19.81,3.81,8.2
AFRM,16,87.5,408968.26,25560.52,46.43,162.06,-7.29,17.9
AGL,13,84.6,89845828.23,6911217.56,93.45,219.98,-9.17,20.2
AGX,17,88.2,13568809.75,798165.28,12.79,34.45,-7.61,13.9
AGYS,4,100.0,8549.89,2137.47,15.93,29.38,4.61,11.8
ALAB,8,87.5,8814605.75,1101825.72,26.7,63.67,-17.2,18.5
ALB,4,75.0,2592617.2,648154.3,7.54,15.99,-8.67,6.0
ALGT,3,33.3,-18292.39,-6097.46,-0.02,1.56,-1.19,11.7
ALNT,5,60.0,-3757130.16,-751426.03,1.52,5.39,-4.98,4.8
ALNY,10,90.0,460625.24,46062.52,18.78,62.23,-2.69,9.9
AMAT,1,0.0,-18608734.38,-18608734.38,-21.97,-21.97,-21.97,4.0
AMBA,8,100.0,2159.68,269.96,13.01,20.71,3.66,15.4
AMD,12,75.0,21510860.36,1792571.7,7.91,27.74,-8.82,11.5
AMKR,5,60.0,2614021.78,522804.36,3.83,12.19,-1.97,6.8
AMR,38,89.5,68463.92,1801.68,36.94,156.04,-17.95,31.5
ANAB,11,81.8,17833150.44,1621195.49,10.2,37.46,-2.95,9.7
ANDE,5,80.0,1111.38,222.28,4.41,9.71,-1.75,6.8
ANET,5,80.0,4391.78,878.36,7.8,14.3,-0.46,7.8
ANF,20,80.0,-2347529.79,-117376.49,47.37,133.24,-8.32,52.2
ANIP,2,100.0,2385.46,1192.73,4.91,7.01,2.81,4.5
APA,13,92.3,6287455.42,483650.42,18.63,45.0,-3.75,28.8
APGE,3,100.0,87727.21,29242.4,0.12,0.19,0.07,10.0
APP,34,85.3,2181148.08,64151.41,38.71,172.91,-8.24,23.2
ARCB,5,40.0,-223.48,-44.7,2.22,15.87,-8.1,8.8
ARGX,1,0.0,-300.73,-300.73,-2.83,-2.83,-2.83,9.0
ARM,3,66.7,38832114.49,12944038.16,52.19,91.32,-7.68,9.0
ARWR,12,100.0,9393113.72,782759.48,67.67,119.48,10.55,54.1
ASTS,23,87.0,8443006.85,367087.25,50.36,324.66,-17.08,22.7
ATEX,10,90.0,41010462.86,4101046.29,36.82,88.76,-7.06,21.5
ATI,6,83.3,20458.2,3409.7,4.33,11.83,-1.8,7.8
ATLC,13,46.2,-72195.63,-5553.51,11.19,63.71,-9.69,11.7
ATRO,10,100.0,1237020.96,123702.1,13.25,36.25,0.56,10.7
AU,13,76.9,-291844.09,-22449.55,6.83,21.48,-7.16,12.1
AVAV,5,80.0,3571951.41,714390.28,19.29,35.14,-0.42,6.0
AXON,10,80.0,511762.46,51176.25,14.99,40.03,-0.72,9.9
AXSM,10,70.0,5469.97,547.0,10.29,59.97,-15.45,11.2
BABA,4,25.0,-357147.88,-89286.97,-4.21,3.99,-18.47,10.0
BAND,9,88.9,56821198.18,6313466.46,59.25,144.41,-2.03,15.6
BANF,5,100.0,2924.2,584.84,12.42,20.17,3.3,13.4
BBIO,14,64.3,9423.07,673.08,2.26,19.38,-13.98,9.6
BCC,3,100.0,764.63,254.88,12.01,13.8,10.31,11.3
BE,27,85.2,32091449.7,1188572.21,49.55,206.31,-8.04,17.6
BELFA,5,60.0,11307.33,2261.47,8.83,24.1,-3.63,14.2
BELFB,13,76.9,86692.42,6668.65,14.02,37.46,-6.83,17.1
BFH,3,66.7,54084.17,18028.06,4.85,13.39,-5.8,6.3
BIIB,2,100.0,6287.63,3143.82,21.56,34.68,8.44,5.0
BJ,2,50.0,-2443.52,-1221.76,0.64,1.47,-0.2,9.5
BJRI,1,0.0,-2007737.36,-2007737.36,-2.53,-2.53,-2.53,5.0
BKR,2,100.0,213.13,106.56,1.75,2.48,1.01,10.0
BLBD,14,92.9,141962.88,10140.21,31.48,51.79,-1.9,14.4
BLDR,6,83.3,18056.51,3009.42,10.81,30.67,-1.13,13.7
BLTE,12,100.0,4323826.16,360318.85,17.73,31.99,1.64,18.2
BMA,14,92.9,399859.86,28561.42,13.62,34.09,-13.55,11.9
BNTX,3,33.3,-930.59,-310.2,-4.5,8.43,-15.04,6.0
BOOT,5,80.0,99670.15,19934.03,4.66,15.91,-7.67,7.8
BROS,6,83.3,149816.41,24969.4,10.6,23.78,-2.88,15.3
BX,2,100.0,552.38,276.19,12.0,12.77,11.23,7.5
BXC,7,100.0,5027.17,718.17,16.63,29.28,6.56,12.3
CAKE,3,66.7,332332.15,110777.38,1.18,3.48,-2.11,9.3
CALM,5,80.0,2952.73,590.55,5.72,15.45,-0.34,6.0
CAMT,18,94.4,55663.45,3092.41,15.11,35.56,-0.06,24.1
CAR,20,90.0,46830150.49,2341507.52,55.41,186.23,-15.28,17.9
CAVA,5,100.0,272704.88,54540.98,31.35,48.55,11.82,22.6
CBRL,4,25.0,-6625776.73,-1656444.18,-2.21,1.98,-6.68,5.2
CBT,1,100.0,279.71,279.71,4.04,4.04,4.04,9.0
CCB,8,87.5,201555.14,25194.39,9.49,26.54,-3.13,10.8
CCJ,1,100.0,11965.67,11965.67,14.6,14.6,14.6,19.0
CCL,3,100.0,15122.87,5040.96,18.64,28.39,1.95,14.0
CECO,16,93.8,969160.88,60572.56,25.02,61.13,-1.59,30.4
CEG,4,50.0,35982.76,8995.69,1.53,7.68,-4.53,7.2
CELC,15,93.3,14439758.99,962650.6,43.16,91.61,-17.2,33.0
CF,7,100.0,3448.91,492.7,12.96,30.07,3.13,16.3
CGON,1,100.0,1720550.87,1720550.87,6.8,6.8,6.8,5.0
CHEF,1,0.0,-69061.65,-69061.65,-3.71,-3.71,-3.71,5.0
CHRD,3,66.7,498.67,166.22,1.26,7.3,-3.92,11.0
CIB,4,75.0,69321.48,17330.37,2.13,5.68,-2.58,9.5
CIEN,15,100.0,33955484.45,2263698.96,39.66,69.45,1.38,38.3
CLS,36,83.3,3452521.99,95903.39,14.8,47.45,-16.23,16.1
CMPR,10,90.0,11443.05,1144.3,8.15,24.29,-3.51,14.7
CNP,1,0.0,-6441.18,-6441.18,-0.33,-0.33,-0.33,5.0
CNR,25,92.0,17565.88,702.64,13.47,37.61,-4.7,17.8
COCO,6,100.0,14144.2,2357.37,17.98,24.74,8.96,18.3
COHR,13,100.0,14467432.2,1112879.4,15.53,57.96,0.51,8.3
COHU,2,100.0,11876122.24,5938061.12,16.52,16.56,16.48,7.0
COIN,14,100.0,744230.09,53159.29,34.18,83.6,1.87,15.0
COKE,8,75.0,703778.12,87972.26,6.66,13.35,-2.9,8.4
COOK,4,75.0,27086.8,6771.7,11.58,27.57,-1.38,7.2
COP,3,100.0,1483.78,494.59,13.71,23.15,1.6,26.7
CORT,16,75.0,883305.11,55206.57,3.85,17.79,-32.61,9.8
CRDO,17,82.4,3601559.89,211856.46,17.54,85.46,-21.94,21.9
CROX,11,81.8,14071.31,1279.21,12.1,33.44,-1.0,11.5
CRS,7,100.0,159466.98,22781.0,10.96,20.95,1.62,12.7
CRUS,2,100.0,36320.66,18160.33,4.51,4.51,4.51,7.5
CRVL,2,100.0,399.83,199.91,7.41,10.09,4.73,7.5
CRWD,6,100.0,53912.93,8985.49,14.8,24.65,1.66,12.8
CTRN,1,100.0,225362.11,225362.11,7.68,7.68,7.68,5.0
CUBI,12,91.7,42211.64,3517.64,23.95,46.12,-0.83,17.6
CVLT,3,100.0,28596.07,9532.02,6.9,12.13,2.47,14.7
CVNA,30,96.7,1312821.99,43760.73,49.25,201.31,-16.02,29.5
CVS,1,0.0,-44355.0,-44355.0,-2.38,-2.38,-2.38,5.0
CVSA,6,100.0,425512.74,70918.79,10.81,17.89,2.65,12.0
CVX,4,100.0,1645.92,411.48,7.62,10.42,2.33,6.2
CYTK,9,66.7,-24159.19,-2684.35,5.11,27.64,-21.37,8.9
DAC,3,66.7,1335.43,445.14,13.52,31.59,-12.19,8.3
DAR,1,100.0,1226654.26,1226654.26,4.55,4.55,4.55,4.0
DAVE,34,91.2,12809005.5,376735.46,70.35,221.82,-10.79,22.7
DBD,12,75.0,74958.52,6246.54,19.6,54.51,-8.58,34.5
DD,5,60.0,236602.34,47320.47,0.66,3.42,-4.01,7.2
DDOG,8,62.5,3673906.69,459238.34,5.62,23.32,-5.25,8.8
DDS,8,75.0,1974.49,246.81,38.91,97.98,-1.86,21.1
DELL,24,70.8,62916131.31,2621505.47,12.24,97.78,-3.9,14.8
DGII,8,75.0,1235.17,154.4,10.45,30.01,-4.51,18.4
DINO,8,87.5,2982523.63,372815.45,14.67,29.5,-2.59,14.6
DK,13,100.0,9028014.35,694462.64,16.48,43.1,0.98,13.4
DKL,1,0.0,-452.85,-452.85,-2.99,-2.99,-2.99,9.0
DKS,3,66.7,45233.11,15077.7,11.9,20.23,-2.17,8.0
DLTR,1,0.0,-231.47,-231.47,-2.55,-2.55,-2.55,5.0
DNTH,15,93.3,16201838.59,1080122.57,36.03,81.72,-1.68,18.6
DOCN,7,100.0,35577906.03,5082558.0,46.21,63.89,25.13,16.6
DRUG,18,77.8,14856884.03,825382.45,199.04,1738.26,-8.16,13.5
DUOL,11,90.9,618157.57,56196.14,15.52,38.27,-2.72,12.3
DVN,14,92.9,4199.94,300.0,10.76,28.72,-2.55,18.2
DXPE,3,100.0,156454.63,52151.54,13.39,21.04,4.86,16.3
EA,1,0.0,-1082436.46,-1082436.46,-0.05,-0.05,-0.05,4.0
EAT,18,77.8,-7988709.82,-443817.21,7.48,45.49,-10.54,12.7
ECHO,11,90.9,11029677.78,1002697.98,31.76,68.68,-3.91,17.0
ECPG,3,33.3,-90.08,-30.03,-0.33,8.14,-6.52,7.7
ELF,27,92.6,38092.69,1410.84,15.84,45.06,-10.11,21.3
ELVN,21,90.5,22382819.42,1065848.54,23.43,112.42,-6.13,19.8
EMBJ,11,100.0,78308.11,7118.92,8.41,19.15,0.72,9.5
ENLT,6,100.0,8889124.64,1481520.77,14.67,28.7,3.01,16.8
ENVA,1,100.0,3140.92,3140.92,12.74,12.74,12.74,5.0
EOG,5,80.0,919.68,183.94,6.3,16.5,-3.6,13.2
EQT,14,92.9,5948.48,424.89,22.86,54.78,-5.97,25.2
ERIE,1,100.0,930.62,930.62,6.48,6.48,6.48,5.0
ESLT,13,76.9,2115051.24,162696.25,4.9,18.49,-8.27,9.8
ESTC,5,60.0,-3274000.49,-654800.1,25.19,52.9,-4.06,12.0
EXE,4,100.0,1578.91,394.73,5.93,12.58,0.82,7.0
F,3,66.7,-617.98,-205.99,-1.78,5.31,-11.36,8.0
FANG,4,100.0,1661.53,415.38,9.99,22.03,4.49,15.5
FBRX,19,94.7,166105691.55,8742404.82,57.99,271.78,-2.17,10.7
FCAP,3,66.7,230792.88,76930.96,10.58,19.8,-4.62,9.7
FCN,2,50.0,872.02,436.01,4.09,8.75,-0.56,7.0
FCNCA,2,100.0,6365.92,3182.96,16.29,16.36,16.22,12.0
FEIM,10,90.0,9460133.48,946013.35,24.1,69.36,-1.56,10.9
FET,5,60.0,-5170295.72,-1034059.14,6.02,24.44,-10.53,10.4
FICO,1,100.0,535.44,535.44,2.46,2.46,2.46,5.0
FIX,2,100.0,96891.16,48445.58,5.78,10.01,1.54,5.0
FLEX,3,100.0,21102245.39,7034081.8,29.76,52.79,2.49,6.7
FLR,1,100.0,1296.49,1296.49,16.19,16.19,16.19,5.0
FLXS,8,87.5,199248.2,24906.02,8.08,19.98,-0.65,10.1
FN,2,100.0,2132.22,1066.11,3.87,4.96,2.78,7.5
FNV,2,100.0,306239.48,153119.74,14.97,16.49,13.46,7.0
FORM,8,100.0,20328300.11,2541037.51,26.0,60.0,2.49,17.4
FRHC,1,100.0,300103.52,300103.52,11.59,11.59,11.59,5.0
FSLR,17,100.0,124112.74,7300.75,22.88,38.84,9.36,20.1
FTAI,19,100.0,3350665.55,176350.82,13.83,34.73,0.26,21.4
FTI,9,88.9,9430.16,1047.8,7.08,12.82,-1.86,9.9
FTNT,4,25.0,-8316997.69,-2079249.42,-2.78,3.36,-7.05,3.2
FUTU,12,91.7,2239538.31,186628.19,11.77,27.51,-19.0,10.6
GE,7,100.0,20944.16,2992.02,6.39,8.65,2.98,12.7
GEV,2,50.0,622062.4,311031.2,6.37,14.98,-2.25,12.5
GFF,2,100.0,3697.02,1848.51,14.52,21.72,7.33,12.5
GFS,1,100.0,12855828.31,12855828.31,22.64,22.64,22.64,9.0
GH,8,87.5,1858999.98,232375.0,11.68,29.69,-5.94,12.1
GHM,6,66.7,-8954.81,-1492.47,9.84,22.44,-3.81,13.7
GILD,2,0.0,-118041.59,-59020.8,-3.08,-0.53,-5.62,5.0
GLW,3,100.0,12171517.25,4057172.42,20.67,31.96,13.57,10.7
GPOR,2,100.0,824.09,412.05,1.65,2.3,0.99,10.0
GRAL,5,100.0,5378600.09,1075720.02,28.1,54.63,5.44,18.8
GRBK,3,100.0,17481.91,5827.3,40.66,45.74,35.89,30.7
GRVY,1,0.0,-2273.64,-2273.64,-7.23,-7.23,-7.23,4.0
GSAT,12,100.0,4424077.62,368673.14,24.21,53.48,5.68,14.9
GSHD,1,100.0,3675.68,3675.68,4.87,4.87,4.87,5.0
HAE,2,50.0,283.54,141.77,1.06,4.54,-2.41,5.0
HAL,7,100.0,2699.09,385.58,8.49,19.78,1.3,17.4
HALO,2,50.0,-25317.51,-12658.76,-1.52,2.2,-5.24,9.5
HCC,7,100.0,2735.29,390.76,22.79,45.91,0.72,24.1
HCI,11,90.9,360905.75,32809.61,13.91,36.2,-3.63,8.0
HIFS,1,0.0,-25970.94,-25970.94,-6.23,-6.23,-6.23,5.0
HNGE,4,50.0,-4790271.71,-1197567.93,-1.07,2.6,-5.04,5.5
HOOD,23,87.0,5033408.87,218843.86,29.22,132.56,-20.2,20.0
HOV,14,100.0,216135.17,15438.23,31.76,64.09,7.87,18.9
HPE,4,75.0,7794240.15,1948560.04,6.5,13.52,-3.16,7.8
HQY,2,50.0,138.84,69.42,0.85,3.0,-1.29,7.0
HRI,3,100.0,1479.57,493.19,29.49,34.13,26.07,21.3
HUBS,1,100.0,48.46,48.46,1.0,1.0,1.0,5.0
HURN,3,100.0,1539.43,513.14,10.14,14.02,7.72,20.0
HUT,23,87.0,22923917.13,996692.05,20.38,52.49,-16.75,13.4
HWKN,3,100.0,29515.08,9838.36,9.9,15.97,5.66,18.0
HWM,3,100.0,337625.57,112541.86,10.5,14.23,6.15,6.7
ICHR,12,91.7,36698938.66,3058244.89,25.25,53.54,-2.31,18.2
ICUI,4,100.0,172198.49,43049.62,33.74,42.4,24.52,19.5
IDCC,3,100.0,123746.06,41248.69,4.55,7.14,2.07,6.7
IDT,6,100.0,1242.23,207.04,16.43,27.4,4.64,12.3
IESC,16,100.0,548036.35,34252.27,14.93,41.51,0.19,12.0
IFS,2,50.0,13.09,6.54,0.11,0.23,-0.01,7.0
IMO,6,83.3,811.64,135.27,3.74,12.42,-9.75,9.7
IMOS,3,33.3,646170.72,215390.24,2.83,12.04,-2.3,8.0
INBX,15,86.7,36829050.47,2455270.03,55.6,170.83,-12.11,19.9
INOD,30,83.3,1476114.73,49203.82,22.79,126.24,-23.85,19.9
