symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
AAMI,2,50.0,-296373.69,-148186.85,-0.22,4.44,-4.88,9.5
AAOI,34,91.2,46371619.66,1363871.17,84.37,242.69,-21.75,25.1
AAON,1,100.0,795.81,795.81,3.62,3.62,3.62,5.0
AAP,1,100.0,588566.89,588566.89,15.2,15.2,15.2,5.0
ABVX,12,91.7,27345026.93,2278752.24,180.26,576.23,-3.52,29.9
ACIW,1,100.0,21731.52,21731.52,5.17,5.17,5.17,5.0
ACLS,16,87.5,21906.12,1369.13,22.03,44.07,-4.66,19.8
ACMR,16,87.5,941514.56,58844.66,13.5,40.1,-24.02,9.0
ACU,2,0.0,-7587.59,-3793.8,-3.51,-2.25,-4.77,5.0
AEHR,38,84.2,27733799.31,729836.82,36.8,167.02,-20.91,24.3
AEIS,1,100.0,4600046.7,4600046.7,14.93,14.93,14.93,5.0
AEM,4,100.0,341304.33,85326.08,13.02,19.87,3.86,8.2
AFRM,16,87.5,423156.52,26447.28,46.5,162.19,-7.25,17.9
AGL,13,84.6,93501597.16,7192430.55,93.45,220.14,-9.13,20.2
AGX,17,88.2,14137761.54,831633.03,12.85,34.5,-7.56,13.9
AGYS,4,100.0,8663.98,2165.99,15.99,29.43,4.66,11.8
ALAB,8,87.5,9209418.21,1151177.28,26.77,63.74,-17.15,18.5
ALB,4,75.0,2713184.38,678296.09,7.59,16.05,-8.62,6.0
ALGT,3,33.3,-17866.12,-5955.37,0.03,1.61,-1.14,11.7
ALNT,5,60.0,-3871833.58,-774366.72,1.57,5.44,-4.93,4.8
ALNY,10,90.0,478105.88,47810.59,18.84,62.31,-2.64,9.9
AMAT,1,0.0,-19329548.51,-19329548.51,-21.94,-21.94,-21.94,4.0
AMBA,8,100.0,2171.68,271.46,13.06,20.77,3.71,15.4
AMD,12,75.0,22459529.66,1871627.47,7.96,27.8,-8.78,11.5
AMKR,5,60.0,2752022.83,550404.57,3.88,12.25,-1.92,6.8
AMR,38,89.5,69718.92,1834.71,37.0,156.07,-17.91,31.5
ANAB,11,81.8,18592063.62,1690187.6,10.26,37.52,-2.9,9.7
ANDE,5,80.0,1134.66,226.93,4.46,9.77,-1.7,6.8
ANET,5,80.0,4469.18,893.84,7.86,14.36,-0.41,7.8
ANF,20,80.0,-2410903.89,-120545.19,47.4,133.2,-8.27,52.2
ANIP,2,100.0,2456.96,1228.48,4.96,7.06,2.86,4.5
APA,13,92.3,6542459.75,503266.13,18.68,45.05,-3.71,28.8
APGE,3,100.0,134453.82,44817.94,0.17,0.24,0.12,10.0
APP,34,85.3,2247023.23,66088.92,38.76,172.91,-8.19,23.2
ARCB,5,40.0,-215.69,-43.14,2.27,15.93,-8.05,8.8
ARGX,1,0.0,-297.6,-297.6,-2.78,-2.78,-2.78,9.0
ARM,3,66.7,40463589.66,13487863.22,52.27,91.42,-7.63,9.0
ARWR,12,100.0,9729182.49,810765.21,67.72,119.55,10.61,54.1
ASTS,23,87.0,8749190.62,380399.59,50.42,324.66,-17.04,22.7
ATEX,10,90.0,42780765.22,4278076.52,36.88,88.85,-7.01,21.5
ATI,6,83.3,22689.37,3781.56,4.38,11.89,-1.75,7.8
ATLC,13,46.2,-69737.97,-5364.46,11.24,63.79,-9.64,11.7
ATRO,10,100.0,1290009.95,129001.0,13.3,36.31,0.61,10.7
AU,13,76.9,-285247.08,-21942.08,6.88,21.53,-7.11,12.1
AVAV,5,80.0,3701652.47,740330.49,19.35,35.2,-0.37,6.0
AXON,10,80.0,527455.77,52745.58,15.05,40.1,-0.67,9.9
AXSM,10,70.0,5568.02,556.8,10.34,60.05,-15.41,11.2
BABA,4,25.0,-366003.74,-91500.93,-4.16,4.04,-18.43,10.0
BAND,9,88.9,59180335.57,6575592.84,59.3,144.41,-1.98,15.6
BANF,5,100.0,2958.48,591.7,12.48,20.22,3.35,13.4
BBIO,14,64.3,10003.44,714.53,2.31,19.44,-13.94,9.6
BCC,3,100.0,771.01,257.0,12.06,13.86,10.36,11.3
BE,27,85.2,33347701.52,1235100.06,49.61,206.37,-7.99,17.6
BELFA,5,60.0,11524.63,2304.93,8.87,24.15,-3.59,14.2
BELFB,13,76.9,92122.28,7086.33,14.08,37.52,-6.79,17.1
BFH,3,66.7,56006.55,18668.85,4.9,13.45,-5.75,6.3
BIIB,2,100.0,6362.07,3181.03,21.62,34.75,8.49,5.0
BJ,2,50.0,-1477.83,-738.92,0.69,1.52,-0.15,9.5
BJRI,1,0.0,-2050586.39,-2050586.39,-2.48,-2.48,-2.48,5.0
BKR,2,100.0,218.56,109.28,1.79,2.53,1.06,10.0
BLBD,14,92.9,145242.44,10374.46,31.54,51.85,-1.85,14.4
BLDR,6,83.3,18392.24,3065.37,10.86,30.72,-1.08,13.7
BLTE,12,100.0,4496771.28,374730.94,17.78,32.06,1.68,18.2
BMA,14,92.9,412372.61,29455.19,13.67,34.16,-13.51,11.9
BNTX,3,33.3,-926.74,-308.91,-4.45,8.48,-15.0,6.0
BOOT,5,80.0,102549.08,20509.82,4.71,15.96,-7.62,7.8
BROS,6,83.3,157369.06,26228.18,10.66,23.85,-2.83,15.3
BX,2,100.0,555.74,277.87,12.05,12.83,11.28,7.5
BXC,7,100.0,5067.91,723.99,16.68,29.34,6.61,12.3
CAKE,3,66.7,434870.21,144956.74,1.23,3.53,-2.06,9.3
CALM,5,80.0,2999.77,599.95,5.78,15.51,-0.29,6.0
CAMT,18,94.4,57328.62,3184.92,15.16,35.62,-0.01,24.1
CAR,20,90.0,48666793.65,2433339.68,55.47,186.38,-15.24,17.9
CAVA,5,100.0,279755.13,55951.03,31.4,48.62,11.87,22.6
CBRL,4,25.0,-6778138.1,-1694534.52,-2.17,2.03,-6.63,5.2
CBT,1,100.0,284.43,284.43,4.09,4.09,4.09,9.0
CCB,8,87.5,209385.44,26173.18,9.55,26.6,-3.08,10.8
CCJ,1,100.0,12215.39,12215.39,14.65,14.65,14.65,19.0
CCL,3,100.0,15395.47,5131.82,18.7,28.46,2.0,14.0
CECO,16,93.8,1009791.69,63111.98,25.07,61.2,-1.55,30.4
CEG,4,50.0,37630.2,9407.55,1.58,7.73,-4.48,7.2
CELC,15,93.3,14972118.89,998141.26,43.21,91.69,-17.16,33.0
CF,7,100.0,3488.5,498.36,13.02,30.13,3.18,16.3
CGON,1,100.0,1799489.85,1799489.85,6.86,6.86,6.86,5.0
CHEF,1,0.0,-70102.7,-70102.7,-3.66,-3.66,-3.66,5.0
CHRD,3,66.7,509.75,169.92,1.31,7.35,-3.87,11.0
CIB,4,75.0,73576.3,18394.07,2.19,5.74,-2.53,9.5
CIEN,15,100.0,35279314.82,2351954.32,39.71,69.5,1.43,38.3
CLS,36,83.3,3596838.26,99912.17,14.86,47.51,-16.19,16.1
CMPR,10,90.0,11735.09,1173.51,8.2,24.35,-3.47,14.7
CNP,1,0.0,-5639.18,-5639.18,-0.28,-0.28,-0.28,5.0
CNR,26,92.3,17875.87,687.53,13.13,37.68,-4.65,17.3
COCO,6,100.0,14369.14,2394.86,18.04,24.79,9.02,18.3
COHR,13,100.0,15088265.28,1160635.79,15.58,58.04,0.56,8.3
COHU,2,100.0,12396414.06,6198207.03,16.58,16.62,16.54,7.0
COIN,14,100.0,768401.08,54885.79,34.24,83.68,1.92,15.0
COKE,8,75.0,743296.57,92912.07,6.71,13.41,-2.85,8.4
COOK,4,75.0,28152.23,7038.06,11.64,27.64,-1.33,7.2
COP,3,100.0,1492.99,497.66,13.76,23.2,1.65,26.7
CORT,16,75.0,1020349.73,63771.86,3.9,17.85,-32.58,9.8
CRDO,17,82.4,3735575.41,219739.73,17.59,85.49,-21.9,21.9
CROX,11,81.8,14299.28,1299.93,12.15,33.51,-0.95,11.5
CRS,7,100.0,163774.78,23396.4,11.01,21.01,1.67,12.7
CRUS,2,100.0,37592.58,18796.29,4.56,4.56,4.56,7.5
CRVL,2,100.0,402.17,201.09,7.46,10.15,4.78,7.5
CRWD,6,100.0,55072.37,9178.73,14.86,24.72,1.71,12.8
CTRN,1,100.0,234104.08,234104.08,7.74,7.74,7.74,5.0
CUBI,12,91.7,42983.52,3581.96,24.01,46.16,-0.78,17.6
CVLT,3,100.0,29493.93,9831.31,6.95,12.19,2.52,14.7
