date,equity,positions
2021-09-21,100019.28,25
2021-09-22,103589.52,25
2021-09-23,106616.04,25
2021-09-24,105725.71,25
2021-09-27,104328.56,25
2021-09-28,101848.8,25
2021-09-29,101678.97,25
2021-09-30,102522.8,25
2021-10-01,105173.19,25
2021-10-04,105174.45,25
2021-10-05,107136.01,25
2021-10-06,107247.86,25
2021-10-07,110940.63,25
2021-10-08,112908.14,25
2021-10-11,113831.62,25
2021-10-12,115628.41,25
2021-10-13,117041.21,25
2021-10-14,118422.74,25
2021-10-15,119227.33,25
2021-10-18,121501.08,25
2021-10-19,120161.87,25
2021-10-20,121962.14,25
2021-10-21,123015.66,25
2021-10-22,123383.49,25
2021-10-25,124538.41,25
2021-10-26,125165.67,25
2021-10-27,121944.63,25
2021-10-28,126567.78,25
2021-10-29,129515.55,25
2021-11-01,132718.71,25
2021-11-02,139941.42,25
2021-11-03,142418.11,25
2021-11-04,143788.17,25
2021-11-05,146800.79,25
2021-11-08,148151.31,25
2021-11-09,146468.45,25
2021-11-10,142805.34,25
2021-11-11,148729.26,25
2021-11-12,150640.64,25
2021-11-15,148985.89,25
2021-11-16,151687.24,25
2021-11-17,150457.29,25
2021-11-18,151662.45,25
2021-11-19,151885.1,25
2021-11-22,149749.44,25
2021-11-23,149012.02,25
2021-11-24,149829.73,25
2021-11-26,146288.28,25
2021-11-29,149149.71,25
2021-11-30,143935.03,25
2021-12-01,141951.14,25
2021-12-02,144841.67,25
2021-12-03,142711.27,25
2021-12-06,142043.55,25
2021-12-07,149601.63,25
2021-12-08,150659.95,25
2021-12-09,148220.71,25
2021-12-10,148580.19,25
2021-12-13,144363.44,25
2021-12-14,142754.11,25
2021-12-15,148635.76,25
2021-12-16,144339.05,25
2021-12-17,146227.73,25
2021-12-20,144852.52,25
2021-12-21,152153.4,25
2021-12-22,155423.14,25
2021-12-23,157966.36,25
2021-12-27,162490.58,25
2021-12-28,159450.07,25
2021-12-29,161133.55,25
2021-12-30,160631.24,25
2021-12-31,161912.87,25
2022-01-03,162283.19,25
2022-01-04,163512.86,25
2022-01-05,158508.64,25
2022-01-06,161702.24,25
2022-01-07,158679.9,25
2022-01-10,158166.58,25
2022-01-11,162632.3,25
2022-01-12,164220.0,25
2022-01-13,163616.03,25
2022-01-14,168078.09,25
2022-01-18,164375.43,25
2022-01-19,160740.12,25
2022-01-20,156403.39,25
2022-01-21,151675.72,25
2022-01-24,150129.21,25
2022-01-25,157761.6,25
2022-01-26,158236.62,25
2022-01-27,159063.74,25
2022-01-28,161646.94,25
2022-01-31,160919.39,25
2022-02-01,168424.77,25
2022-02-02,168330.6,25
2022-02-03,168061.38,25
2022-02-04,171651.35,25
2022-02-07,172323.6,25
2022-02-08,172181.99,25
2022-02-09,175050.61,25
2022-02-10,175028.05,25
2022-02-11,178793.52,25
2022-02-14,175933.29,25
2022-02-15,176813.49,25
2022-02-16,178155.61,25
2022-02-17,177149.06,25
2022-02-18,175708.43,25
2022-02-22,172655.78,25
2022-02-23,170511.62,25
2022-02-24,173187.75,25
2022-02-25,177523.07,25
2022-02-28,182552.37,25
2022-03-01,185377.9,25
2022-03-02,192323.24,25
2022-03-03,194282.79,25
2022-03-04,199680.79,25
2022-03-07,199174.68,25
2022-03-08,202308.0,25
2022-03-09,205115.4,25
2022-03-10,213933.44,25
2022-03-11,211143.21,25
2022-03-14,200282.27,25
2022-03-15,197482.03,25
2022-03-16,198771.5,25
2022-03-17,207993.09,25
2022-03-18,209856.72,25
2022-03-21,216055.78,25
2022-03-22,215641.42,25
2022-03-23,220906.89,25
2022-03-24,222171.37,25
2022-03-25,227291.72,25
2022-03-28,221334.5,25
2022-03-29,222654.51,25
2022-03-30,224530.85,25
2022-03-31,225146.67,25
2022-04-01,230039.4,25
2022-04-04,230313.03,25
2022-04-05,225775.71,25
2022-04-06,227290.21,25
2022-04-07,229885.49,25
2022-04-08,235645.48,25
2022-04-11,229611.79,25
2022-04-12,235060.24,25
2022-04-13,244326.99,25
2022-04-14,247702.9,25
2022-04-18,250631.53,25
2022-04-19,248690.39,25
2022-04-20,251739.42,25
2022-04-21,240658.93,25
2022-04-22,231989.0,25
2022-04-25,225711.89,25
2022-04-26,226949.1,25
2022-04-27,232508.77,25
2022-04-28,236125.23,25
2022-04-29,233510.16,25
2022-05-02,235459.49,25
2022-05-03,248210.73,25
2022-05-04,259292.59,25
2022-05-05,255444.94,25
2022-05-06,258383.48,25
2022-05-09,233135.82,25
2022-05-10,237520.34,25
2022-05-11,241086.44,25
2022-05-12,241256.74,25
2022-05-13,252477.7,25
2022-05-16,259223.49,25
2022-05-17,264213.6,25
2022-05-18,258819.89,25
2022-05-19,260947.96,25
2022-05-20,261921.94,25
2022-05-23,271180.28,25
2022-05-24,270847.84,25
2022-05-25,277470.98,25
2022-05-26,281417.24,25
2022-05-27,289269.76,25
2022-05-31,282136.13,25
2022-06-01,289931.0,25
2022-06-02,291041.42,25
2022-06-03,294596.23,25
2022-06-06,298512.68,25
2022-06-07,308444.96,25
2022-06-08,305143.35,25
2022-06-09,298245.87,25
2022-06-10,294195.05,25
2022-06-13,275302.61,25
2022-06-14,278041.68,25
2022-06-15,277287.33,25
2022-06-16,266563.89,25
2022-06-17,259018.2,25
2022-06-21,268799.28,25
2022-06-22,259091.44,25
2022-06-23,249826.39,25
2022-06-24,255587.06,25
2022-06-27,262540.94,25
2022-06-28,263878.2,25
2022-06-29,261499.31,25
2022-06-30,261876.78,25
2022-07-01,263776.91,25
2022-07-05,259805.23,25
2022-07-06,256639.06,25
2022-07-07,262269.85,25
2022-07-08,263994.29,25
2022-07-11,262072.41,25
2022-07-12,260352.87,25
2022-07-13,264040.99,25
