metric,value
window_start,2021-09-20
window_end,2026-09-11
trading_days,1250
calendar_days,1817
top_n,25
score,emasma
exit,ratchet-atr
universe_is_etf,False
tickers,
initial_capital_usd,100000.0
final_equity_usd,2114800591.38
total_return_pct,2114700.59
cagr_pct,639.37
annualized_vol_pct,48.03
sharpe_ratio,4.42
sortino_ratio,5.84
max_drawdown_pct,-20.27
calmar_ratio,31.54
closed_trades,3852
open_at_sample_end,1
total_trades,3853
total_cost_usd,0.0
win_rate_pct,86.03
profit_factor,5.08
avg_win_usd,794533.61
avg_loss_usd,-969234.28
expectancy_usd_per_trade,548947.05
best_trade_usd,60581348.89
worst_trade_usd,-21169205.41
best_trade_pct,1739.18
worst_trade_pct,-32.58
avg_hold_trading_days,17.55
max_losing_streak,11
days_invested_pct,100.0
avg_positions,24.79
cost_per_side_bps,0.0
ledger_sum_usd,2114800591.27
ledger_delta_usd,0.11
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,88.16
benchmark_spy_cagr_pct,13.54
benchmark_vti_return_pct,79.74
benchmark_vti_cagr_pct,12.5
benchmark_eqw_universe_return_pct,138.93
benchmark_eqw_universe_cagr_pct,19.12
