kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,1,BNTX,2021-09-28,290.45,11.71,2021-09-21,341.69,0.0,0.0,-599.84,-599.84,-15.0,5,rotation (out of top-N),2021-09-20,330.38,,5,-1,,66.0,,999,2021-09-27,251.96,,4.83,0.8,,24.16,,999
SELL,2,DDOG,2021-09-28,139.12,27.91,2021-09-21,143.34,0.0,0.0,-117.76,-117.76,-2.94,5,rotation (out of top-N),2021-09-20,147.32,,5,0.6,,40.81,,84,2021-09-27,144.6,,5,0.6,,36.96,,91
SELL,3,AMBA,2021-09-28,153.15,0.55,2021-09-21,145.81,0.0,0.0,4.02,4.02,5.04,5,equal-weight sizing trim,2021-09-20,162.95,,5,2.0,,52.19,,21,2021-09-27,153.82,,5,2.5,,41.64,,28
SELL,3,AMBA,2021-10-05,151.22,26.89,2021-09-21,145.81,0.0,0.0,145.59,145.59,3.71,10,rotation (out of top-N),2021-09-20,162.95,,5,2.0,,52.19,,21,2021-10-04,154.19,,5,2.4,,39.97,,35
SELL,4,AMR,2021-09-28,45.53,3.57,2021-09-21,42.55,0.0,0.0,10.64,10.64,7.0,5,equal-weight sizing trim,2021-09-20,45.38,,5,-1,,119.49,,999,2021-09-27,52.7,,5,-1,,142.89,,999
SELL,4,AMR,2021-10-05,56.21,14.98,2021-09-21,42.55,0.0,0.0,204.6,204.6,32.1,10,equal-weight sizing trim,2021-09-20,45.38,,5,-1,,119.49,,999,2021-10-04,57.7,,5,-1,,152.31,,999
SELL,4,AMR,2021-10-19,61.06,2.46,2021-09-21,43.61,0.0,0.0,42.91,42.91,40.02,20,equal-weight sizing trim,2021-09-20,45.38,,5,-1,,119.49,,999,2021-10-18,61.21,,5,-1,,142.43,,999
SELL,4,AMR,2021-11-16,47.19,108.41,2021-09-21,46.88,0.0,0.0,34.07,34.07,0.67,40,ratchet-ATR exit,2021-09-20,45.38,,5,-1,,119.49,,999,2021-11-15,43.77,,5,-0.5,,49.54,,999
SELL,5,TEAM,2021-10-05,386.22,10.8,2021-09-21,406.28,0.0,0.0,-216.58,-216.58,-4.94,10,ratchet-ATR exit,2021-09-20,414.1,,5,-0.8,,55.14,,999,2021-10-04,390.68,,5,-0.1,,42.27,,999
SELL,6,PVLA,2021-09-28,458.0,0.08,2021-09-21,440.8,0.0,0.0,1.45,1.45,3.9,5,equal-weight sizing trim,2021-09-20,450.8,,5,-0.8,,73.95,,105,2021-09-27,418.0,,5,-0.8,,58.27,,112
SELL,6,PVLA,2021-10-05,410.4,8.99,2021-09-21,440.8,0.0,0.0,-273.31,-273.31,-6.9,10,ratchet-ATR exit,2021-09-20,450.8,,5,-0.8,,73.95,,105,2021-10-04,379.2,,5,-0.0,,41.18,,119
SELL,7,DKS,2021-09-28,117.22,33.4,2021-09-21,119.76,0.0,0.0,-84.84,-84.84,-2.12,5,rotation (out of top-N),2021-09-20,117.74,,5,-0.5,,49.97,,999,2021-09-27,109.14,,5,0.2,,36.33,,999
SELL,8,DDS,2021-09-28,155.64,25.38,2021-09-21,157.63,0.0,0.0,-50.5,-50.5,-1.26,5,rotation (out of top-N),2021-09-20,161.67,,5,-1.0,,59.21,,999,2021-09-27,136.55,,5,0.4,,31.47,,999
SELL,9,EMBJ,2021-09-28,17.82,25.67,2021-09-21,15.58,0.0,0.0,57.51,57.51,14.38,5,equal-weight sizing trim,2021-09-20,17.63,,5,-0.4,,48.75,,999,2021-09-27,17.92,,5,-0.4,,47.62,,999
SELL,9,EMBJ,2021-10-12,18.69,1.11,2021-09-21,15.68,0.0,0.0,3.33,3.33,19.21,15,equal-weight sizing trim,2021-09-20,17.63,,5,-0.4,,48.75,,999,2021-10-11,18.64,,5,-0.3,,46.54,,999
SELL,9,EMBJ,2021-10-19,18.14,243.79,2021-09-21,15.68,0.0,0.0,600.14,600.14,15.7,20,rotation (out of top-N),2021-09-20,17.63,,5,-0.4,,48.75,,999,2021-10-18,17.04,,5,0.4,,31.41,,999
SELL,10,SITM,2021-10-05,204.24,19.06,2021-09-21,219.82,0.0,0.0,-296.9,-296.9,-7.09,10,ratchet-ATR exit,2021-09-20,235.62,,5,-0.6,,78.83,,98,2021-10-04,215.03,,5,-0.7,,57.06,,112
SELL,11,CROX,2021-09-28,151.54,26.14,2021-09-21,153.0,0.0,0.0,-38.17,-38.17,-0.95,5,rotation (out of top-N),2021-09-20,156.3,,5,-0.6,,52.83,,999,2021-09-27,140.98,,5,0.2,,35.26,,999
SELL,12,IDT,2021-09-28,42.78,3.57,2021-09-21,40.07,0.0,0.0,9.69,9.69,6.76,5,equal-weight sizing trim,2021-09-20,43.94,,5,-0.3,,45.63,,999,2021-09-27,43.12,,5,0.0,,39.36,,999
SELL,12,IDT,2021-10-12,51.18,10.47,2021-09-21,40.15,0.0,0.0,115.45,115.45,27.46,15,equal-weight sizing trim,2021-09-20,43.94,,5,-0.3,,45.63,,999,2021-10-11,49.55,,5,-0.5,,51.0,,999
SELL,12,IDT,2021-10-19,48.41,89.03,2021-09-21,40.15,0.0,0.0,735.04,735.04,20.56,20,rotation (out of top-N),2021-09-20,43.94,,5,-0.3,,45.63,,999,2021-10-18,46.88,,5,0.0,,39.33,,999
SELL,13,RGEN,2021-09-28,300.15,12.94,2021-09-21,309.01,0.0,0.0,-114.62,-114.62,-2.87,5,rotation (out of top-N),2021-09-20,323.34,,5,0.5,,48.21,,63,2021-09-27,280.89,,5,1.5,,27.5,,70
SELL,14,MRNA,2021-10-05,330.8,10.33,2021-09-21,420.96,0.0,0.0,-931.08,-931.08,-21.42,10,rotation (out of top-N),2021-09-20,430.01,,5,-1,,89.62,,999,2021-10-04,304.93,,5,0.6,,28.55,,999
SELL,15,CNR,2021-09-28,23.82,6.99,2021-09-21,22.24,0.0,0.0,11.05,11.05,7.1,5,equal-weight sizing trim,2021-09-20,22.68,,5,-1,,67.92,,999,2021-09-27,26.07,,5,-1,,86.12,,999
