date,equity,positions
2021-09-21,100019.27,25
2021-09-22,103587.72,25
2021-09-23,106612.73,25
2021-09-24,105722.85,25
2021-09-27,104326.4,25
2021-09-28,101826.43,25
2021-09-29,101656.55,25
2021-09-30,102500.08,25
2021-10-01,105149.48,25
2021-10-04,105150.67,25
2021-10-05,107091.33,25
2021-10-06,107202.77,25
2021-10-07,110893.49,25
2021-10-08,112860.01,25
2021-10-11,113783.05,25
2021-10-12,115568.09,25
2021-10-13,116980.0,25
2021-10-14,118360.71,25
2021-10-15,119164.79,25
2021-10-18,121437.3,25
2021-10-19,120085.87,25
2021-10-20,121884.84,25
2021-10-21,122937.37,25
2021-10-22,123304.77,25
2021-10-25,124458.98,25
2021-10-26,125070.27,25
2021-10-27,121851.86,25
2021-10-28,126470.51,25
2021-10-29,129415.6,25
2021-11-01,132615.71,25
2021-11-02,139814.34,25
2021-11-03,142288.18,25
2021-11-04,143656.63,25
2021-11-05,146665.95,25
2021-11-08,148014.96,25
2021-11-09,146319.45,25
2021-11-10,142659.48,25
2021-11-11,148576.47,25
2021-11-12,150485.97,25
2021-11-15,148833.09,25
2021-11-16,151505.35,25
2021-11-17,150276.59,25
2021-11-18,151479.96,25
2021-11-19,151702.1,25
2021-11-22,149568.94,25
2021-11-23,148805.0,25
2021-11-24,149621.35,25
2021-11-26,146085.14,25
2021-11-29,148942.17,25
2021-11-30,143712.04,25
2021-12-01,141731.33,25
2021-12-02,144616.71,25
2021-12-03,142489.64,25
2021-12-06,141822.82,25
2021-12-07,149333.59,25
2021-12-08,150389.78,25
2021-12-09,147955.05,25
2021-12-10,148313.62,25
2021-12-13,144105.0,25
2021-12-14,142470.19,25
2021-12-15,148338.71,25
2021-12-16,144050.4,25
2021-12-17,145935.08,25
2021-12-20,144562.76,25
2021-12-21,151819.48,25
2021-12-22,155081.42,25
2021-12-23,157618.38,25
2021-12-27,162131.8,25
2021-12-28,159084.69,25
2021-12-29,160764.31,25
2021-12-30,160263.17,25
2021-12-31,161541.78,25
2022-01-03,161911.56,25
2022-01-04,163108.1,25
2022-01-05,158116.9,25
2022-01-06,161302.03,25
2022-01-07,158287.02,25
2022-01-10,157775.53,25
2022-01-11,162190.06,25
2022-01-12,163772.89,25
2022-01-13,163170.69,25
2022-01-14,167619.26,25
2022-01-18,163927.35,25
2022-01-19,160302.18,25
2022-01-20,155978.02,25
2022-01-21,151264.26,25
2022-01-24,149722.45,25
2022-01-25,157287.74,25
2022-01-26,157761.17,25
2022-01-27,158585.54,25
2022-01-28,161160.06,25
2022-01-31,160435.27,25
2022-02-01,167882.37,25
2022-02-02,167788.54,25
2022-02-03,167520.17,25
2022-02-04,171097.42,25
2022-02-07,171767.26,25
2022-02-08,171614.41,25
2022-02-09,174473.21,25
2022-02-10,174450.49,25
2022-02-11,178202.99,25
2022-02-14,175352.15,25
2022-02-15,176202.96,25
2022-02-16,177540.14,25
2022-02-17,176537.29,25
2022-02-18,175101.67,25
2022-02-22,172059.9,25
2022-02-23,169923.77,25
2022-02-24,172590.41,25
2022-02-25,176910.21,25
2022-02-28,181922.01,25
2022-03-01,184692.78,25
2022-03-02,191611.0,25
2022-03-03,193562.51,25
2022-03-04,198938.97,25
2022-03-07,198434.47,25
2022-03-08,201529.1,25
2022-03-09,204324.6,25
2022-03-10,213107.39,25
2022-03-11,210327.58,25
2022-03-14,199509.36,25
2022-03-15,196690.42,25
2022-03-16,197972.95,25
2022-03-17,207156.48,25
2022-03-18,209012.45,25
2022-03-21,215186.59,25
2022-03-22,214741.6,25
2022-03-23,219984.64,25
2022-03-24,221242.93,25
2022-03-25,226340.56,25
2022-03-28,220408.91,25
2022-03-29,221712.62,25
2022-03-30,223580.78,25
2022-03-31,224193.84,25
2022-04-01,229065.39,25
2022-04-04,229337.98,25
2022-04-05,224804.95,25
2022-04-06,226312.46,25
2022-04-07,228896.32,25
2022-04-08,234631.12,25
2022-04-11,228623.67,25
2022-04-12,234020.2,25
2022-04-13,243244.86,25
2022-04-14,246605.48,25
2022-04-18,249520.93,25
