kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,3,AMBA,2021-09-21,145.81,27.42,,,2.0,,,,,,,2021-09-20,162.95,128.07,107.07,145.02,143.56,112.98,,,52.19,,21,5,,2.0,
BUY,4,AMR,2021-09-21,42.55,93.96,,,2.0,,,,,,,2021-09-20,45.38,38.45,20.68,43.61,46.71,36.19,,,119.49,,999,5,,-1,
BUY,1,BNTX,2021-09-21,341.69,11.7,,,2.0,,,,,,,2021-09-20,330.38,326.02,199.02,336.0,345.29,350.28,,,66.0,,999,5,,-1,
BUY,21,CAR,2021-09-21,91.86,43.52,,,2.0,,,,,,,2021-09-20,106.1,87.74,69.05,90.18,88.33,84.4,,,53.66,,999,5,,-0.7,
BUY,15,CNR,2021-09-21,22.24,179.77,,,2.0,,,,,,,2021-09-20,22.68,21.08,13.51,21.85,23.08,21.02,,,67.92,,999,5,,-1,
BUY,11,CROX,2021-09-21,153.0,26.13,,,2.0,,,,,,,2021-09-20,156.3,141.98,102.27,151.8,149.01,142.0,,,52.83,,999,5,,-0.6,
BUY,23,CRVL,2021-09-21,58.53,68.31,,,2.0,,,,,,,2021-09-20,62.17,54.53,41.89,58.16,57.17,52.84,,,48.4,,999,5,,-0.4,
BUY,2,DDOG,2021-09-21,143.34,27.89,,,2.0,,,,,,,2021-09-20,147.32,132.31,104.62,142.34,140.02,130.56,,,40.81,,84,5,,0.6,
BUY,8,DDS,2021-09-21,157.63,25.36,,,2.0,,,,,,,2021-09-20,161.67,149.96,101.55,155.16,155.25,149.36,,,59.21,,999,5,,-1.0,
BUY,7,DKS,2021-09-21,119.76,33.38,,,2.0,,,,,,,2021-09-20,117.74,108.04,78.51,118.25,118.22,104.09,,,49.97,,999,5,,-0.5,
BUY,9,EMBJ,2021-09-21,15.58,256.61,,,2.0,,,,,,,2021-09-20,17.63,15.86,11.85,15.13,16.01,15.58,,,48.75,,999,5,,-0.4,
BUY,16,FTNT,2021-09-21,59.93,66.71,,,2.0,,,,,,,2021-09-20,62.34,59.36,44.07,59.43,60.64,60.08,,,41.46,,999,5,,-0.1,
BUY,20,HRI,2021-09-21,118.26,33.81,,,2.0,,,,,,,2021-09-20,146.68,120.02,94.15,114.45,117.04,115.79,,,55.79,,999,5,,-0.8,
BUY,12,IDT,2021-09-21,40.07,99.78,,,2.0,,,,,,,2021-09-20,43.94,44.66,30.17,39.89,43.85,47.11,,,45.63,,999,5,,-0.3,
BUY,25,IT,2021-09-21,314.31,12.72,,,2.0,,,,,,,2021-09-20,324.69,299.04,225.11,311.98,312.14,299.18,,,44.24,,999,5,,-0.2,
BUY,19,LEU,2021-09-21,32.98,121.22,,,2.0,,,,,,,2021-09-20,35.75,29.96,24.96,32.12,34.45,27.41,,,43.2,,999,5,,-0.2,
BUY,22,MDB,2021-09-21,494.1,8.09,,,2.0,,,,,,,2021-09-20,507.94,441.17,359.01,488.78,484.98,406.94,,,41.48,,98,5,,0.3,
BUY,14,MRNA,2021-09-21,423.01,9.45,,,2.0,,,,,,,2021-09-20,430.01,387.45,226.77,423.49,426.91,400.35,,,89.62,,999,5,,-1,
BUY,24,NET,2021-09-21,128.99,30.99,,,2.0,,,,,,,2021-09-20,130.37,122.49,92.85,127.22,128.44,123.22,,,40.41,,999,5,,-0.0,
BUY,17,PCTY,2021-09-21,281.13,14.22,,,2.0,,,,,,,2021-09-20,297.77,256.08,204.39,278.83,271.51,248.69,,,45.69,,56,5,,1.8,
BUY,6,PVLA,2021-09-21,440.8,9.07,,,2.0,,,,,,,2021-09-20,450.8,384.73,259.16,439.2,440.28,355.68,,,73.95,,105,5,,-0.8,
BUY,13,RGEN,2021-09-21,309.01,12.94,,,2.0,,,,,,,2021-09-20,323.34,276.37,218.17,306.36,297.14,268.35,,,48.21,,63,5,,0.5,
BUY,10,SITM,2021-09-21,220.0,18.17,,,2.0,,,,,,,2021-09-20,235.62,199.21,131.76,217.43,220.07,193.5,,,78.83,,98,5,,-0.6,
BUY,18,SPSC,2021-09-21,153.66,26.02,,,2.0,,,,,,,2021-09-20,167.84,134.15,109.32,150.58,143.9,124.95,,,53.53,,49,5,,1.5,
BUY,5,TEAM,2021-09-21,408.86,9.78,,,2.0,,,,,,,2021-09-20,414.1,359.48,266.92,401.18,390.45,348.75,,,55.14,,999,5,,-0.8,
BUY,27,AEHR,2021-09-28,14.34,286.94,,,2.06,,,,,,,2021-09-27,12.65,9.58,4.18,15.07,12.4,8.16,,,202.88,,999,5,,-1,
BUY,32,ATLC,2021-09-28,51.92,79.25,,,2.06,,,,,,,2021-09-27,54.49,51.02,37.55,53.16,52.2,51.65,,,45.11,,999,5,,-0.3,
BUY,21,CAR,2021-09-28,115.31,0.0,,,0.0,,,,,,,2021-09-27,115.78,92.84,71.07,114.18,98.16,87.32,,,62.92,,999,5,,-1,
BUY,23,CRVL,2021-09-28,61.33,0.0,,,0.0,,,,,,,2021-09-27,62.87,56.04,42.58,62.19,59.81,54.7,,,47.64,,999,5,,-0.4,
BUY,33,CYTK,2021-09-28,34.12,120.6,,,2.06,,,,,,,2021-09-27,36.73,31.74,24.88,34.93,33.37,31.92,,,47.63,,999,5,,-0.4,
BUY,29,DAC,2021-09-28,67.76,60.72,,,2.06,,,,,,,2021-09-27,67.36,64.6,47.81,67.35,66.16,64.9,,,40.89,,999,5,,-0.0,
BUY,28,DVN,2021-09-28,28.67,143.52,,,2.06,,,,,,,2021-09-27,29.61,24.33,19.66,28.16,25.13,22.67,,,50.59,,999,5,,-0.5,
BUY,9,EMBJ,2021-09-28,17.82,0.0,,,0.0,,,,,,,2021-09-27,17.92,16.23,12.14,17.26,16.61,15.84,,,47.62,,999,5,,-0.4,
BUY,34,MCB,2021-09-28,85.63,48.05,,,2.06,,,,,,,2021-09-27,85.5,77.04,59.9,86.32,79.8,76.47,,,42.73,,999,5,,-0.1,
BUY,14,MRNA,2021-09-28,398.74,0.87,,,0.17,,,,,,,2021-09-27,340.3,378.88,232.19,408.71,429.36,411.72,,,46.56,,999,5,,-0.3,
BUY,26,MTDR,2021-09-28,33.53,122.72,,,2.06,,,,,,,2021-09-27,36.56,29.56,24.67,33.57,29.91,26.91,,,48.21,,999,5,,-0.4,
BUY,17,PCTY,2021-09-28,288.44,0.05,,,0.01,,,,,,,2021-09-27,284.86,261.32,206.15,292.86,285.2,259.85,,,38.18,,63,5,,1.0,
BUY,30,PDS,2021-09-28,39.5,104.17,,,2.06,,,,,,,2021-09-27,40.88,35.0,29.45,38.25,34.91,32.92,,,38.79,,999,5,,0.1,
BUY,31,RRR,2021-09-28,40.68,101.15,,,2.06,,,,,,,2021-09-27,42.58,36.92,29.81,41.32,38.68,35.36,,,42.86,,999,5,,-0.1,
BUY,10,SITM,2021-09-28,216.02,0.88,,,0.1,,,,,,,2021-09-27,209.44,201.07,134.34,224.03,225.85,206.1,,,55.91,,105,5,,-0.5,
BUY,5,TEAM,2021-09-28,381.41,1.01,,,0.19,,,,,,,2021-09-27,392.44,365.47,270.69,391.78,399.4,364.6,,,44.98,,999,5,,-0.2,
BUY,35,VIST,2021-09-28,4.65,884.88,,,2.06,,,,,,,2021-09-27,5.45,4.51,3.44,4.59,4.4,4.53,,,58.37,,999,5,,-0.9,
SELL,3,AMBA,2021-09-28,153.15,0.54,2021-09-21,145.81,0.04,0.04,3.96,3.92,4.99,5,equal-weight sizing trim,2021-09-27,153.82,132.75,108.6,159.34,154.87,121.13,,,41.64,,28,5,,2.5,
SELL,4,AMR,2021-09-28,45.53,3.54,2021-09-21,42.55,0.08,0.08,10.55,10.47,6.95,5,equal-weight sizing trim,2021-09-27,52.7,41.04,21.7,46.12,45.93,38.78,,,142.89,,999,5,,-1,
SELL,1,BNTX,2021-09-28,290.45,11.7,2021-09-21,341.69,2.0,1.7,-599.54,-601.24,-15.04,5,rotation (out of top-N),2021-09-27,251.96,312.56,202.93,304.21,334.64,354.0,,,24.16,,999,4.83,,0.8,
SELL,21,CAR,2021-09-28,115.31,7.82,2021-09-21,91.86,0.36,0.45,183.4,182.95,25.47,5,equal-weight sizing trim,2021-09-27,115.78,92.84,71.07,114.18,98.16,87.32,,,62.92,,999,5,,-1,
SELL,15,CNR,2021-09-28,23.82,6.94,2021-09-21,22.24,0.08,0.08,10.96,10.88,7.05,5,equal-weight sizing trim,2021-09-27,26.07,21.99,14.01,23.64,22.99,21.49,,,86.12,,999,5,,-1,
SELL,11,CROX,2021-09-28,151.54,26.13,2021-09-21,153.0,2.0,1.98,-38.15,-40.13,-1.0,5,rotation (out of top-N),2021-09-27,140.98,141.8,104.23,153.34,153.55,144.93,,,35.26,,999,5,,0.2,
SELL,23,CRVL,2021-09-28,61.33,1.18,2021-09-21,58.53,0.03,0.04,3.31,3.27,4.73,5,equal-weight sizing trim,2021-09-27,62.87,56.04,42.58,62.19,59.81,54.7,,,47.64,,999,5,,-0.4,
SELL,2,DDOG,2021-09-28,139.12,27.89,2021-09-21,143.34,2.0,1.94,-117.7,-119.64,-2.99,5,rotation (out of top-N),2021-09-27,144.6,134.54,105.58,142.13,143.7,135.01,,,36.96,,91,5,,0.6,
SELL,8,DDS,2021-09-28,155.64,25.36,2021-09-21,157.63,2.0,1.97,-50.47,-52.45,-1.31,5,rotation (out of top-N),2021-09-27,136.55,147.52,103.86,158.45,158.55,151.61,,,31.47,,999,5,,0.4,
