metric,value
window_start,2021-09-20
window_end,2026-09-11
trading_days,1250
calendar_days,1817
top_n,25
score,emasma
exit,ratchet-atr
universe_is_etf,False
tickers,
initial_capital_usd,100000.0
final_equity_usd,1153955992.61
total_return_pct,1153855.99
cagr_pct,554.66
annualized_vol_pct,46.31
sharpe_ratio,4.31
sortino_ratio,5.49
max_drawdown_pct,-20.12
calmar_ratio,27.57
closed_trades,1707
open_at_sample_end,1
total_trades,1708
total_cost_usd,11009509.62
win_rate_pct,75.57
profit_factor,5.38
avg_win_usd,1098403.9
avg_loss_usd,-631104.15
expectancy_usd_per_trade,675905.45
best_trade_usd,106617646.72
worst_trade_usd,-14013913.22
best_trade_pct,1306.76
worst_trade_pct,-35.17
avg_hold_trading_days,18.15
max_losing_streak,15
days_invested_pct,100.0
avg_positions,24.79
cost_per_side_bps,5.0
ledger_sum_usd,1153955992.46
ledger_delta_usd,0.15
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,88.16
benchmark_spy_cagr_pct,13.54
benchmark_vti_return_pct,79.74
benchmark_vti_cagr_pct,12.5
benchmark_eqw_universe_return_pct,138.93
benchmark_eqw_universe_cagr_pct,19.12
