kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,1,SMH,2020-03-31,57.69,151.37,2020-03-03,66.03,5.0,4.37,-1262.43,-1266.8,-12.67,20,rotation (out of top-N),2020-03-02,63.54,,1.07,1.7,,5.37,,999,2020-03-30,53.98,,-2.2,2.6,,-11.01,,999
SELL,2,VGT,2020-03-31,25.85,335.74,2020-03-03,29.77,5.0,4.34,-1316.1,-1320.44,-13.21,20,rotation (out of top-N),2020-03-02,28.12,,0.64,1.8,,3.2,,999,2020-03-30,24.24,,-2.2,2.5,,-10.98,,999
SELL,3,VUG,2020-03-24,23.24,336.87,2020-03-03,29.67,5.0,3.91,-2166.09,-2170.0,-21.71,15,rotation (out of top-N),2020-03-02,28.3,,0.34,1.9,,1.7,,999,2020-03-23,24.73,,-2.16,2.5,,-10.8,,999
SELL,4,XLK,2020-03-31,38.91,224.41,2020-03-03,44.54,5.0,4.37,-1263.4,-1267.77,-12.68,20,rotation (out of top-N),2020-03-02,42.12,,0.86,1.8,,4.28,,999,2020-03-30,36.73,,-1.84,2.5,,-9.22,,999
SELL,5,XLU,2020-03-17,21.52,371.01,2020-03-03,26.94,5.0,3.99,-2010.87,-2014.86,-20.16,10,rotation (out of top-N),2020-03-02,27.45,,1.3,1.7,,6.52,,999,2020-03-16,19.56,,-4.74,3.2,,-23.72,,999
SELL,6,TLT,2020-08-04,142.09,78.62,2020-03-03,127.13,5.0,5.59,1176.16,1170.57,11.71,107,rotation (out of top-N),2020-03-02,137.84,,3.98,1.0,,19.88,,999,2020-08-03,141.3,,2.04,1.5,,10.22,,999
SELL,7,XLP,2020-03-17,45.31,193.96,2020-03-03,51.53,5.0,4.39,-1206.46,-1210.85,-12.11,10,rotation (out of top-N),2020-03-02,51.83,,0.27,1.9,,1.36,,999,2020-03-16,42.45,,-3.34,2.8,,-16.7,,999
SELL,8,XLV,2020-03-24,70.55,114.28,2020-03-03,87.46,5.0,4.03,-1932.49,-1936.52,-19.37,15,rotation (out of top-N),2020-03-02,87.41,,0.53,1.9,,2.63,,999,2020-03-23,76.8,,-1.89,2.5,,-9.44,,999
SELL,9,XLRE,2020-03-17,24.36,321.07,2020-03-03,31.13,5.0,3.91,-2173.66,-2177.57,-21.79,10,rotation (out of top-N),2020-03-02,30.97,,0.12,2.0,,0.61,,999,2020-03-16,21.85,,-5.7,3.4,,-28.51,,999
SELL,10,QQQ,2020-03-31,184.17,47.98,2020-03-03,208.33,5.0,4.42,-1159.12,-1163.54,-11.64,20,rotation (out of top-N),2020-03-02,199.6,,0.8,1.8,,3.99,,999,2020-03-30,176.33,,-1.62,2.4,,-8.11,,999
SELL,11,QQQ,2020-12-01,291.2,189.35,2020-04-14,199.21,18.86,27.57,17417.86,17390.29,46.1,161,rotation (out of top-N),2020-04-13,207.02,,1.48,4.6,,7.42,,0,2020-11-30,294.72,,4.38,0.9,,21.88,,231
SELL,12,XLK,2020-11-10,57.26,907.37,2020-04-14,41.57,18.86,25.98,14236.67,14210.69,37.67,147,rotation (out of top-N),2020-04-13,42.51,,0.92,4.8,,4.59,,0,2020-11-09,58.0,,3.62,1.1,,18.11,,210
SELL,13,XLV,2020-07-07,92.51,0.42,2020-04-21,88.86,0.02,0.02,1.55,1.53,4.06,53,rotation (out of top-N),2020-04-20,90.68,,1.27,4.7,,6.37,,0,2020-07-06,91.45,,0.78,2.5,,3.9,,77
SELL,14,SMH,2021-04-27,123.27,0.0,2020-05-05,62.95,0.0,0.0,0.01,0.01,95.72,246,rotation (out of top-N),2020-05-04,65.83,,1.34,4.7,,6.72,,0,2021-04-26,117.89,,3.16,1.2,,15.8,,357
SELL,15,VGT,2020-11-24,39.29,0.0,2020-05-05,28.81,0.0,0.0,0.0,0.0,36.31,142,rotation (out of top-N),2020-05-04,30.1,,1.86,4.5,,9.3,,0,2020-11-23,40.07,,4.09,1.0,,20.46,,203
SELL,16,VUG,2020-11-17,38.69,0.0,2020-05-12,30.06,0.0,0.0,0.0,0.0,28.64,132,rotation (out of top-N),2020-05-11,29.45,,1.07,4.7,,5.35,,0,2020-11-16,38.32,,3.43,1.1,,17.14,,189
SELL,17,XLC,2020-10-06,56.47,0.0,2020-06-02,51.48,0.0,0.0,0.0,0.0,9.64,88,rotation (out of top-N),2020-06-01,52.24,,1.73,4.6,,8.64,,0,2020-10-05,57.01,,2.31,1.4,,11.55,,126
SELL,18,XLY,2020-12-01,75.67,0.0,2020-06-09,62.78,0.0,0.0,0.0,0.0,20.47,122,rotation (out of top-N),2020-06-08,59.58,,1.16,4.7,,5.81,,0,2020-11-30,75.45,,3.99,1.0,,19.95,,175
SELL,19,SPY,2020-07-14,288.51,0.0,2020-06-30,279.93,0.0,0.0,0.0,0.0,3.01,9,rotation (out of top-N),2020-06-29,287.48,,0.83,4.8,,4.13,,0,2020-07-13,296.24,,1.36,4.4,,6.79,,14
SELL,20,VTI,2020-07-14,145.64,0.27,2020-07-07,146.82,0.02,0.02,-0.32,-0.33,-0.85,5,rotation (out of top-N),2020-07-06,147.89,,1.15,4.6,,5.76,,7,2020-07-13,149.95,,1.39,4.4,,6.97,,14
SELL,21,XLV,2020-07-28,96.2,0.21,2020-07-14,91.74,0.01,0.01,0.95,0.94,4.81,10,rotation (out of top-N),2020-07-13,96.15,,1.75,2.2,,8.75,,84,2020-07-27,95.83,,1.51,2.0,,7.54,,98
SELL,22,XLB,2020-08-18,28.06,0.76,2020-07-14,25.73,0.01,0.01,1.76,1.75,9.0,25,rotation (out of top-N),2020-07-13,27.2,,2.14,4.3,,10.71,,7,2020-08-17,27.52,,2.22,3.7,,11.11,,42
SELL,23,VTI,2020-09-15,159.14,0.14,2020-07-28,150.34,0.01,0.01,1.19,1.18,5.8,34,rotation (out of top-N),2020-07-27,152.09,,1.6,4.1,,8.01,,28,2020-09-14,155.37,,1.69,2.3,,8.44,,77
SELL,24,SCHB,2020-09-15,12.45,931.55,2020-08-04,11.98,5.58,5.8,437.83,432.03,3.87,29,rotation (out of top-N),2020-08-03,12.21,,2.1,3.9,,10.52,,35,2020-09-14,12.13,,1.64,2.3,,8.21,,77
SELL,25,SPY,2020-08-25,316.34,0.09,2020-08-18,311.56,0.01,0.01,0.41,0.4,1.48,5,rotation (out of top-N),2020-08-17,312.59,,2.25,3.6,,11.26,,49,2020-08-24,322.83,,2.9,3.3,,14.49,,56
SELL,26,XLB,2021-01-26,33.43,0.97,2020-08-25,28.1,0.01,0.02,5.15,5.14,18.91,105,rotation (out of top-N),2020-08-24,28.45,,2.92,3.5,,14.58,,49,2021-01-25,31.69,,2.27,1.4,,11.36,,203
SELL,27,EEM,2020-09-22,38.51,146.6,2020-09-15,39.59,2.9,2.82,-158.33,-161.15,-2.78,5,rotation (out of top-N),2020-09-14,39.01,,1.89,2.5,,9.43,,63,2020-09-21,37.61,,1.12,2.6,,5.59,,70
SELL,28,XLI,2020-09-29,71.33,80.39,2020-09-15,72.2,2.9,2.87,-69.94,-72.8,-1.25,10,rotation (out of top-N),2020-09-14,72.02,,1.99,4.0,,9.95,,28,2020-09-28,71.18,,1.79,3.9,,8.93,,42
SELL,29,VTI,2020-10-20,162.29,36.63,2020-09-22,154.14,2.82,2.97,298.51,295.54,5.23,20,rotation (out of top-N),2020-09-21,154.04,,1.48,2.2,,7.41,,84,2020-10-19,163.15,,2.58,1.5,,12.88,,112
SELL,30,SCHB,2020-10-13,12.97,467.84,2020-09-29,12.25,2.87,3.03,336.85,333.81,5.82,10,rotation (out of top-N),2020-09-28,12.27,,1.84,2.0,,9.22,,91,2020-10-12,12.8,,2.68,1.6,,13.41,,105
SELL,31,IWM,2021-05-18,207.72,0.02,2020-10-06,147.97,0.0,0.0,1.16,1.16,40.31,154,rotation (out of top-N),2020-10-05,151.87,,2.79,3.4,,13.97,,56,2021-05-17,206.43,,2.65,1.3,,13.26,,280
SELL,32,XLI,2020-10-27,72.42,81.85,2020-10-13,74.06,3.03,2.96,-134.23,-137.2,-2.26,10,rotation (out of top-N),2020-10-12,74.89,,2.93,3.3,,14.63,,56,2020-10-26,69.63,,1.38,2.5,,6.89,,70
SELL,33,XLC,2020-11-10,59.03,105.1,2020-10-20,56.53,2.97,3.1,262.75,259.65,4.37,15,rotation (out of top-N),2020-10-19,58.7,,2.85,1.3,,14.23,,140,2020-11-09,60.59,,3.34,1.2,,16.69,,161
SELL,34,EEM,2020-11-10,42.12,147.49,2020-10-27,40.17,2.96,3.11,287.6,284.5,4.8,10,rotation (out of top-N),2020-10-26,39.17,,1.98,1.8,,9.88,,105,2020-11-09,42.35,,3.6,1.1,,17.99,,119
SELL,35,XLI,2021-01-05,79.48,276.79,2020-11-10,77.45,10.72,11.0,561.87,550.87,2.57,37,rotation (out of top-N),2020-11-09,78.7,,4.12,1.6,,20.6,,84,2021-01-04,82.58,,3.85,1.0,,19.24,,140
SELL,36,IJH,2021-06-15,50.65,556.37,2020-11-10,38.53,10.72,14.09,6743.23,6729.14,31.39,148,rotation (out of top-N),2020-11-09,38.93,,3.69,1.4,,18.47,,98,2021-06-14,48.43,,1.85,1.5,,9.26,,315
SELL,37,IJR,2021-07-13,103.02,290.63,2020-11-10,73.76,10.72,14.97,8503.9,8488.92,39.6,167,rotation (out of top-N),2020-11-09,74.92,,3.9,1.6,,19.51,,84,2021-07-12,98.51,,1.16,1.7,,5.8,,329
SELL,38,EEM,2020-12-22,44.36,0.75,2020-11-17,42.61,0.02,0.02,1.32,1.3,4.05,24,rotation (out of top-N),2020-11-16,42.99,,3.88,1.0,,19.4,,126,2020-12-21,44.38,,3.74,1.1,,18.68,,161
SELL,39,RSP,2020-12-22,114.76,0.0,2020-11-24,113.05,0.0,0.0,0.0,0.0,1.46,19,rotation (out of top-N),2020-11-23,113.05,,4.14,1.1,,20.68,,112,2020-12-21,115.15,,3.77,1.1,,18.84,,140
SELL,40,SCHD,2020-12-15,17.49,1587.38,2020-12-01,17.35,13.77,13.88,222.23,208.35,0.76,10,rotation (out of top-N),2020-11-30,17.74,,4.44,0.9,,22.18,,119,2020-12-14,17.58,,3.85,1.0,,19.27,,133
SELL,41,VGT,2021-01-12,42.71,678.19,2020-12-01,40.61,13.77,14.48,1424.19,1409.71,5.12,28,rotation (out of top-N),2020-11-30,41.11,,4.48,0.9,,22.39,,210,2021-01-11,42.14,,3.35,1.2,,16.74,,252
