symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
DIA,2,0.0,-3014.12,-1507.06,-0.5,-0.33,-0.67,4.0
EEM,10,80.0,61512.79,6151.28,2.7,10.61,-6.91,12.0
EFA,4,75.0,21019.22,5254.81,3.1,10.65,-0.69,37.5
IJH,5,100.0,8452.39,1690.48,1.74,2.66,0.68,5.4
IJR,9,66.7,16479.45,1831.05,1.79,7.47,-2.06,9.4
IWM,7,85.7,37310.61,5330.09,4.98,13.05,-1.0,16.4
QQQ,9,66.7,11643.26,1293.7,4.52,36.67,-7.27,24.3
SCHD,1,0.0,-6637.83,-6637.83,-2.23,-2.23,-2.23,24.0
SMH,14,71.4,370831.72,26487.98,19.7,119.61,-8.45,62.1
TLT,1,100.0,1824.76,1824.76,5.48,5.48,5.48,63.0
VGT,25,68.0,113190.21,4527.61,3.31,12.65,-14.03,16.6
VTV,3,66.7,3865.22,1288.41,1.95,5.66,-2.32,8.3
VUG,10,60.0,2869.14,286.91,0.39,4.38,-3.16,11.4
XLB,5,80.0,18411.29,3682.26,1.2,4.23,-4.22,7.6
XLC,15,80.0,34793.74,2319.58,1.81,4.8,-1.91,18.7
XLE,11,72.7,128887.75,11717.07,9.78,59.58,-1.46,44.9
XLF,14,92.9,75447.04,5389.07,4.34,11.87,-2.51,23.3
XLI,4,50.0,2367.69,591.92,0.67,3.27,-2.97,17.5
XLK,20,85.0,142213.37,7110.67,4.86,22.67,-13.37,27.9
XLP,6,33.3,-6428.66,-1071.44,-1.39,1.38,-3.53,18.5
XLRE,8,100.0,18034.17,2254.27,2.36,6.96,0.29,19.0
XLU,6,66.7,29130.46,4855.08,3.07,8.75,-2.13,46.0
XLV,6,66.7,6480.38,1080.06,0.09,4.01,-6.06,8.8
XLY,6,50.0,6916.27,1152.71,0.51,5.61,-4.21,23.0
