date,equity,positions
2020-03-03,98908.61,3
2020-03-04,102066.93,3
2020-03-05,101303.89,3
2020-03-06,102181.09,3
2020-03-09,98894.09,3
2020-03-10,99760.51,3
2020-03-11,95385.49,3
2020-03-12,89582.29,3
2020-03-13,95096.86,3
2020-03-16,89225.79,3
2020-03-17,89801.77,3
2020-03-18,86132.53,3
2020-03-19,86584.13,3
2020-03-20,86888.92,3
2020-03-23,86988.56,3
2020-03-24,90487.09,3
2020-03-25,90173.9,3
2020-03-26,93490.1,3
2020-03-27,92147.95,3
2020-03-30,94011.72,3
2020-03-31,93547.79,1
2020-04-01,94048.34,1
2020-04-02,94278.96,1
2020-04-03,94365.44,1
2020-04-06,94268.48,1
2020-04-07,93888.48,1
2020-04-08,93626.41,1
2020-04-09,93689.31,1
2020-04-13,93361.72,1
2020-04-14,94564.02,3
2020-04-15,94526.01,3
2020-04-16,95821.34,3
2020-04-17,96002.15,3
2020-04-20,95444.22,3
2020-04-21,94022.4,3
2020-04-22,94919.9,3
2020-04-23,95208.07,3
2020-04-24,96144.31,3
2020-04-27,96073.25,3
2020-04-28,95349.65,3
2020-04-29,97402.18,3
2020-04-30,96823.62,3
2020-05-01,95449.64,3
2020-05-04,96011.85,3
2020-05-05,96527.56,3
2020-05-06,96368.05,3
2020-05-07,97802.99,3
2020-05-08,98213.93,3
2020-05-11,98423.57,3
2020-05-12,97476.26,3
2020-05-13,96817.74,3
2020-05-14,97890.53,3
2020-05-15,98151.13,3
2020-05-18,98688.57,3
2020-05-19,98631.78,3
2020-05-20,100039.93,3
2020-05-21,99342.26,3
2020-05-22,99784.98,3
2020-05-26,99181.16,3
2020-05-27,99472.16,3
2020-05-28,99236.81,3
2020-05-29,100382.38,3
2020-06-01,100212.74,3
2020-06-02,101069.26,3
2020-06-03,102483.98,3
2020-06-04,102294.21,3
2020-06-05,104611.43,3
2020-06-08,104966.2,3
2020-06-09,105226.35,3
2020-06-10,106758.42,3
2020-06-11,100928.92,3
2020-06-12,102042.25,3
2020-06-15,103187.03,3
2020-06-16,105262.23,3
2020-06-17,105352.22,3
2020-06-18,105779.43,3
2020-06-19,105284.85,3
2020-06-22,107030.77,3
2020-06-23,107821.41,3
2020-06-24,105455.49,3
2020-06-25,106702.62,3
2020-06-26,104507.47,3
2020-06-29,105629.87,3
2020-06-30,107592.05,3
2020-07-01,108142.02,3
2020-07-02,108787.13,3
2020-07-06,110887.95,3
2020-07-07,109893.76,3
2020-07-08,111609.19,3
2020-07-09,112214.1,3
2020-07-10,112373.56,3
2020-07-13,109979.4,3
2020-07-14,111229.84,3
2020-07-15,111356.55,3
2020-07-16,110617.32,3
2020-07-17,111051.71,3
2020-07-20,113806.04,3
2020-07-21,113024.87,3
2020-07-22,113625.65,3
2020-07-23,111199.82,3
2020-07-24,110321.08,3
2020-07-27,112996.27,3
2020-07-28,111016.92,3
2020-07-29,113025.97,3
2020-07-30,113770.28,3
2020-07-31,115073.37,3
2020-08-03,117180.33,3
2020-08-04,118033.3,3
2020-08-05,118334.07,3
2020-08-06,119243.69,3
2020-08-07,117680.86,3
2020-08-10,117419.41,3
2020-08-11,115438.39,3
