metric,value
window_start,2020-03-02
window_end,2026-09-08
trading_days,1639
calendar_days,2381
top_n,3
score,emasma
exit,rebalance
universe_is_etf,True
tickers,
initial_capital_usd,100000.0
final_equity_usd,1222649.26
total_return_pct,1122.65
cagr_pct,46.78
annualized_vol_pct,21.14
sharpe_ratio,1.94
sortino_ratio,1.87
max_drawdown_pct,-15.71
calmar_ratio,2.98
closed_trades,201
open_at_sample_end,3
total_trades,204
total_cost_usd,26892.2
win_rate_pct,73.13
profit_factor,7.48
avg_win_usd,8603.36
avg_loss_usd,-3131.35
expectancy_usd_per_trade,5450.75
best_trade_usd,263315.17
worst_trade_usd,-22307.51
best_trade_pct,119.61
worst_trade_pct,-14.03
avg_hold_trading_days,23.53
max_losing_streak,5
days_invested_pct,100.0
avg_positions,2.91
cost_per_side_bps,5.0
ledger_sum_usd,1222649.29
ledger_delta_usd,-0.03
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,173.02
benchmark_spy_cagr_pct,16.65
benchmark_vti_return_pct,165.58
benchmark_vti_cagr_pct,16.15
benchmark_eqw_universe_return_pct,162.81
benchmark_eqw_universe_cagr_pct,15.97
