kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,3,SMH,2020-03-03,66.03,504.57,,,16.66,,,,,,,2020-03-02,63.54,67.04,60.3,65.78,66.7,69.29,,,5.37,,999,1.07,,1.7,
BUY,2,TLT,2020-03-03,127.13,262.07,,,16.66,,,,,,,2020-03-02,137.84,122.96,114.98,127.23,124.22,118.41,,,19.88,,999,3.98,,1.0,
BUY,1,XLU,2020-03-03,26.94,1236.7,,,16.66,,,,,,,2020-03-02,27.45,27.27,25.77,26.93,27.36,27.59,,,6.52,,999,1.3,,1.7,
BUY,4,VGT,2020-03-10,27.02,1168.16,,,15.78,,,,,,,2020-03-09,26.29,29.13,27.3,25.96,28.63,30.57,,,-3.69,,999,-0.74,,2.2,
BUY,5,XLK,2020-03-10,40.59,777.62,,,15.78,,,,,,,2020-03-09,39.88,43.56,40.49,38.92,42.83,45.6,,,-1.52,,999,-0.3,,2.1,
SELL,3,SMH,2020-03-10,60.48,504.57,2020-03-03,66.03,16.66,15.26,-2800.36,-2815.61,-8.45,5,rotation (out of top-N),2020-03-09,57.4,65.29,60.5,58.25,64.23,68.62,,,-5.13,,999,-1.03,,2.3,
SELL,1,XLU,2020-03-10,26.38,1236.7,2020-03-03,26.94,16.66,16.31,-692.55,-708.86,-2.13,5,rotation (out of top-N),2020-03-09,23.59,26.6,25.76,26.16,27.21,27.72,,,-8.43,,999,-1.69,,2.4,
BUY,7,QQQ,2020-03-17,168.37,161.79,,,13.62,,,,,,,2020-03-16,163.79,196.67,191.99,162.45,186.48,209.23,,,-14.69,,999,-2.94,,2.7,
BUY,6,XLV,2020-03-17,75.06,362.92,,,13.62,,,,,,,2020-03-16,71.17,85.05,84.96,74.49,82.07,89.49,,,-16.24,,999,-3.25,,2.8,
SELL,4,VGT,2020-03-17,23.24,1168.16,2020-03-10,27.02,15.78,13.57,-4415.64,-4429.21,-14.03,5,rotation (out of top-N),2020-03-16,22.41,27.91,27.25,23.13,26.36,29.95,,,-17.77,,999,-3.55,,2.9,
SELL,5,XLK,2020-03-17,35.18,777.62,2020-03-10,40.59,15.78,13.68,-4206.93,-4220.61,-13.37,5,rotation (out of top-N),2020-03-16,33.83,41.79,40.45,34.3,39.54,44.73,,,-16.36,,999,-3.27,,2.8,
BUY,8,XLK,2020-03-24,35.54,720.48,,,12.8,,,,,,,2020-03-23,37.45,41.0,40.46,33.55,36.35,43.31,,,-7.44,,999,-1.49,,2.4,
SELL,6,XLV,2020-03-24,70.55,362.92,2020-03-17,75.06,13.62,12.8,-1636.78,-1649.58,-6.06,5,rotation (out of top-N),2020-03-23,76.8,83.55,84.81,67.47,75.85,86.94,,,-9.44,,999,-1.89,,2.5,
SELL,7,QQQ,2020-03-31,184.17,161.79,2020-03-17,168.37,13.62,14.9,2556.31,2541.41,9.33,10,rotation (out of top-N),2020-03-30,176.33,190.22,191.9,184.66,178.33,199.5,,,-8.11,,999,-1.62,,2.4,
SELL,8,XLK,2020-03-31,38.91,720.48,2020-03-24,35.54,12.8,14.02,2428.01,2413.99,9.43,5,rotation (out of top-N),2020-03-30,36.73,40.22,40.46,39.0,37.45,42.33,,,-9.22,,999,-1.84,,2.5,
BUY,9,QQQ,2020-04-14,199.21,145.04,,,14.45,,,,,,,2020-04-13,207.02,193.71,192.71,195.23,187.22,191.67,,,7.42,,0,1.48,,4.6,
BUY,10,XLK,2020-04-14,41.57,695.04,,,14.45,,,,,,,2020-04-13,42.51,40.7,40.64,40.66,39.21,40.41,,,4.59,,0,0.92,,4.8,
BUY,11,XLV,2020-04-21,88.86,322.57,,,14.33,,,,,,,2020-04-20,90.68,85.74,85.25,90.4,86.77,82.08,,,6.37,,0,1.27,,4.7,
SELL,10,XLK,2020-04-21,41.24,695.04,2020-04-14,41.57,14.45,14.33,-229.36,-243.7,-0.84,5,rotation (out of top-N),2020-04-20,42.21,40.97,40.75,41.8,40.99,39.65,,,3.59,,7,0.72,,4.7,
BUY,12,XLK,2020-04-28,43.1,691.71,,,14.91,,,,,,,2020-04-27,42.34,41.22,40.83,42.57,41.49,39.44,,,3.69,,14,0.74,,4.6,
SELL,11,XLV,2020-04-28,92.47,322.57,2020-04-21,88.86,14.33,14.91,1164.49,1149.57,4.01,5,rotation (out of top-N),2020-04-27,88.46,86.23,85.42,91.85,88.9,82.49,,,3.56,,7,0.71,,4.7,
BUY,13,SMH,2020-06-02,68.17,494.62,,,16.86,,,,,,,2020-06-01,73.57,65.63,63.15,67.84,66.84,63.65,,,16.5,,28,3.3,,3.7,
BUY,14,VGT,2020-06-02,31.41,1073.5,,,16.86,,,,,,,2020-06-01,32.38,29.73,28.14,31.35,30.75,28.79,,,15.07,,28,3.01,,3.8,
SELL,2,TLT,2020-06-02,134.16,262.07,2020-03-03,127.13,16.66,17.58,1842.34,1824.76,5.48,63,rotation (out of top-N),2020-06-01,129.55,134.77,123.16,134.67,135.65,137.66,,,5.19,,999,1.04,,1.7,
SELL,12,XLK,2020-06-02,46.74,691.71,2020-04-28,43.1,14.91,16.17,2517.84,2501.67,8.39,24,rotation (out of top-N),2020-06-01,48.29,44.54,41.98,46.64,45.94,43.26,,,15.03,,49,3.01,,3.4,
BUY,15,XLK,2020-06-09,48.29,742.97,,,17.94,,,,,,,2020-06-08,47.34,45.05,42.2,48.54,47.14,44.29,,,12.17,,56,2.43,,3.5,
SELL,13,SMH,2020-06-09,72.54,494.62,2020-06-02,68.17,16.86,17.94,2161.51,2143.57,6.36,5,rotation (out of top-N),2020-06-08,70.3,66.48,63.49,73.35,70.25,65.29,,,10.73,,35,2.15,,3.9,
BUY,16,SMH,2020-07-14,75.46,493.42,,,18.62,,,,,,,2020-07-13,77.19,71.87,65.65,75.96,75.25,71.34,,,17.58,,70,3.52,,2.0,
SELL,15,XLK,2020-07-14,50.14,742.97,2020-06-09,48.29,17.94,18.63,1374.49,1355.86,3.78,24,rotation (out of top-N),2020-07-13,51.01,48.38,43.7,50.55,50.63,48.29,,,16.73,,91,3.35,,1.6,
BUY,17,VUG,2020-07-21,35.08,1082.74,,,18.99,,,,,,,2020-07-20,33.89,32.37,29.41,34.82,33.94,32.44,,,15.24,,70,3.05,,2.1,
SELL,14,VGT,2020-07-21,35.4,1073.5,2020-06-02,31.41,16.86,19.0,4283.26,4264.25,12.65,34,rotation (out of top-N),2020-07-20,33.71,32.63,29.46,35.09,34.26,32.84,,,14.42,,77,2.88,,2.0,
BUY,18,VGT,2020-07-28,34.21,1083.79,,,18.54,,,,,,,2020-07-27,35.44,33.14,29.69,34.28,34.28,33.28,,,19.37,,84,3.87,,1.6,
SELL,17,VUG,2020-07-28,34.26,1082.74,2020-07-21,35.08,18.99,18.55,-887.84,-906.39,-2.39,5,rotation (out of top-N),2020-07-27,35.02,32.85,29.61,34.36,34.16,32.9,,,18.29,,77,3.66,,1.8,
BUY,19,XLK,2020-08-18,54.85,753.25,,,20.66,,,,,,,2020-08-17,56.31,52.02,45.42,54.75,54.03,51.71,,,23.98,,126,4.8,,0.8,
SELL,16,SMH,2020-08-18,83.78,493.42,2020-07-14,75.46,18.62,20.67,4105.21,4084.54,10.97,25,rotation (out of top-N),2020-08-17,82.34,77.73,68.05,83.43,82.01,77.84,,,20.99,,105,4.2,,1.2,
BUY,20,VUG,2020-08-25,37.19,1061.79,,,19.74,,,,,,,2020-08-24,38.4,35.14,30.51,37.19,36.44,34.79,,,25.87,,105,5,,1.0,
SELL,9,QQQ,2020-08-25,272.39,145.04,2020-04-14,199.21,14.45,19.75,10613.86,10594.11,36.67,93,rotation (out of top-N),2020-08-24,281.78,257.1,218.86,273.21,266.79,255.0,,,28.75,,133,5,,0.6,
BUY,21,QQQ,2020-09-01,286.66,143.79,,,20.61,,,,,,,2020-08-31,273.16,260.02,220.78,284.04,275.95,259.93,,,23.73,,140,4.75,,0.8,
SELL,20,VUG,2020-09-01,38.84,1061.79,2020-08-25,37.19,19.74,20.62,1751.95,1731.33,4.38,5,rotation (out of top-N),2020-08-31,37.09,35.49,30.73,38.56,37.59,35.45,,,20.71,,112,4.14,,1.1,
