date,equity,positions
2020-03-03,97217.93,3
2020-03-04,102324.61,3
2020-03-05,99949.45,3
2020-03-06,98801.47,3
2020-03-09,93086.83,3
2020-03-10,96614.33,3
2020-03-11,92267.62,3
2020-03-12,84127.55,3
2020-03-13,91669.66,3
2020-03-16,82002.76,3
2020-03-17,86448.98,2
2020-03-18,83674.59,2
2020-03-19,83936.88,2
2020-03-20,81635.75,2
2020-03-23,80016.85,2
2020-03-24,83712.47,1
2020-03-25,83690.03,1
2020-03-26,85402.99,1
2020-03-27,84093.96,1
2020-03-30,85253.38,1
2020-03-31,84707.33,1
2020-04-01,83345.94,1
2020-04-02,83981.75,1
2020-04-03,83555.38,1
2020-04-06,85896.68,1
2020-04-07,85627.39,1
2020-04-08,86420.29,1
2020-04-09,86457.69,1
2020-04-13,86495.09,1
2020-04-14,87774.2,1
2020-04-15,87086.02,1
2020-04-16,87460.03,1
2020-04-17,87878.92,1
2020-04-20,87347.83,1
2020-04-21,85289.32,2
2020-04-22,87295.19,2
2020-04-23,87387.36,2
2020-04-24,88802.57,2
2020-04-27,89809.89,2
2020-04-28,88216.54,2
2020-04-29,89882.78,2
2020-04-30,89474.55,2
2020-05-01,87499.44,2
2020-05-04,87886.79,2
2020-05-05,89520.33,2
2020-05-06,89276.32,2
2020-05-07,89712.07,2
2020-05-08,90495.93,2
2020-05-11,91691.76,2
2020-05-12,90111.82,2
2020-05-13,88938.93,2
2020-05-14,89904.27,2
2020-05-15,90567.16,2
2020-05-18,91887.14,2
2020-05-19,91073.58,2
2020-05-20,91868.54,2
2020-05-21,90974.66,2
2020-05-22,91221.67,2
2020-05-26,91083.34,2
2020-05-27,91864.47,2
2020-05-28,92541.49,2
2020-05-29,93683.01,2
2020-06-01,93087.71,2
2020-06-02,93751.24,3
2020-06-03,93914.55,3
2020-06-04,93162.13,3
2020-06-05,95016.23,3
2020-06-08,95613.79,3
2020-06-09,95694.74,3
2020-06-10,95752.64,3
2020-06-11,90558.19,3
2020-06-12,91553.21,3
2020-06-15,92434.31,3
2020-06-16,94383.6,3
2020-06-17,94247.98,3
2020-06-18,94183.11,3
2020-06-19,93476.86,3
