metric,value
window_start,2020-03-02
window_end,2026-09-09
trading_days,1640
calendar_days,2382
top_n,3
score,emasma
exit,rebalance
universe_is_etf,True
tickers,"XLB,XLE,XLF,XLRE,XLV,XLI,XLK,XLP,XLU,XLY,XLC"
initial_capital_usd,100000.0
final_equity_usd,658083.77
total_return_pct,558.08
cagr_pct,33.47
annualized_vol_pct,18.53
sharpe_ratio,1.68
sortino_ratio,1.56
max_drawdown_pct,-21.8
calmar_ratio,1.54
closed_trades,143
open_at_sample_end,3
total_trades,146
total_cost_usd,14041.01
win_rate_pct,74.13
profit_factor,7.18
avg_win_usd,5124.65
avg_loss_usd,-2044.28
expectancy_usd_per_trade,3269.75
best_trade_usd,51329.43
worst_trade_usd,-6455.07
best_trade_pct,59.58
worst_trade_pct,-19.37
avg_hold_trading_days,31.84
max_losing_streak,3
days_invested_pct,100.0
avg_positions,2.88
cost_per_side_bps,5.0
ledger_sum_usd,658083.79
ledger_delta_usd,-0.02
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,171.38
benchmark_spy_cagr_pct,16.53
benchmark_vti_return_pct,164.14
benchmark_vti_cagr_pct,16.05
benchmark_eqw_universe_return_pct,133.18
benchmark_eqw_universe_cagr_pct,13.85
