kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,1,XLU,2020-03-10,26.38,1236.7,2020-03-03,26.94,16.66,16.31,-692.55,-708.86,-2.13,5,rotation (out of top-N),2020-03-02,27.45,,1.3,1.7,,6.52,,999,2020-03-09,23.59,,-1.69,2.4,,-8.43,,999
SELL,2,XLV,2020-03-24,70.55,380.94,2020-03-03,87.46,16.66,13.44,-6441.63,-6455.07,-19.37,15,rotation (out of top-N),2020-03-02,87.41,,0.53,1.9,,2.63,,999,2020-03-23,76.8,,-1.89,2.5,,-9.44,,999
SELL,3,XLK,2020-11-10,57.26,748.02,2020-03-03,44.54,16.66,21.42,9514.77,9493.36,28.49,176,rotation (out of top-N),2020-03-02,42.12,,0.86,1.8,,4.28,,999,2020-11-09,58.0,,3.62,1.1,,18.11,,210
SELL,4,XLP,2020-03-17,45.31,644.83,2020-03-10,50.62,16.32,14.61,-3424.07,-3438.67,-10.53,5,rotation (out of top-N),2020-03-09,47.68,,-1.35,2.3,,-6.73,,999,2020-03-16,42.45,,-3.34,2.8,,-16.7,,999
SELL,5,XLV,2020-06-09,93.78,630.8,2020-04-21,88.86,28.03,29.58,3103.52,3073.95,5.48,34,rotation (out of top-N),2020-04-20,90.68,,1.27,4.7,,6.37,,0,2020-06-08,88.25,,0.29,4.1,,1.43,,49
SELL,6,XLC,2020-07-21,55.15,0.54,2020-06-02,51.48,0.01,0.02,2.0,1.98,7.08,34,rotation (out of top-N),2020-06-01,52.24,,1.73,4.6,,8.64,,0,2020-07-20,53.61,,1.87,3.7,,9.33,,49
SELL,7,XLY,2020-12-01,75.67,941.34,2020-06-09,62.78,29.55,35.62,12133.82,12098.21,20.47,122,rotation (out of top-N),2020-06-08,59.58,,1.16,4.7,,5.81,,0,2020-11-30,75.45,,3.99,1.0,,19.95,,175
SELL,8,XLB,2020-07-28,27.65,2.19,2020-07-21,27.13,0.03,0.03,1.14,1.11,1.87,5,rotation (out of top-N),2020-07-20,27.33,,2.2,4.2,,10.99,,14,2020-07-27,26.84,,1.77,4.2,,8.85,,21
SELL,9,XLC,2020-09-15,57.1,1.13,2020-07-28,53.83,0.03,0.03,3.68,3.65,6.02,34,rotation (out of top-N),2020-07-27,54.82,,2.27,3.5,,11.36,,56,2020-09-14,55.39,,1.85,1.8,,9.24,,105
SELL,10,XLB,2020-12-22,32.09,2.18,2020-09-15,29.5,0.03,0.03,5.65,5.61,8.73,69,rotation (out of top-N),2020-09-14,29.22,,3.35,2.0,,16.75,,70,2020-12-21,32.14,,3.85,1.0,,19.26,,168
SELL,11,XLI,2021-01-05,79.48,552.47,2020-11-10,77.45,21.39,21.96,1121.51,1099.56,2.57,37,rotation (out of top-N),2020-11-09,78.7,,4.12,1.6,,20.6,,84,2021-01-04,82.58,,3.85,1.0,,19.24,,140
SELL,12,XLF,2020-12-08,25.79,2770.77,2020-12-01,25.69,35.59,35.73,277.08,241.35,0.34,5,rotation (out of top-N),2020-11-30,26.21,,4.32,3.1,,21.58,,49,2020-12-07,25.74,,3.8,3.1,,18.98,,56
SELL,13,XLE,2020-12-15,16.07,4526.13,2020-12-08,15.78,35.71,36.37,1312.58,1276.21,1.79,5,rotation (out of top-N),2020-12-07,16.56,,3.93,3.9,,19.65,,7,2020-12-14,15.87,,2.79,4.1,,13.94,,14
SELL,14,XLK,2020-12-29,62.95,1204.6,2020-12-15,60.35,36.35,37.91,3131.97,3094.06,4.26,9,rotation (out of top-N),2020-12-14,61.41,,4.05,1.0,,20.27,,245,2020-12-28,62.37,,3.81,1.0,,19.06,,259
SELL,15,XLF,2021-07-13,33.88,4.07,2020-12-22,26.13,0.05,0.07,31.51,31.44,29.59,138,rotation (out of top-N),2020-12-21,26.33,,3.93,1.9,,19.65,,70,2021-07-12,33.12,,2.43,1.4,,12.14,,273
SELL,16,XLB,2021-01-26,33.43,2354.07,2020-12-29,32.18,37.88,39.35,2942.59,2903.24,3.83,18,rotation (out of top-N),2020-12-28,32.5,,3.83,1.0,,19.17,,175,2021-01-25,31.69,,2.27,1.4,,11.36,,203
SELL,17,XLY,2021-01-12,79.65,579.06,2021-01-05,75.82,21.95,23.06,2217.79,2194.73,5.0,5,rotation (out of top-N),2021-01-04,80.74,,4.23,0.9,,21.17,,210,2021-01-11,79.31,,3.55,1.1,,17.76,,217
SELL,18,XLE,2021-01-26,17.15,2652.35,2021-01-12,17.38,23.05,22.74,-610.04,-632.78,-1.37,9,rotation (out of top-N),2021-01-11,17.45,,4.21,3.2,,21.05,,42,2021-01-25,16.05,,2.02,3.6,,10.12,,56
SELL,19,XLY,2021-02-09,82.59,757.07,2021-01-26,81.95,31.02,31.26,484.52,453.26,0.73,10,rotation (out of top-N),2021-01-25,77.49,,2.58,1.4,,12.88,,231,2021-02-08,81.47,,3.27,1.2,,16.36,,245
SELL,20,XLK,2021-02-02,64.01,962.18,2021-01-26,64.48,31.02,30.79,-452.23,-483.02,-0.78,5,rotation (out of top-N),2021-01-25,61.85,,2.67,1.3,,13.34,,287,2021-02-01,64.91,,3.55,1.1,,17.73,,294
SELL,21,XLE,2021-07-13,21.89,3723.69,2021-02-02,16.54,30.79,40.76,19921.76,19881.01,32.28,111,rotation (out of top-N),2021-02-01,17.37,,3.7,2.0,,18.49,,63,2021-07-12,20.29,,1.91,1.5,,9.54,,224
