kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,3,XLK,2020-03-03,44.54,748.02,,,16.66,,,,,,,2020-03-02,42.12,44.38,40.39,44.29,44.61,45.83,,,4.28,,999,0.86,,1.8,
BUY,1,XLU,2020-03-03,26.94,1236.7,,,16.66,,,,,,,2020-03-02,27.45,27.27,25.77,26.93,27.36,27.59,,,6.52,,999,1.3,,1.7,
BUY,2,XLV,2020-03-03,87.46,380.94,,,16.66,,,,,,,2020-03-02,87.41,89.59,85.17,87.38,88.31,91.74,,,2.63,,999,0.53,,1.9,
BUY,4,XLP,2020-03-10,50.62,644.83,,,16.32,,,,,,,2020-03-09,47.68,51.64,51.12,49.58,51.56,53.14,,,-6.73,,999,-1.35,,2.3,
SELL,1,XLU,2020-03-10,26.38,1236.7,2020-03-03,26.94,16.66,16.31,-692.55,-708.86,-2.13,5,rotation (out of top-N),2020-03-09,23.59,26.6,25.76,26.16,27.21,27.72,,,-8.43,,999,-1.69,,2.4,
SELL,4,XLP,2020-03-17,45.31,644.83,2020-03-10,50.62,16.32,14.61,-3424.07,-3438.67,-10.53,5,rotation (out of top-N),2020-03-16,42.45,49.97,50.96,43.35,48.21,52.35,,,-16.7,,999,-3.34,,2.8,
SELL,2,XLV,2020-03-24,70.55,380.94,2020-03-03,87.46,16.66,13.44,-6441.63,-6455.07,-19.37,15,rotation (out of top-N),2020-03-23,76.8,83.55,84.81,67.47,75.85,86.94,,,-9.44,,999,-1.89,,2.5,
BUY,5,XLV,2020-04-21,88.86,630.8,,,28.03,,,,,,,2020-04-20,90.68,85.74,85.25,90.4,86.77,82.08,,,6.37,,0,1.27,,4.7,
BUY,6,XLC,2020-06-02,51.48,0.54,,,0.01,,,,,,,2020-06-01,52.24,48.56,48.09,51.42,50.32,46.9,,,8.64,,0,1.73,,4.6,
BUY,7,XLY,2020-06-09,62.78,941.34,,,29.55,,,,,,,2020-06-08,59.58,56.84,56.31,63.34,60.52,55.77,,,5.81,,0,1.16,,4.7,
SELL,5,XLV,2020-06-09,93.78,630.8,2020-04-21,88.86,28.03,29.58,3103.52,3073.95,5.48,34,rotation (out of top-N),2020-06-08,88.25,89.49,87.0,93.97,92.39,90.32,,,1.43,,49,0.29,,4.1,
BUY,8,XLB,2020-07-21,27.13,2.19,,,0.03,,,,,,,2020-07-20,27.33,25.44,24.62,26.96,26.41,25.3,,,10.99,,14,2.2,,4.2,
SELL,6,XLC,2020-07-21,55.15,0.54,2020-06-02,51.48,0.01,0.02,2.0,1.98,7.08,34,rotation (out of top-N),2020-07-20,53.61,51.82,49.04,54.79,53.81,52.23,,,9.33,,49,1.87,,3.7,
BUY,9,XLC,2020-07-28,53.83,1.13,,,0.03,,,,,,,2020-07-27,54.82,52.37,49.23,53.98,53.93,52.65,,,11.36,,56,2.27,,3.5,
SELL,8,XLB,2020-07-28,27.65,2.19,2020-07-21,27.13,0.03,0.03,1.14,1.11,1.87,5,rotation (out of top-N),2020-07-27,26.84,25.7,24.66,27.73,27.08,25.71,,,8.85,,21,1.77,,4.2,
BUY,10,XLB,2020-09-15,29.5,2.18,,,0.03,,,,,,,2020-09-14,29.22,27.84,25.03,29.35,28.72,27.85,,,16.75,,70,3.35,,2.0,
SELL,9,XLC,2020-09-15,57.1,1.13,2020-07-28,53.83,0.03,0.03,3.68,3.65,6.02,34,rotation (out of top-N),2020-09-14,55.39,55.88,50.7,56.59,57.6,56.62,,,9.24,,105,1.85,,1.8,
BUY,11,XLI,2020-11-10,77.45,552.47,,,21.39,,,,,,,2020-11-09,78.7,73.26,65.26,77.19,73.68,72.38,,,20.6,,84,4.12,,1.6,
SELL,3,XLK,2020-11-10,57.26,748.02,2020-03-03,44.54,16.66,21.42,9514.77,9493.36,28.49,176,rotation (out of top-N),2020-11-09,58.0,56.09,49.11,57.77,56.35,55.84,,,18.11,,210,3.62,,1.1,
BUY,12,XLF,2020-12-01,25.69,2770.77,,,35.59,,,,,,,2020-11-30,26.21,24.0,21.56,25.22,25.11,23.32,,,21.58,,49,4.32,,3.1,
SELL,7,XLY,2020-12-01,75.67,941.34,2020-06-09,62.78,29.55,35.62,12133.82,12098.21,20.47,122,rotation (out of top-N),2020-11-30,75.45,72.82,62.9,75.09,74.43,72.65,,,19.95,,175,3.99,,1.0,
BUY,13,XLE,2020-12-08,15.78,4526.13,,,35.71,,,,,,,2020-12-07,16.56,14.47,13.84,15.98,15.44,13.38,,,19.65,,7,3.93,,3.9,
SELL,12,XLF,2020-12-08,25.79,2770.77,2020-12-01,25.69,35.59,35.73,277.08,241.35,0.34,5,rotation (out of top-N),2020-12-07,25.74,24.31,21.63,26.03,25.66,23.75,,,18.98,,56,3.8,,3.1,
BUY,14,XLK,2020-12-15,60.35,1204.6,,,36.35,,,,,,,2020-12-14,61.41,58.45,51.06,59.7,59.61,57.63,,,20.27,,245,4.05,,1.0,
SELL,13,XLE,2020-12-15,16.07,4526.13,2020-12-08,15.78,35.71,36.37,1312.58,1276.21,1.79,5,rotation (out of top-N),2020-12-14,15.87,14.72,13.93,15.99,16.01,13.88,,,13.94,,14,2.79,,4.1,
BUY,15,XLF,2020-12-22,26.13,4.07,,,0.05,,,,,,,2020-12-21,26.33,24.9,22.01,26.12,25.87,24.57,,,19.65,,70,3.93,,1.9,
