kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,1,TSLA,2023-07-11,268.63,358.24,2023-07-05,279.0,49.98,48.12,-3714.99,-3763.1,-3.76,4,rotation (out of top-N),2023-07-03,274.44,5.5,5,2.3,2.8,44.1,2.6,28,2023-07-10,281.39,5.3,5,2.1,2.9,46.62,2.34,35
SELL,2,PLTR,2023-07-25,16.42,1943.8,2023-07-11,16.5,16.03,15.96,-145.78,-161.74,-0.5,10,rotation (out of top-N),2023-07-10,16.4,5.6,5,-0.5,1.4,75.75,3.19,91,2023-07-24,17.8,5.5,5,-0.8,1.0,81.83,3.45,105
SELL,3,COIN,2023-08-01,95.88,396.4,2023-07-11,80.89,16.03,19.0,5944.04,5925.04,18.48,15,rotation (out of top-N),2023-07-10,105.42,5.8,5,-1.0,0.2,79.38,4.17,119,2023-07-31,87.3,4.5,5,-0.2,0.7,43.61,3.41,140
SELL,4,CVNA,2023-10-03,7.79,4634.71,2023-07-11,6.92,16.03,18.04,4022.93,4004.89,12.49,59,rotation (out of top-N),2023-07-10,7.54,7.4,5,1.4,1.4,219.35,9.01,35,2023-10-02,7.53,6.0,5,-1.0,0.0,68.97,4.84,119
SELL,5,SMCI,2023-08-22,25.85,1031.44,2023-07-25,30.96,15.97,13.33,-5270.65,-5283.98,-16.55,20,rotation (out of top-N),2023-07-24,33.45,5.9,5,-1,0.1,145.31,4.28,462,2023-08-21,25.39,5.3,5,-1,0.7,63.04,3.43,490
SELL,6,PLTR,2023-08-15,15.62,1957.99,2023-08-01,19.4,18.99,15.29,-7401.19,-7416.48,-19.52,10,rotation (out of top-N),2023-07-31,18.2,6.1,5,-0.9,0.1,81.39,4.85,112,2023-08-14,14.4,3.9,5,0.1,1.1,38.94,2.88,126
SELL,7,APP,2023-08-29,40.55,770.86,2023-08-15,39.66,15.29,15.63,689.92,674.29,2.21,10,rotation (out of top-N),2023-08-14,38.25,5.6,5,-0.6,1.2,103.93,3.28,98,2023-08-28,43.2,4.5,5,-0.9,1.8,114.59,2.03,112
SELL,8,VRT,2023-10-31,37.83,753.93,2023-08-22,35.35,13.33,14.26,1869.74,1855.48,6.96,49,rotation (out of top-N),2023-08-21,37.37,4.7,5,-1,1.3,101.52,2.59,294,2023-10-30,40.28,5.0,5,-1,1.0,63.66,3.02,364
SELL,9,NVDA,2023-09-12,44.7,669.61,2023-08-29,46.66,15.62,14.97,-1312.44,-1327.41,-4.25,9,rotation (out of top-N),2023-08-28,48.45,5.4,5,-1,0.6,60.57,3.66,224,2023-09-11,43.85,3.5,5,0.1,1.5,38.94,2.31,238
SELL,10,APP,2023-10-10,41.7,713.0,2023-09-12,41.96,14.96,14.87,-185.38,-200.25,-0.67,20,rotation (out of top-N),2023-09-11,42.79,4.2,5,-1,1.8,97.75,1.86,126,2023-10-09,38.53,4.3,5,-0.8,1.6,56.9,2.16,154
