kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,1,TSLA,2023-07-05,279.0,358.24,,,49.98,,,,,,,2023-07-03,274.44,234.04,190.46,279.9,259.26,216.79,279.01,271.76,44.1,2.6,28,5,5.5,2.3,2.8
BUY,2,APP,2023-07-11,27.24,706.23,,,9.62,,,,,,,2023-07-10,28.15,23.99,16.67,27.07,25.71,24.18,27.07,26.46,68.84,2.25,63,5,5.4,-0.0,2.5
BUY,3,COIN,2023-07-11,80.89,237.84,,,9.62,,,,,,,2023-07-10,105.42,71.8,58.77,81.21,74.24,61.84,81.21,77.82,79.38,4.17,119,5,5.8,-1.0,0.2
BUY,6,CVNA,2023-07-11,6.92,2780.83,,,9.62,,,,,,,2023-07-10,7.54,4.62,2.36,6.85,5.44,3.81,6.85,6.24,219.35,9.01,35,5,7.4,1.4,1.4
BUY,4,PLTR,2023-07-11,16.5,1166.28,,,9.62,,,,,,,2023-07-10,16.4,14.04,9.33,16.3,15.41,14.02,16.3,15.78,75.75,3.19,91,5,5.6,-0.5,1.4
BUY,5,SMCI,2023-07-11,27.49,699.81,,,9.62,,,,,,,2023-07-10,29.51,22.69,12.34,26.98,24.95,21.6,26.98,25.97,139.17,3.75,448,5,5.5,-1,0.5
SELL,1,TSLA,2023-07-11,268.63,358.24,2023-07-05,279.0,49.98,48.12,-3714.99,-3763.1,-3.76,4,rotation (out of top-N),2023-07-10,281.39,242.65,191.92,269.49,267.8,227.37,269.49,263.18,46.62,2.34,35,5,5.3,2.1,2.9
BUY,7,HOOD,2023-07-18,12.46,1612.53,,,10.05,,,,,,,2023-07-17,12.76,10.66,9.73,12.49,11.61,9.89,12.49,12.14,31.14,2.88,14,5,5.2,3.2,2.8
SELL,2,APP,2023-07-18,28.41,706.23,2023-07-11,27.24,9.62,10.03,826.29,816.26,4.24,5,rotation (out of top-N),2023-07-17,28.09,24.74,16.93,28.43,27.42,24.89,28.43,27.95,65.93,1.71,70,5,5.0,-0.2,2.7
BUY,8,APP,2023-07-25,28.57,719.98,,,10.29,,,,,,,2023-07-24,31.26,25.92,17.27,28.16,27.92,25.31,28.16,27.48,80.98,2.41,77,5,5.3,-0.3,2.1
SELL,7,HOOD,2023-07-25,12.77,1612.53,2023-07-18,12.46,10.05,10.29,491.82,481.53,2.4,5,rotation (out of top-N),2023-07-24,12.71,11.03,9.79,12.74,12.36,10.41,12.74,12.46,29.72,2.21,21,5,4.6,3.2,3.2
BUY,9,DLR,2023-08-01,113.67,200.51,,,11.4,,,,,,,2023-07-31,110.02,104.06,94.89,114.34,110.2,102.7,113.58,109.35,15.94,3.72,42,3.19,4.6,3.5,3.2
SELL,3,COIN,2023-08-01,95.88,237.84,2023-07-11,80.89,9.62,11.4,3566.42,3555.02,18.48,15,rotation (out of top-N),2023-07-31,87.3,81.57,60.79,98.63,97.19,76.81,98.63,95.27,43.61,3.41,140,5,4.5,-0.2,0.7
BUY,10,VRT,2023-08-08,35.42,623.64,,,11.04,,,,,,,2023-08-07,33.4,26.85,17.49,35.6,30.93,25.54,35.59,34.35,90.95,3.48,280,5,5.3,-1,0.7
SELL,9,DLR,2023-08-08,110.22,200.51,2023-08-01,113.67,11.4,11.05,-691.75,-702.8,-3.08,5,rotation (out of top-N),2023-08-07,110.33,105.2,95.51,110.86,110.9,104.78,110.13,108.47,15.52,1.51,49,3.1,3.0,3.4,4.6
BUY,11,MPC,2023-08-22,135.56,130.3,,,8.83,,,,,,,2023-08-21,136.06,125.71,114.58,134.99,134.49,121.29,134.99,132.9,18.75,1.55,28,3.75,3.5,3.6,4.6
BUY,12,NVDA,2023-08-22,48.08,367.37,,,8.83,,,,,,,2023-08-21,45.97,42.77,29.37,46.93,44.15,44.03,46.87,45.7,56.53,2.49,217,5,4.5,-0.8,1.3
SELL,4,PLTR,2023-08-22,14.8,1166.28,2023-07-11,16.5,9.62,8.63,-1976.84,-1985.47,-10.32,30,rotation (out of top-N),2023-08-21,14.52,15.23,10.55,14.49,15.37,16.38,14.49,14.05,37.69,3.1,133,5,4.0,0.1,0.9
SELL,5,SMCI,2023-08-22,25.85,699.81,2023-07-11,27.49,9.62,9.05,-1147.69,-1156.73,-6.01,30,rotation (out of top-N),2023-08-21,25.39,26.26,15.57,25.26,26.73,28.5,25.26,24.39,63.04,3.43,490,5,5.3,-1,0.7
BUY,13,APA,2023-08-29,38.55,456.67,,,8.8,,,,,,,2023-08-28,40.5,36.92,34.95,38.53,38.62,36.07,38.53,37.8,15.89,1.89,14,3.18,3.8,4.0,4.9
SELL,11,MPC,2023-08-29,135.11,130.3,2023-08-22,135.56,8.83,8.8,-58.63,-67.44,-0.38,5,rotation (out of top-N),2023-08-28,137.91,127.93,115.12,135.19,135.14,124.71,135.19,133.03,19.8,1.6,35,3.96,3.5,3.4,4.4
BUY,14,SW,2023-09-12,33.45,512.13,,,8.57,,,,,,,2023-09-11,33.86,30.54,29.04,31.56,30.65,30.02,31.56,30.94,16.58,1.95,14,3.32,3.9,3.9,4.8
BUY,15,TSLA,2023-09-12,270.75,63.27,,,8.57,,,,,,,2023-09-11,274.44,249.24,203.32,273.63,253.21,252.17,273.77,266.06,34.98,2.82,98,5,4.0,0.6,1.5
SELL,13,APA,2023-09-12,39.12,456.67,2023-08-29,38.55,8.8,8.93,260.3,251.37,1.43,9,rotation (out of top-N),2023-09-11,38.12,37.56,34.93,38.53,39.46,37.82,38.53,37.87,9.12,1.71,28,1.82,3.1,4.1,5.5
SELL,12,NVDA,2023-09-12,44.7,367.37,2023-08-22,48.08,8.83,8.21,-1241.72,-1249.93,-7.08,14,rotation (out of top-N),2023-09-11,43.85,44.07,31.56,45.15,46.64,45.66,45.09,44.05,38.94,2.31,238,5,3.5,0.1,1.5
BUY,17,CF,2023-09-19,76.57,224.85,,,8.61,,,,,,,2023-09-18,79.04,74.65,71.87,76.24,76.3,74.59,76.24,75.01,9.97,1.62,14,1.99,3.3,4.3,5.7
BUY,16,VLO,2023-09-19,136.63,126.01,,,8.61,,,,,,,2023-09-18,134.31,124.8,116.1,135.23,131.37,122.99,135.23,132.84,15.69,1.77,35,3.14,3.4,3.6,4.7
SELL,14,SW,2023-09-19,34.63,512.13,2023-09-12,33.45,8.57,8.87,604.31,595.44,3.48,5,rotation (out of top-N),2023-09-18,32.67,30.93,29.07,33.87,32.53,30.75,33.87,33.44,12.38,1.27,21,2.48,3.1,4.0,5.6
SELL,15,TSLA,2023-09-19,264.2,63.27,2023-09-12,270.75,8.57,8.36,-414.12,-422.47,-2.47,5,rotation (out of top-N),2023-09-18,244.85,248.45,205.68,265.27,264.29,251.09,265.27,258.5,19.04,2.55,105,3.81,2.9,1.3,2.6
BUY,19,TPL,2023-09-26,200.61,87.09,,,8.74,,,,,,,2023-09-25,198.5,191.43,189.03,200.81,199.01,195.46,200.81,197.15,5.01,1.82,0,1.0,3.5,4.7,6.3
BUY,18,WSM,2023-09-26,74.73,233.78,,,8.74,,,,,,,2023-09-25,74.39,67.53,60.3,74.85,69.27,66.87,74.85,72.74,23.37,2.81,91,4.67,3.5,1.3,2.3
SELL,17,CF,2023-09-26,80.38,224.85,2023-09-19,76.57,8.61,9.04,856.69,847.66,4.92,5,rotation (out of top-N),2023-09-25,80.4,75.7,71.79,80.72,78.11,74.98,80.72,79.65,12.0,1.33,21,2.4,3.1,4.1,5.6
SELL,16,VLO,2023-09-26,133.99,126.01,2023-09-19,136.63,8.61,8.44,-332.67,-341.11,-1.98,5,rotation (out of top-N),2023-09-25,130.95,125.92,116.57,135.45,133.14,125.26,135.45,133.05,12.34,1.77,42,2.47,3.1,3.7,4.9
BUY,21,CF,2023-10-03,77.69,237.65,,,9.23,,,,,,,2023-10-02,75.93,75.74,71.72,78.55,79.01,75.43,78.55,76.92,5.87,2.08,28,1.17,3.2,4.2,5.6
BUY,22,HAL,2023-10-03,37.13,497.25,,,9.23,,,,,,,2023-10-02,36.46,37.07,33.68,37.47,38.58,37.91,37.31,36.36,8.26,2.55,63,1.65,3.1,2.5,4.4
BUY,20,JBL,2023-10-03,127.39,144.93,,,9.23,,,,,,,2023-10-02,129.24,113.2,93.53,128.14,115.31,108.36,128.14,125.85,38.17,1.79,357,5,3.1,0.1,1.8
SELL,6,CVNA,2023-10-03,7.79,2780.83,2023-07-11,6.92,9.62,10.83,2413.76,2402.93,12.49,59,rotation (out of top-N),2023-10-02,7.53,8.31,4.46,7.85,8.48,8.86,7.85,7.47,68.97,4.84,119,5,6.0,-1.0,0.0
SELL,19,TPL,2023-10-03,189.99,87.09,2023-09-26,200.61,8.74,8.27,-924.85,-933.12,-5.34,5,rotation (out of top-N),2023-10-02,193.66,191.84,187.62,188.16,197.81,199.24,188.16,183.78,3.22,2.33,7,0.64,3.6,4.7,6.0
SELL,18,WSM,2023-10-03,73.7,233.78,2023-09-26,74.73,8.74,8.61,-240.79,-249.41,-1.43,5,rotation (out of top-N),2023-10-02,74.4,68.78,60.81,73.78,72.35,67.8,73.78,72.6,22.34,1.6,98,4.47,2.6,1.2,3.1
BUY,26,CRWD,2023-10-10,181.57,120.99,,,10.98,,,,,,,2023-10-09,185.69,166.46,140.13,181.79,169.56,160.79,181.79,176.44,32.51,2.94,140,5,3.6,0.4,1.0
BUY,24,GD,2023-10-10,227.88,96.4,,,10.98,,,,,,,2023-10-09,231.39,213.22,209.26,227.06,212.06,210.74,227.06,221.47,10.58,2.46,0,2.12,4.2,4.5,5.3
BUY,25,PLTR,2023-10-10,18.07,1215.73,,,10.98,,,,,,,2023-10-09,17.39,15.81,12.09,17.61,15.96,15.22,17.61,16.81,43.81,4.56,182,5,5.2,-0.2,0.0
BUY,23,SMCI,2023-10-10,29.5,744.68,,,10.98,,,,,,,2023-10-09,28.51,27.06,18.83,29.01,27.74,26.42,29.01,28.09,51.41,3.18,539,5,4.7,-0.6,0.9
SELL,8,APP,2023-10-10,41.7,719.98,2023-07-25,28.57,10.29,15.01,9449.71,9434.7,45.86,54,rotation (out of top-N),2023-10-09,38.53,38.24,24.56,40.84,40.11,40.5,40.84,39.95,56.9,2.16,154,5,4.3,-0.8,1.6
SELL,21,CF,2023-10-10,80.94,237.65,2023-10-03,77.69,9.23,9.62,772.35,762.73,4.13,5,rotation (out of top-N),2023-10-09,79.32,76.39,71.75,80.82,78.17,75.72,80.82,79.01,10.55,2.24,35,2.11,3.4,3.9,4.9
SELL,22,HAL,2023-10-10,38.87,497.25,2023-10-03,37.13,9.23,9.66,865.21,855.55,4.63,5,rotation (out of top-N),2023-10-09,39.98,37.6,33.74,38.93,37.68,37.82,38.76,37.8,18.48,2.47,70,3.7,3.4,1.9,3.3
