symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
AAPL,1,100.0,2105.3,2105.3,6.79,6.79,6.79,5.0
ABNB,1,100.0,5255.38,5255.38,7.44,7.44,7.44,9.0
AEHR,2,0.0,-199270.8,-99635.4,-4.86,-3.31,-6.41,6.5
AES,2,100.0,2332.83,1166.41,3.0,5.66,0.34,5.0
AGL,4,50.0,1557389.99,389347.5,55.78,238.55,-19.61,11.8
AIG,2,100.0,4871.87,2435.93,3.42,3.59,3.25,7.5
ALAB,1,100.0,523906.18,523906.18,54.92,54.92,54.92,42.0
ALB,5,60.0,33850.24,6770.05,3.56,29.16,-12.93,11.4
ALL,1,100.0,353.3,353.3,4.19,4.19,4.19,15.0
AMBA,1,0.0,-2510.3,-2510.3,-0.11,-0.11,-0.11,1.0
AMD,4,100.0,34812.89,8703.22,6.32,11.43,0.26,13.8
AMGN,1,100.0,494.49,494.49,5.94,5.94,5.94,5.0
AMT,1,100.0,534.13,534.13,0.73,0.73,0.73,14.0
ANET,3,66.7,27827.41,9275.8,6.11,13.29,-0.63,8.0
ANF,1,0.0,-61474.33,-61474.33,-3.04,-3.04,-3.04,2.0
AOS,1,100.0,155.52,155.52,0.68,0.68,0.68,5.0
APA,2,50.0,1499.96,749.98,-0.09,1.2,-1.39,14.0
APH,1,100.0,3483.64,3483.64,4.5,4.5,4.5,5.0
APP,14,71.4,160225.45,11444.68,29.43,279.92,-10.07,20.8
ARM,2,50.0,432269.59,216134.8,22.29,48.04,-3.46,21.0
AVGO,3,66.7,7776.76,2592.25,1.62,4.39,-1.89,6.3
AWK,1,100.0,2092.86,2092.86,2.92,2.92,2.92,24.0
AXON,2,0.0,-2199.6,-1099.8,-1.75,-0.91,-2.59,5.0
AXP,1,100.0,410.19,410.19,2.2,2.2,2.2,5.0
BA,1,100.0,740.9,740.9,0.96,0.96,0.96,5.0
BAND,2,50.0,-96006.75,-48003.38,2.39,25.57,-20.78,7.5
BAX,1,0.0,-29472.92,-29472.92,-1.34,-1.34,-1.34,2.0
BKR,1,0.0,-3500.28,-3500.28,-10.8,-10.8,-10.8,5.0
BXC,1,100.0,300919.79,300919.79,13.66,13.66,13.66,8.0
BXP,1,100.0,58.51,58.51,0.39,0.39,0.39,5.0
CBRL,3,100.0,336866.93,112288.98,8.51,24.06,0.62,7.3
CCI,1,100.0,526.65,526.65,1.63,1.63,1.63,5.0
CCL,6,83.3,20179.5,3363.25,5.45,12.23,-1.38,5.8
CEG,6,66.7,19641.11,3273.52,5.08,16.57,-4.4,7.2
CF,4,100.0,179507.31,44876.83,9.69,22.68,1.97,8.8
CHTR,3,33.3,-3956.16,-1318.72,-0.72,4.75,-6.44,6.3
CI,1,100.0,1798.07,1798.07,2.47,2.47,2.47,5.0
CIEN,9,77.8,528530.44,58725.6,18.46,66.53,-8.3,16.4
CNC,1,100.0,112.87,112.87,1.34,1.34,1.34,5.0
COHR,9,88.9,382746.72,42527.41,21.85,161.24,-5.82,19.8
COIN,8,75.0,49519.73,6189.97,10.48,48.75,-15.28,24.5
COO,1,100.0,10379.89,10379.89,4.04,4.04,4.04,5.0
COOK,1,0.0,-56176.41,-56176.41,-4.37,-4.37,-4.37,18.0
CORT,1,0.0,-53176.07,-53176.07,-2.42,-2.42,-2.42,5.0
CRDO,4,50.0,156110.69,39027.67,8.83,43.03,-17.16,8.0
CRL,1,100.0,97423.83,97423.83,4.69,4.69,4.69,2.0
CRWD,2,100.0,4152.58,2076.29,12.14,22.17,2.1,19.0
CRWV,1,0.0,-380398.12,-380398.12,-16.64,-16.64,-16.64,4.0
CSGP,1,0.0,-636.09,-636.09,-0.89,-0.89,-0.89,10.0
CSW,1,100.0,11317.84,11317.84,0.5,0.5,0.5,2.0
CSX,1,100.0,969.37,969.37,0.64,0.64,0.64,9.0
CVNA,11,81.8,77830.7,7075.52,20.76,98.85,-3.04,27.1
CVS,1,100.0,2973.15,2973.15,4.17,4.17,4.17,44.0
DAL,1,100.0,1800.38,1800.38,4.18,4.18,4.18,5.0
DASH,1,100.0,301.91,301.91,0.97,0.97,0.97,24.0
DDOG,3,33.3,104948.22,34982.74,8.45,42.32,-12.23,6.7
DECK,2,50.0,506.21,253.1,0.92,4.35,-2.51,5.0
DELL,7,42.9,42764.58,6109.23,2.5,20.23,-8.71,11.7
DG,1,0.0,-1920.85,-1920.85,-2.64,-2.64,-2.64,5.0
DHI,2,100.0,2831.82,1415.91,4.28,7.56,1.0,5.0
DLR,1,0.0,-1544.48,-1544.48,-3.08,-3.08,-3.08,5.0
DLTR,2,100.0,11239.51,5619.76,6.79,9.22,4.37,10.0
DOC,1,100.0,129.73,129.73,0.72,0.72,0.72,9.0
DOW,3,100.0,105582.18,35194.06,7.01,12.15,4.19,6.3
DPZ,1,100.0,3772.22,3772.22,5.29,5.29,5.29,5.0
DXCM,1,100.0,5489.74,5489.74,6.91,6.91,6.91,5.0
EA,1,0.0,-1910.57,-1910.57,-2.4,-2.4,-2.4,5.0
ED,1,100.0,3521.37,3521.37,4.91,4.91,4.91,20.0
EL,1,100.0,12215.5,12215.5,10.68,10.68,10.68,9.0
ELF,1,100.0,50273.41,50273.41,2.42,2.42,2.42,2.0
EQT,1,100.0,2683.87,2683.87,3.0,3.0,3.0,14.0
ESTC,1,0.0,-82252.32,-82252.32,-4.06,-4.06,-4.06,2.0
EXPE,3,100.0,14666.25,4888.75,12.32,30.61,0.01,14.0
FBRX,2,50.0,4650584.7,2325292.35,136.25,272.55,-0.05,11.5
FITB,1,100.0,2305.87,2305.87,15.21,15.21,15.21,10.0
FIX,5,60.0,121389.38,24277.88,10.26,32.51,-4.11,6.0
FROG,1,100.0,173085.72,173085.72,10.3,10.3,10.3,4.0
FSLR,6,83.3,7810.51,1301.75,2.26,12.48,-7.64,9.5
FTNT,2,50.0,1178.41,589.21,2.77,7.01,-1.46,14.0
