metric,value
window_start,2021-09-20
window_end,2026-09-08
trading_days,1247
calendar_days,1814
top_n,7
score,mtf
exit,rebalance
universe_is_etf,False
tickers,
initial_capital_usd,100000.0
final_equity_usd,14187076.77
total_return_pct,14087.08
cagr_pct,171.01
annualized_vol_pct,36.99
sharpe_ratio,2.9
sortino_ratio,2.59
max_drawdown_pct,-23.69
calmar_ratio,7.22
closed_trades,445
open_at_sample_end,1
total_trades,446
total_cost_usd,203102.05
win_rate_pct,69.89
profit_factor,4.16
avg_win_usd,59620.47
avg_loss_usd,-33253.28
expectancy_usd_per_trade,31653.99
best_trade_usd,4657673.01
worst_trade_usd,-496041.25
best_trade_pct,279.92
worst_trade_pct,-21.69
avg_hold_trading_days,12.4
max_losing_streak,6
days_invested_pct,64.04
avg_positions,4.43
cost_per_side_bps,5.0
ledger_sum_usd,14187076.71
ledger_delta_usd,0.06
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,88.89
benchmark_spy_cagr_pct,13.65
benchmark_vti_return_pct,80.47
benchmark_vti_cagr_pct,12.61
benchmark_eqw_universe_return_pct,141.56
benchmark_eqw_universe_cagr_pct,19.42
