symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
XLB,12,75.0,23422.79,1951.9,2.69,9.95,-3.65,19.2
XLC,16,87.5,75604.36,4725.27,5.43,32.23,-2.67,42.3
XLE,14,57.1,85739.66,6124.26,7.68,59.58,-4.81,43.2
XLF,18,83.3,55912.92,3106.27,4.62,29.59,-5.34,30.4
XLI,16,75.0,30630.54,1914.41,1.78,7.46,-3.28,22.9
XLK,11,72.7,102569.94,9324.54,10.37,47.36,-4.11,70.5
XLP,9,22.2,-17281.76,-1920.2,-3.25,1.49,-10.53,17.3
XLRE,8,87.5,14150.57,1768.82,2.47,6.96,-1.02,24.9
XLU,13,76.9,40677.7,3129.05,2.56,10.02,-2.13,31.3
XLV,10,70.0,11490.71,1149.07,0.09,5.95,-19.37,16.6
XLY,16,87.5,44656.76,2791.05,4.9,20.47,-0.95,26.4
