date,equity,positions
2020-03-03,97217.93,3
2020-03-04,97217.93,3
2020-03-05,102324.61,3
2020-03-06,99949.45,3
2020-03-09,98801.47,3
2020-03-10,96614.33,3
2020-03-11,96614.33,3
2020-03-12,92267.62,3
2020-03-13,84127.55,3
2020-03-16,91669.66,3
2020-03-17,86448.98,2
2020-03-18,86448.98,2
2020-03-19,83674.59,2
2020-03-20,83936.88,2
2020-03-23,81635.75,2
2020-03-24,83712.47,1
2020-03-25,83712.47,1
2020-03-26,83690.03,1
2020-03-27,85402.99,1
2020-03-30,84093.96,1
2020-03-31,85253.38,1
2020-04-01,84707.33,1
2020-04-02,83345.94,1
2020-04-03,83981.75,1
2020-04-06,83555.38,1
2020-04-07,85896.68,1
2020-04-08,85627.39,1
2020-04-09,86420.29,1
2020-04-13,86457.69,1
2020-04-14,87774.2,1
2020-04-15,87774.2,1
2020-04-16,87086.02,1
2020-04-17,87460.03,1
2020-04-20,87878.92,1
2020-04-21,85289.32,2
2020-04-22,85289.32,2
2020-04-23,87295.19,2
2020-04-24,87387.36,2
2020-04-27,88802.57,2
2020-04-28,88216.54,2
2020-04-29,88216.54,2
2020-04-30,89882.78,2
2020-05-01,89474.55,2
2020-05-04,87499.44,2
2020-05-05,89520.33,2
2020-05-06,89520.33,2
2020-05-07,89276.32,2
2020-05-08,89712.07,2
2020-05-11,90495.93,2
2020-05-12,90111.82,2
2020-05-13,90111.82,2
2020-05-14,88938.93,2
2020-05-15,89904.27,2
2020-05-18,90567.16,2
2020-05-19,91073.58,2
2020-05-20,91073.58,2
2020-05-21,91868.54,2
2020-05-22,90974.66,2
2020-05-26,91221.67,2
2020-05-27,91083.34,2
2020-05-28,91864.47,2
2020-05-29,92541.49,2
2020-06-01,93683.01,2
2020-06-02,93751.24,3
2020-06-03,93751.24,3
2020-06-04,93914.55,3
2020-06-05,93162.13,3
2020-06-08,95016.23,3
2020-06-09,95694.74,3
2020-06-10,95694.74,3
2020-06-11,95752.64,3
2020-06-12,90558.19,3
2020-06-15,91553.21,3
2020-06-16,94383.6,3
2020-06-17,94383.6,3
2020-06-18,94247.98,3
2020-06-19,94183.11,3
2020-06-22,93476.86,3
2020-06-23,95462.56,3
2020-06-24,95462.56,3
2020-06-25,93353.33,3
2020-06-26,93892.53,3
2020-06-29,91821.54,3
2020-06-30,94663.65,3
2020-07-01,94663.65,3
2020-07-02,95298.39,3
2020-07-06,95750.56,3
2020-07-07,96447.8,3
2020-07-08,96447.8,3
2020-07-09,97682.71,3
2020-07-10,97766.46,3
2020-07-13,98458.0,3
2020-07-14,97921.73,3
2020-07-15,97921.73,3
2020-07-16,98978.55,3
2020-07-17,98347.32,3
2020-07-20,98244.38,3
2020-07-21,99882.82,3
2020-07-22,99882.82,3
2020-07-23,100732.3,3
2020-07-24,98775.41,3
2020-07-27,98446.83,3
2020-07-28,98348.28,3
2020-07-29,98348.28,3
2020-07-30,99506.75,3
2020-07-31,99676.78,3
2020-08-03,100945.74,3
2020-08-04,102390.43,3
2020-08-05,102390.43,3
2020-08-06,103293.02,3
2020-08-07,104171.86,3
2020-08-10,103652.55,3
2020-08-11,103436.83,3
2020-08-12,103436.83,3
2020-08-13,105189.87,3
2020-08-14,105176.91,3
2020-08-17,105137.56,3
2020-08-18,106797.74,3
2020-08-19,106797.74,3
2020-08-20,106481.37,3
2020-08-21,106887.26,3
2020-08-24,107749.47,3
2020-08-25,109548.65,3
2020-08-26,109548.65,3
2020-08-27,111077.53,3
2020-08-28,110747.0,3
2020-08-31,111571.07,3
2020-09-01,113074.49,3
2020-09-02,113074.49,3
2020-09-03,114458.59,3
2020-09-04,109622.43,3
2020-09-08,108260.31,3
2020-09-09,105492.59,3
2020-09-10,108026.12,3
2020-09-11,106139.39,3
2020-09-14,105936.05,3
2020-09-15,108419.18,3
2020-09-16,108419.18,3
2020-09-17,107408.81,3
2020-09-18,106131.34,3
2020-09-21,104523.39,3
2020-09-22,105891.08,3
2020-09-23,105891.08,3
2020-09-24,103553.93,3
2020-09-25,103750.53,3
2020-09-28,105538.83,3
2020-09-29,107020.45,3
2020-09-30,107020.45,3
2020-10-01,107871.77,3
2020-10-02,109208.2,3
2020-10-05,107809.82,3
2020-10-06,107727.38,3
2020-10-07,107727.38,3
2020-10-08,110007.5,3
2020-10-09,110667.51,3
2020-10-12,112034.18,3
2020-10-13,113819.85,3
2020-10-14,113819.85,3
2020-10-15,112823.74,3
2020-10-16,112875.74,3
2020-10-19,112080.94,3
2020-10-20,111173.21,3
2020-10-21,111173.21,3
2020-10-22,110729.14,3
2020-10-23,110657.35,3
2020-10-26,111226.51,3
2020-10-27,109177.0,3
2020-10-28,109177.0,3
2020-10-29,105263.67,3
2020-10-30,106344.83,3
2020-11-02,104044.35,3
2020-11-03,106692.96,3
2020-11-04,106692.96,3
2020-11-05,109674.78,3
2020-11-06,112356.61,3
2020-11-09,112254.41,3
2020-11-10,111676.68,3
2020-11-11,111676.68,3
2020-11-12,111913.48,3
2020-11-13,110497.85,3
2020-11-16,112539.55,3
2020-11-17,114087.79,3
2020-11-18,114087.79,3
2020-11-19,113417.67,3
2020-11-20,113867.33,3
2020-11-23,113124.48,3
2020-11-24,116432.94,3
2020-11-25,116432.94,3
2020-11-27,116157.81,3
2020-11-30,116240.87,3
2020-12-01,115621.56,3
2020-12-02,115621.56,3
2020-12-03,116418.49,3
2020-12-04,116567.26,3
2020-12-07,117957.97,3
2020-12-08,118749.94,3
2020-12-09,118749.94,3
2020-12-10,118985.22,3
2020-12-11,120862.18,3
2020-12-14,120067.06,3
2020-12-15,118267.99,3
2020-12-16,118267.99,3
2020-12-17,118479.93,3
2020-12-18,119335.18,3
2020-12-21,119124.18,3
2020-12-22,119316.61,3
2020-12-23,119316.61,3
2020-12-24,118984.15,3
2020-12-28,119483.8,3
2020-12-29,119896.26,3
2020-12-30,119896.26,3
2020-12-31,121241.92,3
2021-01-04,121824.09,3
2021-01-05,122115.05,3
2021-01-06,122115.05,3
2021-01-07,125678.85,3
2021-01-08,127208.24,3
2021-01-11,127751.71,3
2021-01-12,129219.41,3
2021-01-13,129219.41,3
2021-01-14,127976.99,3
2021-01-15,129050.71,3
2021-01-19,126059.22,3
2021-01-20,127270.32,3
2021-01-21,127690.9,3
2021-01-22,124997.82,3
2021-01-25,124305.06,3
2021-01-26,123823.17,3
2021-01-27,123823.17,3
2021-01-28,120747.94,3
2021-01-29,121189.29,3
2021-02-01,118345.33,3
2021-02-02,122460.9,3
2021-02-03,122460.9,3
2021-02-04,124764.49,3
2021-02-05,126088.48,3
2021-02-08,127200.35,3
2021-02-09,129428.37,3
2021-02-10,129428.37,3
2021-02-11,130598.85,3
2021-02-12,130243.66,3
2021-02-16,131575.03,3
2021-02-17,133052.19,3
2021-02-18,133531.7,3
2021-02-19,131624.13,3
2021-02-22,132684.33,3
2021-02-23,134935.02,3
2021-02-24,134935.02,3
2021-02-25,137650.08,3
2021-02-26,134868.11,3
2021-03-01,133271.29,3
2021-03-02,135881.02,3
2021-03-03,135881.02,3
2021-03-04,136094.55,3
2021-03-05,137811.54,3
2021-03-08,142125.52,3
2021-03-09,140416.18,3
2021-03-10,140416.18,3
2021-03-11,143330.93,3
2021-03-12,143410.06,3
2021-03-15,144391.28,3
2021-03-16,141849.46,3
2021-03-17,141849.46,3
2021-03-18,142492.16,3
2021-03-19,137859.72,3
2021-03-22,138256.12,3
2021-03-23,136277.29,3
2021-03-24,136277.29,3
2021-03-25,138785.41,3
2021-03-26,139911.85,3
2021-03-29,142918.99,3
2021-03-30,141619.15,3
2021-03-31,141619.15,3
2021-04-01,140881.4,3
2021-04-05,143041.91,3
2021-04-06,141641.02,3
2021-04-07,141641.02,3
2021-04-08,141600.65,3
2021-04-09,140790.53,3
2021-04-12,140916.73,3
2021-04-13,140345.78,3
2021-04-14,140345.78,3
2021-04-15,142480.76,3
2021-04-16,142113.39,3
