metric,value
window_start,2020-03-02
window_end,2026-09-08
trading_days,1639
calendar_days,2381
top_n,3
score,emasma
exit,rebalance
universe_is_etf,True
tickers,"XLB,XLE,XLF,XLRE,XLV,XLI,XLK,XLP,XLU,XLY,XLC"
initial_capital_usd,100000.0
final_equity_usd,657254.3
total_return_pct,557.25
cagr_pct,33.46
annualized_vol_pct,17.71
sharpe_ratio,1.75
sortino_ratio,1.49
max_drawdown_pct,-20.22
calmar_ratio,1.65
closed_trades,143
open_at_sample_end,3
total_trades,146
total_cost_usd,14041.01
win_rate_pct,74.13
profit_factor,7.18
avg_win_usd,5124.65
avg_loss_usd,-2044.28
expectancy_usd_per_trade,3269.75
best_trade_usd,51329.43
worst_trade_usd,-6455.07
best_trade_pct,59.58
worst_trade_pct,-19.37
avg_hold_trading_days,31.84
max_losing_streak,3
days_invested_pct,100.0
avg_positions,2.88
cost_per_side_bps,5.0
ledger_reconciliation,sum(net_pnl) + capital == final equity within display rounding
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,173.02
benchmark_spy_cagr_pct,16.65
benchmark_vti_return_pct,165.58
benchmark_vti_cagr_pct,16.15
benchmark_eqw_universe_return_pct,134.14
benchmark_eqw_universe_cagr_pct,13.93
