date,symbol,action,price,stop_signal
2019-04-09,QQQ,BUY,175.8900,167.3986
2019-05-21,QQQ,SELL,173.3600,173.1886
2019-06-11,QQQ,BUY,174.8600,173.1886
2019-08-20,QQQ,SELL,178.6600,175.0657
2019-08-27,QQQ,BUY,176.2300,175.0657
2020-02-25,QQQ,SELL,206.6600,214.0343
2020-05-05,QQQ,BUY,209.3000,214.0343
2020-09-15,QQQ,SELL,268.8100,257.4814
2020-09-22,QQQ,BUY,262.8500,257.4814
2021-02-23,QQQ,SELL,310.6800,304.2829
2021-03-09,QQQ,BUY,301.3000,304.2829
2021-03-16,QQQ,SELL,309.8100,304.2829
2021-03-23,QQQ,BUY,306.9500,304.2829
2021-09-28,QQQ,SELL,349.0100,352.7057
2021-10-12,QQQ,BUY,346.3600,352.7057
2022-01-04,QQQ,SELL,385.0000,369.2500
2023-07-11,QQQ,BUY,361.8500,369.2500
2023-07-18,QQQ,SELL,379.1200,369.2500
2023-07-25,QQQ,BUY,372.2800,369.2500
2023-08-01,QQQ,SELL,376.2200,369.2500
2023-08-29,QQQ,BUY,368.3400,369.2500
2023-09-06,QQQ,SELL,368.3100,369.2500
2023-11-07,QQQ,BUY,366.8300,369.2500
2024-04-16,QQQ,SELL,425.9500,415.5829
2024-04-23,QQQ,BUY,419.9900,415.5829
2024-07-23,QQQ,SELL,475.6300,461.1614
2024-08-13,QQQ,BUY,457.7800,461.1614
2024-09-04,QQQ,SELL,455.8300,461.1614
2024-09-10,QQQ,BUY,453.9000,461.1614
2025-03-04,QQQ,SELL,491.8900,498.8414
2025-05-13,QQQ,BUY,512.5400,498.8414
2025-11-18,QQQ,SELL,594.1400,592.5971
2025-11-25,QQQ,BUY,606.6700,592.5971
2026-03-10,QQQ,SELL,606.3400,592.5971
2026-04-07,QQQ,BUY,587.9400,592.5971
