date,symbol,action,price,stop_signal
2019-04-09,VTI,BUY,131.9900,127.1900
2019-05-29,VTI,SELL,127.7800,129.6714
2019-06-04,VTI,BUY,128.8900,129.6714
2019-08-20,VTI,SELL,133.3200,132.6700
2019-08-27,VTI,BUY,131.5900,132.6700
2020-01-28,VTI,SELL,151.2400,148.9114
2020-02-04,VTI,BUY,152.5100,148.9114
2020-02-25,VTI,SELL,144.9700,150.4929
2020-07-28,VTI,BUY,149.6700,150.4929
2021-11-30,VTI,SELL,218.3300,216.6614
2021-12-07,VTI,BUY,223.6800,216.6614
2022-01-19,VTI,SELL,214.0300,216.6614
2023-07-18,VTI,BUY,217.8300,216.6614
2023-08-01,VTI,SELL,218.9300,216.6614
2023-11-21,VTI,BUY,216.3100,216.6614
2024-04-16,VTI,SELL,242.2700,242.3200
2024-04-23,VTI,BUY,243.6800,242.3200
2024-07-30,VTI,SELL,262.1100,257.2357
2024-08-13,VTI,BUY,260.6700,257.2357
2025-01-07,VTI,SELL,286.1700,283.0671
2025-01-14,VTI,BUY,283.2400,283.0671
2025-03-04,VTI,SELL,279.0100,283.0671
2025-05-13,VTI,BUY,285.0200,283.0671
2025-05-20,VTI,SELL,287.6100,283.0671
2025-05-28,VTI,BUY,284.9900,283.0671
2026-03-10,VTI,SELL,331.5100,326.5186
2026-04-07,VTI,BUY,324.5000,326.5186
