date,symbol,action,price,stop_signal
2019-04-09,VTV,BUY,90.9600,87.7829
2019-05-29,VTV,SELL,88.1800,89.1243
2019-06-04,VTV,BUY,89.5700,89.1243
2019-08-13,VTV,SELL,91.6400,91.0771
2019-08-27,VTV,BUY,89.1700,91.0771
2020-01-28,VTV,SELL,101.2900,100.3943
2020-02-04,VTV,BUY,101.0200,100.3943
2020-02-25,VTV,SELL,95.9500,100.3943
2020-11-24,VTV,BUY,102.6200,100.3943
2021-06-15,VTV,SELL,123.4200,119.3100
2021-06-22,VTV,BUY,121.0600,119.3100
2022-03-08,VTV,SELL,126.3200,127.9314
2022-03-15,VTV,BUY,128.9400,127.9314
2022-04-26,VTV,SELL,128.8900,127.9314
2022-05-03,VTV,BUY,128.1800,127.9314
2022-05-10,VTV,SELL,125.2500,127.9314
2022-05-24,VTV,BUY,126.5200,127.9314
2022-06-07,VTV,SELL,130.8000,127.9314
2022-08-09,VTV,BUY,125.3000,127.9314
2022-08-23,VTV,SELL,126.8700,127.9314
2022-11-08,VTV,BUY,127.7600,127.9314
2022-12-13,VTV,SELL,131.9900,127.9314
2022-12-20,VTV,BUY,127.6300,127.9314
2023-03-07,VTV,SELL,128.5700,127.9314
2023-03-28,VTV,BUY,124.7400,127.9314
2023-05-09,VTV,SELL,127.7200,127.9314
2023-05-31,VTV,BUY,124.9700,127.9314
2023-09-19,VTV,SELL,133.6700,131.3343
2023-11-14,VTV,BUY,131.5200,131.3343
2024-04-09,VTV,SELL,153.0600,149.7600
2024-04-23,VTV,BUY,150.5200,149.7600
2024-12-17,VTV,SELL,166.8700,167.7014
2025-01-14,VTV,BUY,165.1900,167.7014
2025-03-11,VTV,SELL,164.8400,167.7014
2025-05-13,VTV,BUY,166.3000,167.7014
2025-05-20,VTV,SELL,168.5200,167.7014
2025-06-03,VTV,BUY,168.1300,167.7014
2026-03-10,VTV,SELL,197.8500,197.2500
2026-04-07,VTV,BUY,196.6100,197.2500
