entry_date,entry_price,exit_date,exit_price,pct_change,days_held,result
2019-04-09,175.8900,2019-05-21,173.3600,-1.44,42,LOSS
2019-06-11,174.8600,2019-08-20,178.6600,+2.17,70,WIN
2019-08-27,176.2300,2020-02-25,206.6600,+17.27,182,WIN
2020-05-05,209.3000,2020-09-15,268.8100,+28.43,133,WIN
2020-09-22,262.8500,2021-02-23,310.6800,+18.20,154,WIN
2021-03-09,301.3000,2021-03-16,309.8100,+2.82,7,WIN
2021-03-23,306.9500,2021-09-28,349.0100,+13.70,189,WIN
2021-10-12,346.3600,2022-01-04,385.0000,+11.16,84,WIN
2023-07-11,361.8500,2023-07-18,379.1200,+4.77,7,WIN
2023-07-25,372.2800,2023-08-01,376.2200,+1.06,7,WIN
2023-08-29,368.3400,2023-09-06,368.3100,-0.01,8,LOSS
2023-11-07,366.8300,2024-04-16,425.9500,+16.12,161,WIN
2024-04-23,419.9900,2024-07-23,475.6300,+13.25,91,WIN
2024-08-13,457.7800,2024-09-04,455.8300,-0.43,22,LOSS
2024-09-10,453.9000,2025-03-04,491.8900,+8.37,175,WIN
2025-05-13,512.5400,2025-11-18,594.1400,+15.92,189,WIN
2025-11-25,606.6700,2026-03-10,606.3400,-0.05,105,LOSS
2026-04-07,587.9400,2026-09-18,717.8950,+22.10,164,OPEN
