entry_date,entry_price,exit_date,exit_price,pct_change,days_held,result
2019-04-09,131.9900,2019-05-29,127.7800,-3.19,50,LOSS
2019-06-04,128.8900,2019-08-20,133.3200,+3.44,77,WIN
2019-08-27,131.5900,2020-01-28,151.2400,+14.93,154,WIN
2020-02-04,152.5100,2020-02-25,144.9700,-4.94,21,LOSS
2020-07-28,149.6700,2021-11-30,218.3300,+45.87,490,WIN
2021-12-07,223.6800,2022-01-19,214.0300,-4.31,43,LOSS
2023-07-18,217.8300,2023-08-01,218.9300,+0.50,14,WIN
2023-11-21,216.3100,2024-04-16,242.2700,+12.00,147,WIN
2024-04-23,243.6800,2024-07-30,262.1100,+7.56,98,WIN
2024-08-13,260.6700,2025-01-07,286.1700,+9.78,147,WIN
2025-01-14,283.2400,2025-03-04,279.0100,-1.49,49,LOSS
2025-05-13,285.0200,2025-05-20,287.6100,+0.91,7,WIN
2025-05-28,284.9900,2026-03-10,331.5100,+16.32,286,WIN
2026-04-07,324.5000,2026-09-18,374.6500,+15.45,164,OPEN
