entry_date,entry_price,exit_date,exit_price,pct_change,days_held,result
2019-04-09,90.9600,2019-05-29,88.1800,-3.06,50,LOSS
2019-06-04,89.5700,2019-08-13,91.6400,+2.31,70,WIN
2019-08-27,89.1700,2020-01-28,101.2900,+13.59,154,WIN
2020-02-04,101.0200,2020-02-25,95.9500,-5.02,21,LOSS
2020-11-24,102.6200,2021-06-15,123.4200,+20.27,203,WIN
2021-06-22,121.0600,2022-03-08,126.3200,+4.34,259,WIN
2022-03-15,128.9400,2022-04-26,128.8900,-0.04,42,LOSS
2022-05-03,128.1800,2022-05-10,125.2500,-2.29,7,LOSS
2022-05-24,126.5200,2022-06-07,130.8000,+3.38,14,WIN
2022-08-09,125.3000,2022-08-23,126.8700,+1.25,14,WIN
2022-11-08,127.7600,2022-12-13,131.9900,+3.31,35,WIN
2022-12-20,127.6300,2023-03-07,128.5700,+0.74,77,WIN
2023-03-28,124.7400,2023-05-09,127.7200,+2.39,42,WIN
2023-05-31,124.9700,2023-09-19,133.6700,+6.96,111,WIN
2023-11-14,131.5200,2024-04-09,153.0600,+16.38,147,WIN
2024-04-23,150.5200,2024-12-17,166.8700,+10.86,238,WIN
2025-01-14,165.1900,2025-03-11,164.8400,-0.21,56,LOSS
2025-05-13,166.3000,2025-05-20,168.5200,+1.33,7,WIN
2025-06-03,168.1300,2026-03-10,197.8500,+17.68,280,WIN
2026-04-07,196.6100,2026-09-18,221.2700,+12.54,164,OPEN
