symbol,qty,entry_price,entry_date
# one row per buy; repeat a symbol to model accumulation - DCA
BDX,5,176,2026-08-06
BDX,5,175.8,2026-08-07
BDX,5,179,2026-08-12
BDX,2,182.16,2026-08-12
BDX,3,182,2026-08-13
BDX,5,182.8,2026-08-14
CBRS,5,185,2026-06-24
CBRS,5,219.3,2026-08-13
DIA,2,545.74,2026-08-11
IJR,6,150.07,2026-08-12
IJR,6,150.25,2026-08-14
IWM,3,295.77,2026-08-03
IWM,3,300.41,2026-08-05
IWM,3,304.65,2026-08-14
QQQ,2,725,2026-08-12
SCHD,29,34.01,2026-07-29
SCHD,29,33.52,2026-08-03
SCHD,14,33.7,2026-08-05
SCHD,28,34.48,2026-08-14
SMH,2,541.69,2026-08-03
SMH,1,570.67,2026-08-05
SMH,15,574.65,2026-08-10
V,5,369.45,2026-08-06
V,5,367,2026-08-07
V,10,365,2026-08-07
V,2,359.11,2026-08-12
V,3,362,2026-08-13
V,3,364.4,2026-08-14
VCX,1,250,2026-03-26
VCX,1,100,2026-03-30
VCX,1,195.02,2026-05-15
VCX,1,142,2026-06-05
VGT,8,114.49,2026-08-03
VGT,8,120.51,2026-08-05
VGT,8,122.3,2026-08-14
VTI,3,382.13,2026-08-12
VTI,3,383.49,2026-08-14
VTV,4,221.05,2026-07-29
VTV,4,220.35,2026-08-03
VTV,4,224.24,2026-08-05
VTV,5,227.42,2026-08-14
XLE,16,59.08,2026-07-22
XLE,17,58.68,2026-07-29
XLE,16,58.9,2026-07-31
XLE,16,59.06,2026-08-03
XLE,8,61.01,2026-08-12
XLE,16,61.98,2026-08-14
XLK,5,176.87,2026-08-03
XLK,2,187.35,2026-08-10
XLK,2,185.95,2026-08-11
XLK,5,189.47,2026-08-14
ZBRA,5,263,2026-07-20
ZBRA,20,266.5,2026-07-20
ZBRA,10,262.5,2026-07-22
ZBRA,5,261,2026-07-22
# date is optional (ratchet stop needs it, but PnL works without)
#AXON,4,310.50,
